Molecules processed : 993
Valid TFPs          : 993
Failed (no 3D)      : 0
Conformers/mol      : 1

TFP feature statistics (valid molecules):
  H0_entropy            mean=3.6351  std=0.2128  min=2.7071  max=4.0241
  H0_count              mean=40.3303  std=7.8375  min=16.0000  max=58.0000
  H0_max_pers           mean=2.7272  std=0.6397  min=2.0391  max=5.9343
  H0_mean_pers          mean=1.6232  std=0.0620  min=1.5242  max=1.8810
  H0_birth_mean         mean=0.0000  std=0.0000  min=0.0000  max=0.0000
  H0_birth_std          mean=0.0000  std=0.0000  min=0.0000  max=0.0000
  H0_death_mean         mean=1.6232  std=0.0620  min=1.5242  max=1.8810
  H0_death_std          mean=0.4676  std=0.0591  min=0.3708  max=0.7257
  H0_pers_q25           mean=1.1605  std=0.0214  min=1.1510  max=1.5242
  H0_pers_q50           mean=1.6490  std=0.3139  min=1.1608  max=2.0104
  H0_pers_q75           mean=1.9767  std=0.0480  min=1.8948  max=2.0721
  H1_entropy            mean=1.7000  std=0.2872  min=0.6268  max=2.4673
  H1_count              mean=4.1742  std=1.3224  min=1.0000  max=8.0000
  H1_max_pers           mean=1.3955  std=0.0269  min=1.3535  max=1.8042
  H1_mean_pers          mean=0.6687  std=0.1524  min=0.2985  max=1.3146
  H1_birth_mean         mean=2.3975  std=0.1628  min=1.9229  max=3.0492
  H1_birth_std          mean=0.4185  std=0.1810  min=0.0014  max=1.2031
  H1_death_mean         mean=3.0663  std=0.1699  min=2.7317  max=3.8360
  H1_death_std          mean=0.3248  std=0.1541  min=0.0547  max=1.0673
  H1_pers_q25           mean=0.8510  std=0.2701  min=0.5051  max=1.4086
  H1_pers_q50           mean=1.1073  std=0.2575  min=0.5158  max=1.4086
  H1_pers_q75           mean=1.3499  std=0.0810  min=0.7485  max=1.4151
  H2_entropy            mean=0.8632  std=0.2902  min=-0.0000  max=1.8844
  H2_count              mean=0.0554  std=0.2289  min=0.0000  max=1.0000
  H2_max_pers           mean=0.4735  std=0.0262  min=0.3695  max=0.7726
  H2_mean_pers          mean=0.4051  std=0.0657  min=0.1532  max=0.5596
  H2_birth_mean         mean=3.3598  std=0.1587  min=3.1168  max=4.4688
  H2_birth_std          mean=0.1093  std=0.1726  min=0.0000  max=1.2609
  H2_death_mean         mean=3.7649  std=0.1484  min=3.3238  max=4.7031
  H2_death_std          mean=0.1058  std=0.1670  min=0.0000  max=1.1033
  H2_pers_q25           mean=0.0301  std=0.1248  min=0.0000  max=0.7726
  H2_pers_q50           mean=0.0301  std=0.1248  min=0.0000  max=0.7726
  H2_pers_q75           mean=0.0301  std=0.1248  min=0.0000  max=0.7726
  pers_img_0            mean=0.0038  std=0.0076  min=0.0000  max=0.1230
  pers_img_1            mean=0.0143  std=0.0254  min=0.0000  max=0.1560
  pers_img_2            mean=0.0306  std=0.0407  min=0.0000  max=0.1841
  pers_img_3            mean=0.0179  std=0.0396  min=0.0000  max=0.2186
  pers_img_4            mean=0.0669  std=0.0970  min=0.0000  max=0.5297
  pers_img_5            mean=0.3280  std=0.1409  min=0.0000  max=0.6216
  pers_img_6            mean=0.1130  std=0.1320  min=0.0000  max=0.6418
  pers_img_7            mean=0.0148  std=0.0289  min=0.0000  max=0.2367
  pers_img_8            mean=0.0106  std=0.0217  min=0.0000  max=0.1321
  pers_img_9            mean=0.0055  std=0.0179  min=0.0000  max=0.2723
  pers_img_10           mean=0.0100  std=0.0212  min=0.0000  max=0.1163
  pers_img_11           mean=0.0040  std=0.0163  min=0.0000  max=0.1318
  pers_img_12           mean=0.0034  std=0.0134  min=0.0000  max=0.1255
  pers_img_13           mean=0.0099  std=0.0173  min=0.0000  max=0.1125
  pers_img_14           mean=0.0523  std=0.0127  min=0.0199  max=0.1362
  pers_img_15           mean=0.0164  std=0.0328  min=0.0000  max=0.1579
  pers_img_16           mean=0.0208  std=0.0434  min=0.0000  max=0.2459
  pers_img_17           mean=0.1661  std=0.0400  min=0.0000  max=0.2822
  pers_img_18           mean=0.0002  std=0.0039  min=0.0000  max=0.0864
  pers_img_19           mean=0.0000  std=0.0002  min=0.0000  max=0.0043
  pers_img_20           mean=0.0002  std=0.0025  min=0.0000  max=0.0763
  pers_img_21           mean=0.0002  std=0.0036  min=0.0000  max=0.0861
  pers_img_22           mean=0.0041  std=0.0055  min=0.0000  max=0.0829
  pers_img_23           mean=0.0500  std=0.0168  min=0.0227  max=0.0988
  pers_img_24           mean=0.0570  std=0.0093  min=0.0263  max=0.0985
  betti_0               mean=0.9110  std=0.1183  min=0.5455  max=1.0000
  betti_1               mean=0.9110  std=0.1183  min=0.5455  max=1.0000
  betti_2               mean=0.9110  std=0.1183  min=0.5455  max=1.0000
  betti_3               mean=0.9110  std=0.1183  min=0.5455  max=1.0000
  betti_4               mean=0.9033  std=0.1181  min=0.5333  max=1.0000
  betti_5               mean=0.4935  std=0.0791  min=0.2698  max=0.7241
  betti_6               mean=0.4934  std=0.0791  min=0.2698  max=0.7241
  betti_7               mean=0.4743  std=0.0815  min=0.2540  max=0.6786
  betti_8               mean=0.5099  std=0.1514  min=0.1548  max=1.0000
  betti_9               mean=0.6881  std=0.1733  min=0.2857  max=1.0000
  betti_10              mean=0.9017  std=0.1408  min=0.3333  max=1.0000
  betti_11              mean=0.7360  std=0.1893  min=0.2000  max=1.0000
  betti_12              mean=0.5429  std=0.1838  min=0.1667  max=1.0000
  betti_13              mean=0.8722  std=0.1932  min=0.3333  max=1.0000
  betti_14              mean=0.8738  std=0.1568  min=0.3750  max=1.0000
  betti_15              mean=0.0168  std=0.0666  min=0.0000  max=0.5833
