Molecules processed : 100
Valid TFPs          : 100
Failed (no 3D)      : 0
Conformers/mol      : 50

TFP feature statistics (valid molecules):
  H0_entropy            mean=3.5592  std=0.2193  min=2.9124  max=4.0413
  H0_count              mean=37.2700  std=7.9910  min=19.0000  max=59.0000
  H0_max_pers           mean=2.2660  std=0.4177  min=1.4800  max=3.4718
  H0_mean_pers          mean=1.5970  std=0.0685  min=1.1157  max=1.7309
  H1_entropy            mean=1.7460  std=0.3126  min=0.7974  max=2.5056
  H1_count              mean=4.1686  std=1.3946  min=1.0000  max=9.0000
  H1_max_pers           mean=1.3815  std=0.0863  min=0.7927  max=1.4980
  H1_mean_pers          mean=0.6723  std=0.1295  min=0.4408  max=1.1006
  H2_entropy            mean=0.7866  std=0.3732  min=-0.0000  max=1.4632
  H2_count              mean=0.0882  std=0.4334  min=0.0000  max=4.0000
  H2_max_pers           mean=0.4693  std=0.1064  min=0.1434  max=1.2400
  H2_mean_pers          mean=0.3854  std=0.1007  min=0.1240  max=1.0533
