descriptor,classifier,fold,auc,accuracy,f1
Hybrid-TFP,rf,1,0.76,0.7,0.6666666666666666
Hybrid-TFP,rf,2,0.76,0.7,0.5714285714285714
Hybrid-TFP,rf,3,0.9166666666666667,0.8,0.8571428571428571
Hybrid-TFP,rf,4,1.0,1.0,1.0
Hybrid-TFP,rf,5,0.875,0.6,0.6
Hybrid-TNE,rf,1,0.8,0.8,0.8
Hybrid-TNE,rf,2,0.9,0.8,0.75
Hybrid-TNE,rf,3,0.7916666666666667,0.8,0.8571428571428571
Hybrid-TNE,rf,4,1.0,1.0,1.0
Hybrid-TNE,rf,5,0.875,0.7,0.7272727272727273
Hybrid-QK,rf,1,0.6,0.6,0.3333333333333333
Hybrid-QK,rf,2,0.8,0.5,0.6666666666666666
Hybrid-QK,rf,3,0.5,0.5,0.4444444444444444
Hybrid-QK,rf,4,0.6666666666666666,0.6,0.5
Hybrid-QK,rf,5,0.5833333333333334,0.5,0.2857142857142857
