smiles,true_label,prob_mean,prob_std,ci_lower_95,ci_upper_95,predicted,correct
CCCCC=CCCCCCCCCCCCCCc1cc(=O)c2c(O)cccc2o1,1,0.578,0.0368,0.5127,0.6476,1,1
C[C@]12C[C@]34CC[C@@H]5[C@](C)(CO)CC(O)C[C@@]5(C)[C@@H]3CC1C2C4,0,0.578,0.0368,0.5127,0.6476,1,0
C=CC[C@@]12COC(=O)C(=C)[C@@H]1C[C@H](C(=C)C(=O)O)[C@@H](OC(=O)C(=C)CO)C2,0,0.578,0.0368,0.5127,0.6476,1,0
COc1cc(C(=O)O)c(O)c2ccc3c(c12)C=C1/C(=C(\C)C=O)CCC1(C)O3,1,0.578,0.0368,0.5127,0.6476,1,1
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,1,0.578,0.0368,0.5127,0.6476,1,1
C/C=C(\C)C(=O)O[C@@H]1C2(O)[C@H]3OC4(CC)OC35C3=CC(=O)O[C@@H](c6ccoc6)[C@]3(C)CCC5(O4)[C@]3(C)[C@@H](CC(=O)OC)[C@@]1(C)C[C@]23O,1,0.578,0.0368,0.5127,0.6476,1,1
O=C1C[C@@H](c2ccccc2)Oc2c(Cc3cccc(O)c3)c(O)c(Cc3ccccc3O)c(O)c21,1,0.578,0.0368,0.5127,0.6476,1,1
COc1c(Cc2ccccc2O)c(O)c(C)c(O)c1C(=O)CCc1ccccc1,1,0.578,0.0368,0.5127,0.6476,1,1
COC(=O)[C@@]1(C)CCC[C@]2(C)[C@@H]3Cc4occc4[C@H](C)[C@H]3CC[C@@]12O,0,0.578,0.0368,0.5127,0.6476,1,0
CC1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1,0.578,0.0368,0.5127,0.6476,1,1
C=C1C(=O)O[C@H]2/C=C(/C)[C@@H](O)CC/C(C)=C\[C@@H](O)[C@H]12,0,0.578,0.0368,0.5127,0.6476,1,0
CC(C)c1cc(O)c2c(c1)C=CC1C(C)(C)[C@@H](O)CC[C@]21C,1,0.578,0.0368,0.5127,0.6476,1,1
CN(C)c1ccc(C=Cc2nc(=O)c3ccccc3o2)cc1,1,0.7561,0.108,0.5437,0.9449,1,1
COc1c(C(=O)CCc2ccccc2)cc(Cc2ccccc2O)c(O)c1Cc1ccccc1O,1,0.578,0.0368,0.5127,0.6476,1,1
COc1ccc(C2COc3cc4c(c(O)c3C2=O)C=C[C@@](C)(CCC=C(C)C)O4)c(O)c1O,1,0.578,0.0368,0.5127,0.6476,1,1
COc1cc(O)c(OC)c(O)c1C(=O)C=Cc1ccccc1,1,0.807,0.0715,0.6902,0.9272,1,1
CC1CN(C(=O)c2sc3ccccc3c2Cl)CC(C)O1,1,0.7256,0.1118,0.5245,0.9231,1,1
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,0,0.6863,0.1091,0.4626,0.8649,1,0
