analysis,descriptor,split,rep,auc
S2,ECFP4,random,1,0.9471065167878003
S2,naive concat,random,1,0.9058919107820262
S2,block-weighted,random,1,0.9037980556836704
S2,top-k per block,random,1,0.9003941313060749
S2,ECFP4+TFP only,random,1,0.9276510336359853
S2,stacked,random,1,0.9475142866959082
S2,ECFP4,random,2,0.9534303439689062
S2,naive concat,random,2,0.9203221382128846
S2,block-weighted,random,2,0.9185597717712877
S2,top-k per block,random,2,0.9115650216986808
S2,ECFP4+TFP only,random,2,0.9388315020656478
S2,stacked,random,2,0.9532404891965166
S2,ECFP4,random,3,0.9584946729293162
S2,naive concat,random,3,0.9180717705176407
S2,block-weighted,random,3,0.9190840701666684
S2,top-k per block,random,3,0.9121588782775631
S2,ECFP4+TFP only,random,3,0.9376385576465769
S2,stacked,random,3,0.9576913596961711
S2,ECFP4,random,4,0.9490694550036971
S2,naive concat,random,4,0.9125780661466306
S2,block-weighted,random,4,0.9130696355235248
S2,top-k per block,random,4,0.9041248780623279
S2,ECFP4+TFP only,random,4,0.9329823611299153
S2,stacked,random,4,0.948633430189164
S2,ECFP4,random,5,0.9445347622172001
S2,naive concat,random,5,0.8998498561048681
S2,block-weighted,random,5,0.8989396195891785
S2,top-k per block,random,5,0.8964205001093534
S2,ECFP4+TFP only,random,5,0.9237834872959172
S2,stacked,random,5,0.9439834824357678
S3,ECFP4,scaffold,1,0.8959117222247037
S3,TFP-12,scaffold,1,0.6584532289637146
S3,TFP-78,scaffold,1,0.8226637103674357
S3,TNE,scaffold,1,0.707349427467582
S3,ECFP4+TFP78+TNE,scaffold,1,0.8708265611058231
S3,ECFP4,scaffold,2,0.9071872738639897
S3,TFP-12,scaffold,2,0.6173450963892542
S3,TFP-78,scaffold,2,0.8316431157868434
S3,TNE,scaffold,2,0.7187515233491865
S3,ECFP4+TFP78+TNE,scaffold,2,0.8885218389705732
S3,ECFP4,scaffold,3,0.9023604819574127
S3,TFP-12,scaffold,3,0.790450409848695
S3,TFP-78,scaffold,3,0.8551941773751195
S3,TNE,scaffold,3,0.7444291007981264
S3,ECFP4+TFP78+TNE,scaffold,3,0.8922654540692121
S3,ECFP4,scaffold,4,0.8255807247302669
S3,TFP-12,scaffold,4,0.650214911880425
S3,TFP-78,scaffold,4,0.6968379877504665
S3,TNE,scaffold,4,0.6216524194856818
S3,ECFP4+TFP78+TNE,scaffold,4,0.7617361787133934
S3,ECFP4,scaffold,5,0.7972157319831259
S3,TFP-12,scaffold,5,0.6347890479220245
S3,TFP-78,scaffold,5,0.6556661123972776
S3,TNE,scaffold,5,0.5727152427646457
S3,ECFP4+TFP78+TNE,scaffold,5,0.6966112931942492
S3,ECFP4,scaffold,6,0.7555400895744339
S3,TFP-12,scaffold,6,0.5940563398669917
S3,TFP-78,scaffold,6,0.6264729389999061
S3,TNE,scaffold,6,0.5859944816034875
S3,ECFP4+TFP78+TNE,scaffold,6,0.6931428828447286
S3,ECFP4,scaffold,7,0.8285016353509504
S3,TFP-12,scaffold,7,0.6969795045137511
S3,TFP-78,scaffold,7,0.7561748753529576
S3,TNE,scaffold,7,0.6987514768336685
S3,ECFP4+TFP78+TNE,scaffold,7,0.8068801061951747
S3,ECFP4,scaffold,8,0.8277487750707194
S3,TFP-12,scaffold,8,0.719355195726066
S3,TFP-78,scaffold,8,0.7663508362534047
S3,TNE,scaffold,8,0.5618504873455238
S3,ECFP4+TFP78+TNE,scaffold,8,0.7751148019478814
S3,ECFP4,scaffold,9,0.8682817832458631
S3,TFP-12,scaffold,9,0.6908585706501477
S3,TFP-78,scaffold,9,0.8371640282199089
S3,TNE,scaffold,9,0.709248186067854
S3,ECFP4+TFP78+TNE,scaffold,9,0.8688028047836187
S3,ECFP4,scaffold,10,0.7835357848285809
S3,TFP-12,scaffold,10,0.556106317897509
S3,TFP-78,scaffold,10,0.5892509327334576
S3,TNE,scaffold,10,0.5848187342258312
S3,ECFP4+TFP78+TNE,scaffold,10,0.6870032606480538
