Molecules processed : 100
Valid TFPs          : 99
Failed (no 3D)      : 1

TFP feature statistics (valid molecules):
  H0_entropy            mean=3.5564  std=0.2186  min=2.9124  max=4.0413
  H0_count              mean=37.1717  std=7.9707  min=19.0000  max=59.0000
  H0_max_pers           mean=2.2704  std=0.4071  min=2.0179  max=3.4728
  H0_mean_pers          mean=1.6019  std=0.0480  min=1.4717  max=1.7278
  H1_entropy            mean=1.7408  std=0.3425  min=0.0322  max=2.4994
  H1_count              mean=4.1818  std=1.4871  min=1.0000  max=9.0000
  H1_max_pers           mean=1.3821  std=0.0839  min=0.7711  max=1.5031
  H1_mean_pers          mean=0.6699  std=0.1420  min=0.3655  max=1.0993
  H2_entropy            mean=0.7858  std=0.3914  min=-0.0000  max=1.4912
  H2_count              mean=0.0404  std=0.1979  min=0.0000  max=1.0000
  H2_max_pers           mean=0.4640  std=0.0756  min=0.0586  max=0.9257
  H2_mean_pers          mean=0.3767  std=0.0883  min=0.0581  max=0.7344
