method,seed,smiles,mds_x,mds_y
mcts,0,CC(C)(c1ccccc1)C(C)(CC(N)=O)C1CCSC1,0.42185,0.37146
mcts,1,CCC(C)(C(C)N)C(N)(Cc1ccncc1)c1cnoc1,-0.48914,0.26023
mcts,2,CCC(C)(Cc1ccncc1)C(C)(O)c1cncnc1,-0.10068,-0.27352
mcts,3,CC(C)(c1ccsc1)C(C)(CO)c1cnoc1,-0.48013,0.07885
mcts,4,CC(CC(C)(C)C)C(C)(C(=O)O)c1ccoc1,-0.03085,0.554
mcts,5,CC(C)(C)CC(c1cncnc1)(c1cnccn1)C1CCNC1,0.17428,-0.58977
mcts,6,CN(C)C(C(C)(C)C)C(C(=O)O)(c1ccccc1)c1cnccn1,0.42288,-0.32761
mcts,7,CC(C)C(C)(O)C(C)CC(C)(C)c1cnsc1,-0.52912,-0.30769
mcts,8,CC1(C(O)(c2ccccc2)c2ccncc2)CCSC1,0.45605,0.08127
mcts,9,CC1(C(C(=O)O)(c2ccccc2)C2CCSC2)CCSC1,0.58917,0.24668
mcts,10,CN(C)C(C)(c1cncnc1)C(C)(O)c1ccccc1,0.1992,-0.20008
mcts,11,CCC(c1ccoc1)(N(C)C)C(C)(O)c1cnccn1,0.01505,0.08165
mcts,12,CC(CC(C)(C)C)C(C)(c1cncnc1)N(C)C(N)=O,-0.14297,0.32478
mcts,13,COC(C)C(c1ccsc1)N(C(N)=O)c1ccoc1,-0.32551,0.61448
mcts,14,CCC(C)(c1ccncc1)C(C)(O)c1ccsc1,-0.26783,-0.13986
mcts,15,CC(C)(C)CC(c1cncnc1)(c1cnccn1)C1CCNC1,0.17428,-0.58977
mcts,16,CCC(c1cnoc1)(C(C)(C)C)C(C)(O)c1cnsc1,-0.60621,-0.06518
mcts,17,CCC(CO)(c1ccoc1)C1(C(C)(C)C)CCOC1,0.1854,0.55189
mcts,18,CC(N)(c1ccccc1)C(C)(C)C1(N)CC1c1ccsc1,-0.23814,-0.57106
mcts,19,CC(O)(c1ccccc1)C1(c2ccsc2)CCOC1,0.57242,-0.10074
random,0,CC(O)(c1cncnc1)C1(c2ccccc2)CCSC1,-0.48125,-0.07014
random,1,CC(C)(C)C(c1cncnc1)N(C(N)=O)C(C)(C)c1cnccn1,0.23467,0.50624
random,2,CC(C(=O)O)(c1ccccc1)C1(c2cnoc2)CCOC1,-0.5121,0.31222
random,3,CCC(CO)(c1cnccn1)C(C)(C)c1cnsc1,0.29332,0.0995
random,4,CCC(c1cncnc1)(c1cnccn1)C(C)(N)C(C)(C)C,0.03197,0.0963
random,5,CC(C)(C)C(C)(c1ccccc1)C(C(=O)O)c1cnoc1,-0.35015,0.42268
random,6,CC(C)(c1cnsc1)C(C)(CN)c1ccsc1,0.3894,-0.36951
random,7,CC(C)(C)CC(C)(O)C1(C(C)(C)c2cncnc2)CCSC1,-0.44425,-0.35054
random,8,NC(Cc1ccoc1)(c1cnccn1)C1CCOC1,0.03147,0.65543
random,9,CC(C)(C)C(C)(c1cnoc1)C(C)(N)c1ccsc1,0.52246,-0.20791
random,10,CC1(C(C)(Cc2cnccn2)c2ccsc2)CCCNC1,0.24807,-0.54132
random,11,CC(O)(CC1(c2ccccc2)CCSC1)c1cncnc1,-0.40007,-0.15573
random,12,CCC(c1ccncc1)(c1cnsc1)C(C)(N)C(C)(C)C,0.35539,-0.08212
random,13,CC(O)(c1ccncc1)C1(c2ccccc2)CCSC1,-0.56359,-0.02303
random,14,CC(C)(c1ccsc1)C(CC(=O)O)c1ccsc1,-0.04608,-0.61564
random,15,NC(=O)C(Cc1cnoc1)(c1ccncc1)C12CCCCN1CCC2,0.60519,0.22659
random,16,CC(C)(c1cnoc1)C(C)(N)C(C)(O)c1ccoc1,-0.15675,0.44631
random,17,CC(C)(C)C(CN(C(N)=O)c1ccccc1)c1cncnc1,0.32077,0.37644
random,18,CCC(C)(CC(C)(N)c1ccsc1)c1cncnc1,0.07428,-0.3291
random,19,CC(C)(C)C(c1ccsc1)C(C)(O)c1cncnc1,-0.15276,-0.39669
greedy,0,CNc1ccc2ccccc2n1,0.0,0.0
greedy,1,CNc1ccc2ccccc2n1,0.0,0.0
greedy,2,CNc1ccc2ccccc2n1,0.0,0.0
greedy,3,CNc1ccc2ccccc2n1,0.0,0.0
greedy,4,CNc1ccc2ccccc2n1,0.0,0.0
greedy,5,CNc1ccc2ccccc2n1,0.0,0.0
greedy,6,CNc1ccc2ccccc2n1,0.0,0.0
greedy,7,CNc1ccc2ccccc2n1,0.0,0.0
greedy,8,CNc1ccc2ccccc2n1,0.0,0.0
greedy,9,CNc1ccc2ccccc2n1,0.0,0.0
greedy,10,CNc1ccc2ccccc2n1,0.0,0.0
greedy,11,CNc1ccc2ccccc2n1,0.0,0.0
greedy,12,CNc1ccc2ccccc2n1,0.0,0.0
greedy,13,CNc1ccc2ccccc2n1,0.0,0.0
greedy,14,CNc1ccc2ccccc2n1,0.0,0.0
greedy,15,CNc1ccc2ccccc2n1,0.0,0.0
greedy,16,CNc1ccc2ccccc2n1,0.0,0.0
greedy,17,CNc1ccc2ccccc2n1,0.0,0.0
greedy,18,CNc1ccc2ccccc2n1,0.0,0.0
greedy,19,CNc1ccc2ccccc2n1,0.0,0.0
ga,0,CC1(N)CC1(Nc1ccc2ccccc2n1)C1CCOC1,-0.1886,0.57673
