seed,hypervolume,front_size,smiles,mpo,syba,sa,rrs,pns
1,0.8995,31,COCC1CNC(c2ccccc2)CO1,0.8115,-0.5560,3.0000,0.1970,1.0000
1,0.8995,31,CC(C)CN1CCCC(N2CCN(c3ccccc3)CC2)C1,0.8465,76.8409,3.0000,0.1667,1.0000
1,0.8995,31,O=C(Oc1cccnc1)C(CCNc1ccc2ccccc2n1)c1ccc(-c2ccccc2)nc1,0.2913,143.5378,3.0000,0.1529,1.0000
1,0.8995,31,CNCc1cccc(-c2ccccn2)c1,0.5786,74.6821,3.0000,0.1944,1.0000
1,0.8995,31,CC(Cc1ccccc1)N(C)Cc1cccc(-c2ccccn2)c1,0.6485,115.7144,3.0000,0.1803,1.0000
1,0.8995,31,CCCC(C)N1CCOCC1N(C(N)=O)c1cccc(-c2ccccn2)c1,0.8472,43.5409,3.0000,0.1628,1.0000
1,0.8995,31,CCCNC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1,0.7546,67.4888,3.0000,0.1918,1.0000
1,0.8995,31,CCNC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1,0.7200,76.6272,3.0000,0.1899,1.0000
1,0.8995,31,COCC(C)NC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1,0.7200,76.6272,3.0000,0.1899,1.0000
1,0.8995,31,CCCCCNC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1,0.5559,80.5984,3.0000,0.1842,1.0000
1,0.8995,31,CCCCCNC(=O)N(c1cccc(-c2ccccn2)c1)N(C(N)=O)c1ncccn1,0.4467,84.2280,3.0000,0.1818,1.0000
1,0.8995,31,CCCN(CC)N(C(=O)Nc1cccc(-c2ccccn2)c1)C1CCOC1,0.7502,86.7753,3.0000,0.1807,1.0000
1,0.8995,31,CC(CCCCNc1ccc2ccccc2n1)C(C)NC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1,0.1560,131.7888,3.0000,0.1648,1.0000
1,0.8995,31,CC(CCCC(C)C(C)NC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1)c1cccnc1,0.3680,77.3954,3.0000,0.1852,1.0000
1,0.8995,31,CCCCCNC(=O)N(c1cccc(-c2ccccn2)c1)N(C(N)=O)c1ncccn1,0.4467,84.2280,3.0000,0.1818,1.0000
1,0.8995,31,CCCCCNC(=O)N(c1cccc(-c2ccccn2)c1)N(C(N)=O)c1ncccn1,0.4467,84.2280,3.0000,0.1818,1.0000
1,0.8995,31,CC(NC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1)C(CCCNc1ccc2ccccc2n1)Cc1ccccc1,0.1032,151.1443,3.0000,0.1684,1.0000
1,0.8995,31,COCCN(C(N)=O)N(C(N)=O)c1cccc(-c2ccccn2)c1,0.8102,55.2080,3.0000,0.1781,1.0000
1,0.8995,31,CCCCCNC(=O)N(CCOC)N(C(=O)NCCOC)c1cccc(-c2ccccn2)c1,0.3745,98.7233,3.0000,0.1829,1.0000
1,0.8995,31,CCCCCNC(=O)N(c1cccc(-c2ccccn2)c1)N(C(N)=O)c1ncccn1,0.4467,84.2280,3.0000,0.1818,1.0000
1,0.8995,31,CCCCCNC(=O)N(c1cccc(-c2ccccn2)c1)N(C(N)=O)c1ncccn1,0.4467,84.2280,3.0000,0.1818,1.0000
1,0.8995,31,CCCC(C(C)NC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1)C(Nc1ccc2ccccc2n1)c1ccccc1,0.1303,121.7368,3.0000,0.1809,1.0000
1,0.8995,31,COCCCC(Cc1ccccc1)C(C)NC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1,0.2957,89.0527,3.0000,0.1932,1.0000
1,0.8995,31,CC(O)NC(=O)NN(C(=O)NC(C)C(CCCNc1ccc2ccccc2n1)Cc1ccccc1)c1cccc(-c2ccccn2)c1,0.0607,141.6595,3.0000,0.1771,1.0000
1,0.8995,31,COCC(CCC(Cc1ccccc1)C(C)NC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1)Nc1ccc2ccccc2n1,0.1089,132.5554,3.0000,0.1735,1.0000
1,0.8995,31,CCCC(CC)(C(C)NC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1)C(Nc1ccc2ccccc2n1)c1ccccc1,0.1127,128.1904,3.0000,0.1868,1.0000
1,0.8995,31,CCC(CNc1ccc2ccccc2n1)CC(C)(C)c1cccc(-c2ccccn2)c1,0.3371,130.9369,3.0000,0.1481,1.0000
1,0.8995,31,CCCCCNC(=O)N(CCOC)N(C(=O)N(CCC)CCOC)c1cccc(-c2ccccn2)c1,0.2981,107.0530,3.0000,0.1882,1.0000
1,0.8995,31,CCCCC(CCC)CNC(=O)N(CCOC)N(C(=O)NCCOC)c1cccc(-c2ccccn2)c1,0.2555,118.0283,3.0000,0.1667,1.0000
1,0.8995,31,CC(C)CNC(=O)N(c1cccc(-c2ccccn2)c1)N(c1ccccc1)c1ccc2ccccc2n1,0.2462,110.1588,3.0000,0.1852,1.0000
1,0.8995,31,CCCCCN(CC(N)=O)C(=O)N(Nc1ccc2ccccc2n1)c1cccc(-c2ccccn2)c1,0.2379,117.2914,3.0000,0.1860,1.0000
