seed,hypervolume,front_size,smiles,mpo,syba,sa,rrs,pns
0,0.6438,31,COCN(NC(N)=O)N(CCC(C)C)c1ccccc1,0.5638,39.1570,3.0000,0.1967,1.0000
0,0.6438,31,CC(C)CC(C)CNN(C)c1ccccc1,0.7399,42.9035,3.0000,0.0250,1.0000
0,0.6438,31,CCC(Cc1ccon1)CC(CCc1cnccn1)c1ccccc1,0.5613,81.4542,3.0000,0.1594,1.0000
0,0.6438,31,CCC(CC1(CCC(C)OCCCO)COCCN1)c1ccccc1,0.6005,21.2982,3.0000,0.1781,1.0000
0,0.6438,31,COCC(CC(C)(NCCNc1ccc2ccccc2n1)c1ccccc1)c1ccncn1,0.3270,128.3594,3.0000,0.1829,1.0000
0,0.6438,31,CC(CC(N)=O)C(Cc1ccco1)(c1ccccc1)C1CC1N,0.8242,31.2924,3.0000,0.1642,1.0000
0,0.6438,31,c1ccc(C(CC(c2ccccc2)(C2CCCO2)C(Nc2ccc3ccccc3n2)c2ccco2)c2cccnc2)cc1,0.1800,128.5114,3.0000,0.1412,0.0000
0,0.6438,31,CCC(c1ccccc1)C(CC(N)c1ccco1)(c1ccco1)N(C)CC1CCCO1,0.4697,71.1719,3.0000,0.1609,0.0000
0,0.6438,31,CCC(c1ccccc1)C(c1ccco1)(C1CCCS1)N(C)CC(C)C,0.5534,49.0645,3.0000,0.1831,1.0000
0,0.6438,31,CCC(c1ccccc1)C(c1ccco1)(C1CCC2CCCN2C1)N(C)CCO,0.7147,58.5318,3.0000,0.1705,1.0000
0,0.6438,31,CCCCCC(CC)C(c1ccco1)(C(CC)c1ccccc1)N(C)C,0.4104,62.7659,3.0000,0.1875,1.0000
0,0.6438,31,CCC(CC)C(CCNc1ccc2ccccc2n1)C(CC)(C(C)CC)C(C)C(c1ccccc1)C(c1ccco1)N(C)Cc1ccco1,0.0954,131.7791,3.0000,0.1429,1.0000
0,0.6438,31,CCC(C(C)NC(N)=O)C(CCc1ccccc1)C(CC)C(C)C(c1ccccc1)C(c1ccco1)N(C)C,0.0909,128.8265,3.0000,0.1667,1.0000
0,0.6438,31,CCC(C(C)NC(N)=O)C(CCc1ccccc1)C(CC)C(C)C(c1ccccc1)C(c1ccco1)N(Cc1ccccn1)Cc1ccco1,0.0909,128.8265,3.0000,0.1667,1.0000
0,0.6438,31,CCC(CC)CCC(C(C)NC(N)=O)C(CCc1ccccc1)C(CC)C(C)C(c1ccccc1)C(c1ccco1)N(C)C,0.1437,78.6129,3.0000,0.1875,1.0000
0,0.6438,31,CCC(CCc1ccncc1)CCC(C(C)NC(=O)NNc1ccc2ccccc2n1)C(CCc1ccccc1)C(CC)C(C)C(c1ccccc1)C(c1ccco1)N(C)C,0.0557,150.1642,3.0000,0.1500,1.0000
0,0.6438,31,CCC(CC)CCC(C(C)NC(N)=O)C(CCc1ccccc1)C(CC)C(C)C(c1ccccc1)C(c1ccco1)N(C)C,0.1437,78.6129,3.0000,0.1875,1.0000
0,0.6438,31,CCCC(CC)NC(=O)NC(C)C(CC(CC(C)(C)C)C(CC)CC)C(CCc1ccccc1)C(CC)C(C)C(c1ccccc1)C(CO)(c1ccco1)N(C)C,0.0799,97.6856,3.0000,0.1868,1.0000
0,0.6438,31,CCCC(CC)N(CCOC)C(=O)NC(C)C(CCC(CC)CC)C(CCc1ccccc1)C(CC)C(C)C(c1ccccc1)C(c1ccco1)N(C)Cc1cnccn1,0.0614,134.3291,3.0000,0.1696,1.0000
0,0.6438,31,CCCC(CC)N(CCOC)C(=O)NC(C)C(CCC(CC)CC)C(CCc1ccccc1)C(CC)C(C)C(c1ccccc1)C(c1ccco1)N(Cc1cnccn1)Cc1ccco1,0.0490,156.9899,3.0000,0.1624,1.0000
0,0.6438,31,CCCC(CC)N(CCOC)C(=O)NC(C)C(CCC(CC)CC)C(CCc1ccccc1)C(C(C)Nc1ccc2ccccc2n1)C(C)C(c1ccccc1)C(c1ccco1)N(Cc1cnccn1)Cc1ccco1,0.0425,206.0395,3.0000,0.1473,1.0000
0,0.6438,31,CCCC(CC)N(CCOC)C(=O)NC(C)C(CCC(CC)CCNc1ccc2ccccc2n1)C(CCc1ccccc1)C(CC)C(C)C(c1ccccc1)C(OCC)(c1ccco1)N(C)C,0.0428,158.7971,3.0000,0.1488,1.0000
0,0.6438,31,CCCC(CC)N(CCOC)C(=O)NC(C)C(CCC(CC)CC)C(CCc1ccccc1)C(CC)C(CNC(=O)Nc1ccccn1)C(c1ccccc1)C(c1ccco1)N(C)Cc1ccoc1,0.0404,177.9205,3.0000,0.1570,1.0000
0,0.6438,31,CCC(CCNc1ccc2ccccc2n1)C(CC(C(C)NC(N)=O)C(CCc1ccccc1)C(CC)C(C)C(c1ccccc1)C(c1ccco1)N(C)C)c1cccnc1,0.0594,161.0222,3.0000,0.1402,1.0000
0,0.6438,31,CCCC(CC)NC(=O)NC(C)C(CC(CC(C)(C)CNc1ccc2ccccc2n1)C(CC)C(C)CC(C)(C)C)C(CCc1ccccc1)C(CC)C(C)C(c1ccccc1)C(CC(C)(C)C)(c1ccco1)N(C)C,0.0427,167.4177,3.0000,0.1416,0.6661
0,0.6438,31,CCNN1CCOC(CC(N)=O)C1CC(CC)c1ccccc1,0.7693,20.4652,3.0000,0.1884,1.0000
0,0.6438,31,CCCCCN(CC(C(CC)C(CCc1ccccc1)C(CCC(CC)CC)C(C)NC(=O)N(CCOC)C(CC)CCC)C(c1ccccc1)C(c1ccco1)N(C)C)C(=O)NCC,0.0594,137.1252,3.0000,0.1712,1.0000
0,0.6438,31,CCCCCN(CC(C(CC)C(CCc1ccccc1)C(CCC(CC)CC)C(C)NC(=O)N(CCOC)C(CC)CCC)C(c1ccccc1)C(c1ccco1)N(C)C)C(=O)NCC,0.0594,137.1252,3.0000,0.1712,1.0000
0,0.6438,31,CCCCCCC(CCC)N(CCOC)C(=O)NC(C)C(CCC(CC)CC)C(CCc1ccccc1)C(CC)C(CN(CCCCC)C(=O)NCC)C(c1ccccc1)C(c1ccco1)N(C)C,0.0562,145.1499,3.0000,0.1681,1.0000
0,0.6438,31,CCCCCCC(CCC)N(CCOC)C(=O)NC(C)C(CCC(CC)(CC)CCOC)C(CCc1ccccc1)C(CC)C(CN(CCCCC)C(=O)NCC)C(c1ccccc1)C(c1ccco1)N(C)C,0.0551,152.3832,3.0000,0.1610,1.0000
0,0.6438,31,CCC(CCc1ccncc1)CCC(C(C)NC(=O)NNc1ccc2ccccc2n1)C(CCc1ccccc1)C(CC)C(C)C(c1ccccc1)C(c1ccco1)N(C)C,0.0557,150.1642,3.0000,0.1500,1.0000
