seed,hypervolume,front_size,smiles,mpo,syba,sa,rrs,pns
15,0.8558,60,CCCC(CC(Nc1ccc2ccccc2n1)OCc1ccccc1)CC(C)(C)CCN(C)C(C)CC,0.1987,103.2776,3.0000,0.1628,1.0000
15,0.8558,60,NC(=O)Nc1ccc(-c2ccncn2)cc1,0.7968,62.1041,3.0000,0.1186,1.0000
15,0.8558,60,c1ccc(COCCC(CCc2ncccn2)c2cccs2)cc1,0.5226,97.7411,3.0000,0.1562,1.0000
15,0.8558,60,COC(Nc1ccc2ccccc2n1)(c1ccccc1)c1cnccn1,0.5559,82.3515,3.0000,0.1268,1.0000
15,0.8558,60,CCC(CC(C)C)(OCCC(CO)(CCOC)C(COC)NC(=O)Nc1ccccc1)c1ccccc1,0.2558,95.9814,3.0000,0.1829,1.0000
15,0.8558,60,c1ccc(-c2ccccc2CCNc2ccc3ccccc3n2)cc1,0.5199,122.0872,3.0000,0.0351,1.0000
15,0.8558,60,CCN(NC)C(C)C(CC(C)CNC(N)=O)(OC)c1ccccc1,0.5715,29.3872,3.0000,0.1765,1.0000
15,0.8558,60,CC1CNCC(C2C(NC(N)=O)OCC2c2ccccc2)C1,0.7946,-38.8342,3.0000,0.1806,0.0534
15,0.8558,60,CCCCCCc1ccccc1-c1ccncn1,0.7047,58.0849,3.0000,0.1695,1.0000
15,0.8558,60,CCCCC(C)COC(CC)(CC(C)C(CCO)c1ccncc1)c1ccccc1,0.3750,51.0546,3.0000,0.1842,1.0000
15,0.8558,60,CCC(C)(CCC(O)CC(=O)Nc1ccccc1)CC(CC)(OC)c1ccccc1,0.4560,70.7497,3.0000,0.1818,1.0000
15,0.8558,60,CCC(O)(CCC(C)C(C(=N)N)C(CC)(OC)c1ccccc1)CC(N)=O,0.1287,-0.3596,3.0000,0.1923,1.0000
15,0.8558,60,CNC(CC(CC(=O)Nc1ccccc1)Oc1ccccc1)C(C)CC(CCc1ccccc1)(OC)c1ccccc1,0.1468,100.9553,3.0000,0.1905,1.0000
15,0.8558,60,COC(CCc1ccccc1)(CC(CCC(N)=O)CCC(CC(=O)Nc1ccccc1)Oc1ccccc1)c1ccccc1,0.1239,112.3610,3.0000,0.1724,1.0000
15,0.8558,60,CNC(C(C)CC(CCc1ccccc1)(OC)c1ccccc1)C(c1ccccc1)C(CC(=O)Nc1ccccc1)Oc1ccccc1,0.1065,102.8758,3.0000,0.1839,1.0000
15,0.8558,60,COC(CCc1ccccc1)(CC(CCC(=O)NNc1ccc2ccccc2n1)CCC(CC(=O)Nc1ccccc1)Oc1ccccc1)c1ccccc1,0.0676,165.8772,3.0000,0.1500,1.0000
15,0.8558,60,CCC(C)C(C(=O)Nc1ccccc1)C(CCC(CCOC)CC(CCc1ccccc1)(OC)c1ccccc1)Oc1ccccc1,0.1051,92.6787,3.0000,0.1910,1.0000
15,0.8558,60,CCC(C)C(C(=O)Nc1ccccc1)C(CCC(CCOC)CC(CCc1ccccc1)(OC)c1ccccc1)Oc1ccccc1,0.1051,92.6787,3.0000,0.1910,1.0000
15,0.8558,60,CCC(C)C(C(=O)Nc1ccccc1)C(CCC(CCOC)(CC(C)(C)C)CC(CCc1ccccc1)(OC)c1ccccc1)Oc1ccccc1,0.0937,105.2000,3.0000,0.1957,1.0000
15,0.8558,60,COCCOC(CCc1ccccc1)(CC(CCC(N)=O)CCC(CC(=O)Nc1ccccc1)Oc1ccccc1)c1ccccc1,0.0913,119.2920,3.0000,0.1758,1.0000
15,0.8558,60,COCCC(CC(CCc1ccccc1)(OC)c1ccccc1)C(CC(Oc1ccccc1)C(C(=O)Nc1ccccc1)C(C)C(C)NC(N)=O)c1ccco1,0.0646,109.8138,3.0000,0.1863,1.0000
15,0.8558,60,COC(CCc1ccccc1)(CC(CCC(N)=O)C(CC(CC(=O)Nc1ccccc1)Oc1ccccc1)c1ccncn1)c1ccccc1,0.0924,122.9098,3.0000,0.1485,1.0000
15,0.8558,60,COC(CCc1ccccc1)(CC(CCC(N)=O)CCC(CC(=O)Nc1ccccc1)Oc1ccccc1)c1ccccc1,0.1239,112.3610,3.0000,0.1724,1.0000
15,0.8558,60,COCC(CC(CC(=O)Nc1ccccc1)Oc1ccccc1)C(CCC(N)=O)CC(CCc1ccccc1)(OC)c1ccccc1,0.1043,114.7634,3.0000,0.1630,1.0000
15,0.8558,60,COC(CCc1ccccc1)(CC(CCC(N)=O)CCC(CC(=O)Nc1ccccc1)Oc1ccccc1)c1ccccc1,0.1239,112.3610,3.0000,0.1724,1.0000
15,0.8558,60,COC(CCc1ccccc1)(CC(C)C(NCc1cccs1)C(c1ccccc1)C(CC(=O)Nc1ccccc1)Oc1ccccc1)c1ccccc1,0.0874,136.1164,3.0000,0.1818,1.0000
15,0.8558,60,CCC(C)C(C(=O)Nc1ccccc1)C(Oc1ccccc1)C(CC(C)CC(CCc1ccccc1)(OC)c1ccccc1)c1ccncc1,0.1009,110.0155,3.0000,0.1828,1.0000
15,0.8558,60,CCC(CC(CCCO)(CCC(CC(=O)Nc1ccccc1)Oc1ccccc1)N1CCOCC1)(OC)c1ccccc1,0.1893,105.1582,3.0000,0.1789,1.0000
15,0.8558,60,CCC(CC(CCCO)CCC(CC(=O)N(c1ccccc1)C1CNCCO1)Oc1ccccc1)(OC)c1ccccc1,0.1923,35.2332,3.0000,0.1856,0.0000
15,0.8558,60,CC(C)COC(CCc1ccccc1)(CC(CCC(N)=O)CCC(CC(=O)Nc1ccccc1)Oc1ccccc1)c1ccccc1,0.1018,116.8911,3.0000,0.1648,1.0000
15,0.8558,60,COC(CCc1ccccc1)(CC(CCC(N)=O)CCC(CC(=O)Nc1ccccc1)Oc1ccccc1)c1ccccc1,0.1239,112.3610,3.0000,0.1724,1.0000
15,0.8558,60,CC(C)COC(CCc1ccccc1)(CC(CCC(N)=O)CCC(CC(=O)Nc1ccccc1)Oc1ccccc1)c1ccccc1,0.1018,116.8911,3.0000,0.1648,1.0000
15,0.8558,60,COC(CCc1ccccc1)(CC(CCC(=O)Nc1cncnc1)CCC(CC(=O)Nc1ccccc1)Oc1ccccc1)c1ccccc1,0.0912,132.9567,3.0000,0.1758,1.0000
15,0.8558,60,COC(CCc1ccccc1)(CC(CCC(=O)Nc1cncnc1)CCC(Oc1ccccc1)C(Nc1ccc2ccccc2n1)C(=O)Nc1ccccc1)c1ccccc1,0.0655,180.3280,3.0000,0.1509,1.0000
15,0.8558,60,CCC(CC(C)(CC(c1ccccc1)C(O)CC(=O)Nc1ccccc1)c1ccccn1)(OC)c1ccccc1,0.0899,133.5433,3.0000,0.1524,0.1794
15,0.8558,60,COC(CCc1cccs1)(CC(C)(CC(c1ccccc1)C(O)CC(=O)N(Nc1ccc2ccccc2n1)c1ccccc1)c1ccccn1)c1ccccc1,0.0899,133.5433,3.0000,0.1524,0.1794
15,0.8558,60,CCC(CC)OCCCC(CCC(CC(=O)Nc1ccccc1)Oc1ccccc1)(CC(CC)(OC)c1ccccc1)N1CCOCC1,0.1156,109.4250,3.0000,0.1837,1.0000
15,0.8558,60,COCC(CC(CC(=O)Nc1ccccc1)Oc1ccccc1)C(CCC(N)=O)CC(CC(c1ccccc1)N1CCOCC1)(OC)c1ccccc1,0.0923,125.5468,3.0000,0.1538,1.0000
15,0.8558,60,CCOCCC(C)(C)CC(CCOC)(CCC(Oc1ccccc1)C(C(=O)Nc1ccccc1)C(C)CC)CC(CCc1ccccc1)(OC)c1ccccc1,0.0645,107.7218,3.0000,0.1875,1.0000
15,0.8558,60,CCCC(C)(C)C(CC(CCOCc1ccccc1)Cc1ccsc1)C(OC)(c1ccccc1)c1ccco1,0.1316,108.9569,3.0000,0.1237,0.0000
15,0.8558,60,CCC(C)C(C(=O)Nc1ccccc1)C(CCC(CCOC)(CC(C)(C)C)CC(CCc1ccccc1)(OC)c1ccccc1)Oc1ccccc1,0.0937,105.2000,3.0000,0.1957,1.0000
15,0.8558,60,CCC(C)C(COC)(C(=O)Nc1ccccc1)C(CCC(Cc1cncnc1)(CC(CCc1ccccc1)(OC)c1ccccc1)c1ccccc1)Oc1ccccc1,0.0737,118.8291,3.0000,0.1837,1.0000
15,0.8558,60,CCC(CC(CCC(O)CC(=O)Nc1ccccc1)Cc1ccncc1)(OC)c1ccccc1,0.1061,126.0779,3.0000,0.1398,1.0000
15,0.8558,60,CCC(CC(CCC(O)(CC(=O)Nc1ccccc1)Nc1ccc2ccccc2n1)Cc1ccncc1)(OC)c1ccccc1,0.1061,126.0779,3.0000,0.1398,1.0000
15,0.8558,60,COCC(C(=O)Nc1ccccc1)(C(C)CCNc1ccc2ccccc2n1)C(CCC(C)CC(CC(CCO)c1ccccc1)(OC)c1ccccc1)Oc1ccccc1,0.0559,156.8238,3.0000,0.1782,1.0000
15,0.8558,60,COC(CCc1ccccc1)(CC(C)C(NCc1cccs1)C(c1ccccc1)C(CC(=O)Nc1ccccc1)Oc1ccccc1)c1ccccc1,0.0874,136.1164,3.0000,0.1818,1.0000
