seed,hypervolume,front_size,smiles,mpo,syba,sa,rrs,pns
0,0.7231,34,OCCN1CCNCC1c1ccccc1,0.7610,0.0751,3.0000,0.1818,1.0000
0,0.7231,34,CC(C)CCC(C)(C)CN1CCNC(c2ccccc2)C1,0.8477,26.3398,3.0000,0.1781,1.0000
0,0.7231,34,CCC(CCC(C)NC(=O)Nc1ccccc1)Cc1cnoc1,0.7656,102.4438,3.0000,0.1781,1.0000
0,0.7231,34,CCC(C)N(Nc1ccc2ccccc2n1)C(=O)Nc1ccccc1,0.0770,109.6184,3.0000,0.1391,0.0000
0,0.7231,34,CCC(Cc1cccs1)N(C(=O)Nc1ccccc1)N(OCc1cnccn1)c1ccc2ccccc2n1,0.2102,129.6571,3.0000,0.1383,1.0000
0,0.7231,34,CCC(CC(C1CCCO1)C1(Cc2cccnc2)CNCCC1C(C)C(CNc1ccc2ccccc2n1)NC(=O)Nc1ccccc1)c1ccccc1,0.0860,133.4017,3.0000,0.1261,1.0000
0,0.7231,34,CCCCN(CCCC(NC(=O)Nc1ccccc1)(c1ccsc1)C(C)(C(C)CNc1ccc2ccccc2n1)C1C(NCC)CNCC1(C)Nc1ccc2ccccc2n1)c1ccccc1,0.0422,136.2460,3.0000,0.1176,1.0000
0,0.7231,34,CCNC1CNCC(C)(Nc2ccc3ccccc3n2)C1C(C)(C(C)CNc1ccc2ccccc2n1)C(CCC(CCO)Nc1ccccc1)(NC(=O)Nc1ccccc1)c1ccsc1,0.0375,107.3391,3.0000,0.1565,0.0000
0,0.7231,34,CC(NC1CNCC(C)(Nc2ccc3ccccc3n2)C1C(C)(C(C)CNc1ccc2ccccc2n1)C(CCCNc1ccccc1)(NC(=O)Nc1ccccc1)c1ccsc1)c1ccco1,0.0395,142.0723,3.0000,0.1333,0.0000
0,0.7231,34,CCC(C)CC(C1C(NC(CNC(=O)Cc2ccncn2)COC)CNCC1(CC1COC(NC=N)CN1)Nc1ccc2ccccc2n1)(C(CC(CNc1ccccc1)c1cccnc1)(NC(=O)Nc1ccccc1)c1ccsc1)C(C)(COC)C(Nc1ccc2ccccc2n1)c1cccs1,0.0130,147.2484,3.0000,0.0889,0.0000
