seed,hypervolume,front_size,smiles,mpo,syba,sa,rrs,pns
4,0.6079,39,CCCCCCC(C(=O)OCCc1cccs1)c1ccccc1,0.4192,113.3824,3.0000,0.1875,1.0000
4,0.6079,39,CC(C)CNC(=O)Nc1ccccc1-c1ccno1,0.8860,75.1425,3.0000,0.0121,1.0000
4,0.6079,39,CC(CC(c1ccncn1)C(C)C)OC(=O)C(Nc1ccc2ccccc2n1)c1ccccc1,0.3155,116.8583,3.0000,0.1842,1.0000
4,0.6079,39,CC(C)CC(C(=O)O)(c1ccccc1)c1ccco1,0.8893,49.5175,3.0000,0.1964,1.0000
4,0.6079,39,CC(C)(C)CCOCCCCOC(=O)Cc1ccccc1,0.5095,109.6033,3.0000,0.1579,1.0000
4,0.6079,39,CC(C)(CNc1ccc2ccccc2n1)CC(C(=O)Oc1ccccn1)(c1ccccc1)c1cccs1,0.2154,141.8502,3.0000,0.1477,1.0000
4,0.6079,39,CCCCCCCC(C)(C)C(CNN)C(C(=O)Oc1ccccn1)c1ccccc1,0.2040,63.9938,3.0000,0.1972,1.0000
4,0.6079,39,CCCCC(C(C)(CCC(=O)N(CCCC)c1cccnc1)CNc1ccc2ccccc2n1)C(C(=O)Oc1ccccn1)(c1ccccc1)c1cccs1,0.0823,182.5843,3.0000,0.1316,1.0000
4,0.6079,39,CC(CCC(=O)Nc1ccsc1)(CC(O)CNc1ccc2ccccc2n1)CC(C(=O)Oc1ccccn1)(c1ccccc1)c1cccs1,0.0929,173.4628,3.0000,0.1402,1.0000
4,0.6079,39,CC(C)(C)C(CC(=O)O)C(C(=O)Oc1ccccn1)c1ccccc1,0.5575,48.7998,3.0000,0.1972,1.0000
4,0.6079,39,O=C(Oc1ccccn1)C(CO)(CC(CNc1ccc2ccccc2n1)(Cc1ccccc1)Cc1cccnc1)c1ccccc1,0.1387,154.0769,3.0000,0.1364,1.0000
4,0.6079,39,CC(C)(C)CC(C(=O)Oc1ccccn1)c1ccccc1,0.7365,66.5659,3.0000,0.1558,1.0000
4,0.6079,39,CC(C)(C)CC(C(=O)Oc1ccccn1)c1ccccc1,0.8185,65.7161,3.0000,0.1774,1.0000
4,0.6079,39,CC(C)(CCNN)CC(C(=O)Oc1ccccn1)c1ccccc1,0.4426,60.1538,3.0000,0.1970,1.0000
4,0.6079,39,CC(C)(C)CC(C(=O)Oc1ccccn1)(c1ccccc1)c1cnccn1,0.6374,75.5686,3.0000,0.1692,1.0000
4,0.6079,39,CCCC(C)C(C(C(=O)Oc1ccccn1)c1ccccc1)C(C)(C)Cc1cccs1,0.3173,80.2761,3.0000,0.1892,1.0000
4,0.6079,39,CC(=O)OCC(C)(C)CC(C(=O)Oc1ccccn1)c1ccccc1,0.7177,69.2191,3.0000,0.1875,1.0000
4,0.6079,39,CC(C)(Cc1cccnc1)CC(C(=O)Oc1ccccn1)c1ccccc1,0.5667,92.2049,3.0000,0.1739,1.0000
4,0.6079,39,CC(C)(Cc1cccnc1)CC(CO)(C(=O)Oc1ccccn1)c1ccccc1,0.5894,86.1615,3.0000,0.1486,1.0000
4,0.6079,39,CC(CNc1ccc2ccccc2n1)(Cc1cccs1)CC(C(=O)Oc1ccccn1)c1ccccc1,0.2037,138.9276,3.0000,0.1685,1.0000
4,0.6079,39,CNNC(CC(C)(C)C)(C(=O)Oc1ccccn1)c1ccccc1,0.6306,56.7846,3.0000,0.1967,1.0000
4,0.6079,39,CNC(C(C(=O)Oc1ccccn1)c1ccccc1)C(C)(C)COC(=O)Cc1ccoc1,0.4840,84.3691,3.0000,0.1842,1.0000
4,0.6079,39,CC(O)CC(C)(C)C(CC(=O)O)C(C(=O)Oc1ccccn1)c1ccccc1,0.6396,52.6035,3.0000,0.1970,1.0000
4,0.6079,39,CC(C)(Cc1cnccn1)CC(C(=O)Oc1ccccn1)c1ccccc1,0.5896,83.6592,3.0000,0.1765,1.0000
4,0.6079,39,CC(C)(Cc1cccnc1)CC(C(=O)Oc1ccccn1)c1ccccc1,0.5667,92.2049,3.0000,0.1739,1.0000
4,0.6079,39,CC(=O)NCC(C)(C)C(OC(C)=O)C(C(=O)Oc1ccccn1)c1ccccc1,0.6873,72.1697,3.0000,0.1912,1.0000
4,0.6079,39,CC(C)(C)CC(CNN)(C(=O)Oc1ccccn1)c1ccccc1,0.4845,61.8483,3.0000,0.1935,1.0000
4,0.6079,39,CC(=O)NCC(C)(CNc1ccc2ccccc2n1)C(OC(C)=O)C(C(=O)Oc1ccccn1)c1ccccc1,0.2669,117.7610,3.0000,0.1573,1.0000
4,0.6079,39,CC(C)(C)CC(C(=O)Oc1ccccn1)(c1ccccc1)c1cnccn1,0.6374,75.5686,3.0000,0.1692,1.0000
4,0.6079,39,CC(=O)OCC(C)(C)CC(C(=O)Oc1ccccn1)c1ccccc1,0.7177,69.2191,3.0000,0.1875,1.0000
4,0.6079,39,CC(C)(Cc1cccnc1)CC(CN)(C(=O)Oc1ccccn1)c1ccccc1,0.5906,75.8907,3.0000,0.1375,1.0000
4,0.6079,39,CCC(C)C(CC(C)(C)C(OC)c1cccnc1)(C(=O)Oc1ccccn1)c1ccccc1,0.3486,79.2146,3.0000,0.1892,1.0000
4,0.6079,39,CC(C)(Cc1cccnc1)CC(CN)(C(=O)Oc1ccccn1)c1ccccc1,0.5906,75.8907,3.0000,0.1375,1.0000
4,0.6079,39,CCCCCCC(=O)NCC(C)(C)C(OC(C)=O)C(C(=O)Oc1ccccn1)c1ccccc1,0.3347,115.5607,3.0000,0.1688,1.0000
4,0.6079,39,CC(C)(CCC(=O)O)CC(C(=O)Oc1ccccn1)c1ccccc1,0.7330,59.6652,3.0000,0.1875,1.0000
4,0.6079,39,CC(C)(Cc1ccccn1)CC(C(=O)Oc1ccccn1)c1ccccc1,0.5667,79.7951,3.0000,0.1875,1.0000
4,0.6079,39,CC(C)(CCC(=O)OC1CCOC1)CC(C(=O)Oc1ccccn1)c1ccccc1,0.5729,86.8036,3.0000,0.1529,1.0000
4,0.6079,39,CCCOC(=O)CCC(C)(C)CC(C(=O)Oc1ccccn1)c1ccccc1,0.5449,96.5404,3.0000,0.1714,1.0000
4,0.6079,39,CC(C)(Cc1ccccn1)CC(C(=O)Oc1ccccn1)c1ccccc1,0.5667,79.7951,3.0000,0.1875,1.0000
