method,seed,smiles,mpo,syba,sa,rrs,pns
random,17,CC(C)(C)C(CN(C(N)=O)c1ccccc1)c1cncnc1,0.9417879660778906,0.999988418401108,3.0,0.18032786885245902,1.0
random,18,CN(c1ccc2ccccc2n1)C(CC(=O)O)C(C)(C)C,0.933364433214675,0.999982600521454,3.0,0.18461538461538463,1.0
ga,11,COCC1(Nc2ccc3ccccc3n2)CCCN2CCCC21C,0.930327708201307,0.9985095770531308,3.0,0.18055555555555555,1.0
greedy,11,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.9320799925728936,0.999973360026314,3.0,0.171875,1.0
mcts,15,CC(O)C(c1ccncc1)(c1cncnc1)C(C)(C)C,0.9318274043303432,0.9986225631266762,3.0,0.17307692307692307,1.0
mcts,2,NC(=O)CC(c1ccncc1)C12CCCCN1CCC2,0.9131718728548625,0.9982058789506769,3.0,0.1791044776119403,1.0
random,13,CC(O)(c1ccncc1)C1(c2ccccc2)CCSC1,0.9384052459503945,0.9984947660811726,3.0,0.15254237288135594,1.0
random,0,CC(O)(c1cncnc1)C1(c2ccccc2)CCSC1,0.9421717067232603,0.9937340657593465,3.0,0.15,1.0
random,11,CC(O)(CC1(c2ccccc2)CCSC1)c1cncnc1,0.9419611463011835,0.9986488638150143,3.0,0.14285714285714285,1.0
mcts,4,CC(C)(c1cnsc1)C(C)(C(=O)O)c1ccccc1,0.9292363248354626,0.991415046039698,3.0,0.15517241379310345,1.0
random,12,CN(C)C(C(C(=O)O)c1ccoc1)(C(C)(C)C)C(C)(C)C,0.9166188963568653,0.9949365826208202,3.0,0.16363636363636364,1.0
mcts,8,CCC(C(=O)O)C(c1ccncc1)(c1ccncc1)C(C)(C)C,0.9086084902504861,0.9957917539829172,3.0,0.16981132075471697,1.0
mcts,5,COC(C)(c1cnccn1)C(C)(O)c1ccccc1,0.9134738761343724,0.9999084000331906,3.0,0.15625,1.0
mcts,19,CC(C)(O)C(C)(OCc1ccoc1)c1ccccc1,0.8945480537983234,0.9999188767699762,3.0,0.1746031746031746,1.0
random,14,CC(C)(c1ccsc1)C(CC(=O)O)c1ccsc1,0.8839562932974228,0.9998919493802823,3.0,0.18181818181818182,1.0
mcts,16,CC1(C(O)(c2ccccc2)c2cnsc2)CCOC1,0.9363098730497801,0.9751515395684264,3.0,0.15384615384615385,1.0
ga,0,CC(C)(C)CC1(Nc2ccc3ccccc3n2)CC1(C)N,0.8966489927506395,0.9985569855608761,3.0,0.1694915254237288,1.0
mcts,7,CC(CC(C)(C)c1cnsc1)C(C)(O)c1ccncc1,0.9119040967548272,0.9994145623330705,3.0,0.15254237288135594,1.0
random,6,CC(C(=O)O)(c1ccccc1)C12CCCCN1CCC2,0.9198907651578826,0.94494818415086,3.0,0.19672131147540983,1.0
mcts,6,CC(C(=O)O)(c1ccccc1)C12CCCCN1CCC2,0.9198907651578826,0.94494818415086,3.0,0.19672131147540983,1.0
mcts,12,CC(C(C)(C)C)C(C)(C)C(C)(C(N)=O)c1ccncc1,0.9142096916931064,0.9985341070519341,3.0,0.14814814814814814,1.0
ga,8,CN(CC(=O)O)c1ccc2ccccc2n1,0.8488818558715809,0.9999844883855499,3.0,0.18333333333333332,1.0
random,19,CN(C)C(c1ccccc1)(C(C)(C)C)C1(N)CC1c1ccccc1,0.9051772606592705,0.9204134167044524,3.0,0.14285714285714285,1.0
random,2,CC(C(=O)O)(c1ccccc1)C1(c2cnoc2)CCOC1,0.9342832656902572,0.8902299173377176,3.0,0.136986301369863,1.0
ga,14,CC(O)C(CC(C)(C)C)(c1ccsc1)N(C)C,0.891889908488041,0.9997809153570584,3.0,0.06862745098039212,1.0
ga,17,CC(O)C(c1ccsc1)N(C)C,0.774948874103004,0.9991056421224184,3.0,0.16326530612244897,1.0
ga,7,CC(C)(C)C(C)(CO)Nc1ccc2ccccc2n1,0.8860617657502436,0.9999885536809839,3.0,0.0,1.0
ga,2,CCC(C)(C)Nc1ccc2ccccc2n1,0.8393927460000099,0.9999988212936683,3.0,0.005102040816326522,1.0
ga,3,O=C(O)CC(c1ccncc1)c1ccsc1,0.8829489837129073,0.9999344577173657,3.0,0.14285714285714285,0.4750059722088031
mcts,10,CC(C)(C)C(C)(c1cnsc1)C(C(=O)O)c1ccncc1,0.9349445678434516,0.9902032568163592,3.0,0.15,0.2523830024975581
mcts,14,CC(C)(C)C(C)(O)C(c1cncnc1)c1ccsc1,0.9333984349526531,0.9996459321401285,3.0,0.16363636363636364,0.0
ga,4,CC(O)(c1cnsc1)C1(Cc2ccsc2)CCOC1,0.9423778036239256,0.9993139858922747,3.0,0.14084507042253522,0.0
