model,fold,seed,test_auc,split
GIN-TNE,0,0,0.8430385601519733,scaffold
GIN-TNE,0,1,0.790869341114392,scaffold
GIN-TNE,0,2,0.7831571779613347,scaffold
GIN-TNE,0,3,0.7839221754172174,scaffold
GIN-TNE,0,4,0.7788618048841565,scaffold
GIN-TNE,1,0,0.8036540345550214,scaffold
GIN-TNE,1,1,0.7976786449046769,scaffold
GIN-TNE,1,2,0.7299170021308138,scaffold
GIN-TNE,1,3,0.8198616721752969,scaffold
GIN-TNE,1,4,0.836469822953787,scaffold
GIN-TNE,2,0,0.879056413388388,scaffold
GIN-TNE,2,1,0.7629960834249773,scaffold
GIN-TNE,2,2,0.8232691624717644,scaffold
GIN-TNE,2,3,0.78501075227652,scaffold
GIN-TNE,2,4,0.8063193277310924,scaffold
GIN-TNE,3,0,0.7652153132915931,scaffold
GIN-TNE,3,1,0.7971337293737837,scaffold
GIN-TNE,3,2,0.868904488571724,scaffold
GIN-TNE,3,3,0.8440976858032934,scaffold
GIN-TNE,3,4,0.8483105751021629,scaffold
GIN-TNE,4,0,0.8260451913746042,scaffold
GIN-TNE,4,1,0.7472934928920845,scaffold
GIN-TNE,4,2,0.831889058739295,scaffold
GIN-TNE,4,3,0.838627118040078,scaffold
GIN-TNE,4,4,0.7787738677243796,scaffold
