model,fold,seed,test_auc,split
GIN,0,0,0.5,random
GIN,0,1,0.5,random
GIN,0,2,0.5,random
GIN,0,3,0.5,random
GIN,0,4,0.5,random
GIN,1,0,0.5,random
GIN,1,1,0.5,random
GIN,1,2,0.5,random
GIN,1,3,0.5,random
GIN,1,4,0.5,random
GIN,2,0,0.5,random
GIN,2,1,0.5,random
GIN,2,2,0.5,random
GIN,2,3,0.5,random
GIN,2,4,0.5,random
GIN,3,0,0.5,random
GIN,3,1,0.5,random
GIN,3,2,0.5,random
GIN,3,3,0.5,random
GIN,3,4,0.5,random
GIN,4,0,0.5,random
GIN,4,1,0.5,random
GIN,4,2,0.5,random
GIN,4,3,0.5,random
GIN,4,4,0.5,random
