model,fold,seed,test_auc,split
GIN,0,0,0.8263083290372829,scaffold
GIN,0,1,0.7944267293344749,scaffold
GIN,0,2,0.7826035467921959,scaffold
GIN,0,3,0.8026340604525197,scaffold
GIN,0,4,0.7593222100169226,scaffold
GIN,1,0,0.8061178478047895,scaffold
GIN,1,1,0.7880289314763325,scaffold
GIN,1,2,0.7350026281084858,scaffold
GIN,1,3,0.8118183256749939,scaffold
GIN,1,4,0.820321527558928,scaffold
GIN,2,0,0.8992880282531632,scaffold
GIN,2,1,0.8475715948627913,scaffold
GIN,2,2,0.8112059127872508,scaffold
GIN,2,3,0.7798037477404791,scaffold
GIN,2,4,0.7893974478680361,scaffold
GIN,3,0,0.7737435221663105,scaffold
GIN,3,1,0.8086875362671958,scaffold
GIN,3,2,0.8531841452063296,scaffold
GIN,3,3,0.8518729705450889,scaffold
GIN,3,4,0.8402298130455212,scaffold
GIN,4,0,0.8274546505246401,scaffold
GIN,4,1,0.72756638249596,scaffold
GIN,4,2,0.8147207872320555,scaffold
GIN,4,3,0.830524909457948,scaffold
GIN,4,4,0.7359983703840359,scaffold
