model,fold,seed,test_auc,split,curve
ChemBERTa,0,0,0.9176683312671045,random,"[0.8923942041276754, 0.9018596359773896, 0.907572448404056, 0.910889183481064, 0.9114773957685769, 0.9087213407329032, 0.9113039683487238, 0.9141804447975892, 0.9159440524172798, 0.9065715097345789]"
ChemBERTa,0,1,0.911517275830765,random,"[0.8848000012569643, 0.8939232057619246, 0.9044416407155897, 0.9083285411566797, 0.9095011841651819, 0.9107890489074362, 0.9143703498865067, 0.913475810244469, 0.9122431995609004, 0.9131620928875719]"
ChemBERTa,0,2,0.9129296137894636,random,"[0.8800267182577153, 0.8948693973423227, 0.9004129744515631, 0.9015822826988515, 0.8960545971089737, 0.9000651552293863, 0.90226408014247, 0.9063589658414355, 0.9038991124330121, 0.9062830966522208]"
ChemBERTa,0,3,0.9114381118817287,random,"[0.8851490435813926, 0.9010671029877021, 0.9084289855432435, 0.9159792230049645, 0.9128545496506637, 0.9128077196533857, 0.918967804764965, 0.9116667235871052, 0.9135440631464997, 0.9115709937584152]"
ChemBERTa,0,4,0.916426436443962,random,"[0.8807864892536817, 0.9000193760899051, 0.9006244818484155, 0.9041960881474447, 0.9030777277669955, 0.9030038762767837, 0.9054732689369513, 0.9040793551467872, 0.9032603712374121, 0.9003669280850599]"
ChemBERTa,1,0,0.9099973702664796,random,"[0.8838957528546649, 0.89548202066639, 0.9066857155019208, 0.9081372580319041, 0.9120587640604879, 0.9103848077557493, 0.909147431599783, 0.9115958454383892]"
ChemBERTa,1,1,0.915565631773556,random,"[0.8842819745432571, 0.9024599760941804, 0.9098365416655203, 0.9081057644003012, 0.917733563220499, 0.9099669740999907, 0.9103050284760498, 0.9153921481712455]"
ChemBERTa,1,2,0.9132626227208976,random,"[0.8893553943228909, 0.9021617547313611, 0.913439130475804, 0.9176942890299936, 0.91691171306037, 0.9188809949879494, 0.9209231356293788, 0.9222303991714025, 0.9213099682252143, 0.9209669032740295]"
ChemBERTa,1,3,0.9054886390199328,random,"[0.8953900107472141, 0.9070083149499406, 0.9137471782134943, 0.9146763751549092, 0.916045487969805, 0.9116995510852629, 0.9099949092143221, 0.9113946181653632]"
ChemBERTa,1,4,0.9115224164860386,random,"[0.8879433452495967, 0.9033027992296357, 0.9092100172718874, 0.9108674419637102, 0.9162223612805296, 0.9105048803123739, 0.9128829359248916, 0.9106716269610567]"
ChemBERTa,2,0,0.907565198797229,random,"[0.8838046142336958, 0.8982266777434728, 0.9047399843767436, 0.912550579259094, 0.9104736781195881, 0.9137187069895474, 0.9097116310596949, 0.9151565218828916, 0.9045837001492062, 0.9150485436893203]"
ChemBERTa,2,1,0.913457362456968,random,"[0.8839195185793255, 0.9017458287197893, 0.9068719004407791, 0.908644137723306, 0.9124492510149798, 0.9093889334334526, 0.9107708754915811, 0.9152014686978986, 0.9135580924745141, 0.9155570297684956]"
ChemBERTa,2,2,0.9138843621169621,random,"[0.8736258962657086, 0.8980053456532071, 0.9072380962115366, 0.9111778324040619, 0.9117773019271949, 0.9063143612046629, 0.9122990908301094, 0.9099139891553766, 0.9074872363586186, 0.913110137831995]"
ChemBERTa,2,3,0.9147152848612351,random,"[0.8998040319386245, 0.9095662121875455, 0.9172639523005399, 0.9230559551358226, 0.917436727333375, 0.9207960681301729, 0.9260856422123545, 0.9206748910709446, 0.9178289240519524, 0.9187006170909167]"
ChemBERTa,2,4,0.90760670342981,random,"[0.8809354966363276, 0.8883764674845008, 0.8912697533306952, 0.9009436749769161, 0.902021369212505, 0.8996562458778525, 0.9024355625906872, 0.9000556654794883, 0.8982047223321461, 0.8995520379897113]"
ChemBERTa,3,0,0.9120880416188533,random,"[0.8861378017950674, 0.8867991424374089, 0.8956229008663874, 0.9060237023655646, 0.905620876354217, 0.9086444074149056, 0.9073443072275085, 0.9064719501243259, 0.9011329481569152]"
ChemBERTa,3,1,0.9169493962238089,random,"[0.8911685984996831, 0.9079178828523766, 0.9090381440555295, 0.9137896527027992, 0.9162952296670698, 0.9192935917380872, 0.9210710800594589, 0.9164737357979441, 0.9188505719769177, 0.9160134063513564]"
ChemBERTa,3,2,0.9062478417591058,random,"[0.8821875771763062, 0.8979699018974205, 0.9035683696685952, 0.9030405494164815, 0.9027581169769482, 0.907915990142451, 0.9053596481548624, 0.9065471780401554, 0.9060803106494107]"
ChemBERTa,3,3,0.9209129226167708,random,"[0.8850577884703671, 0.9005032956398926, 0.9041179765833669, 0.9066532825893857, 0.9052899430626496, 0.9072320442045949, 0.9105728192499623, 0.9090387398884363, 0.9126859181418553, 0.9054699678431382]"
ChemBERTa,3,4,0.9092617421586128,random,"[0.9048759815961532, 0.909770989725672, 0.9142826691682657, 0.9212703416025836, 0.9196810664626317, 0.9207997655768295, 0.9203406359949452]"
ChemBERTa,4,0,0.9020125430320031,random,"[0.8900587286453301, 0.9063222084338394, 0.9072719508353716, 0.9135052629576151, 0.9150522279043514, 0.9176065434450333, 0.9125634482889837, 0.9161404413738866, 0.9095252767835815]"
ChemBERTa,4,1,0.9038935329805771,random,"[0.8882295584343225, 0.8976748422214365, 0.9020069218982716, 0.9115261392737365, 0.9127856890288985, 0.9124063775756212, 0.9155263214289541, 0.9116311463992199, 0.9055104632100035, 0.9108497540904561]"
ChemBERTa,4,2,0.9174632235751626,random,"[0.8758788911259099, 0.8966986732744826, 0.9064245521656085, 0.9069970574570234, 0.9091626658406896, 0.9095968199886428, 0.9141236900521399, 0.9106424552165608, 0.9153706571679315, 0.910854886170048]"
ChemBERTa,4,3,0.9140243157380255,random,"[0.8892035680809204, 0.9026503095289597, 0.9062760730508945, 0.9082269810368447, 0.9132263115066489, 0.9134866557481742, 0.9157867494824017, 0.9121875096566855, 0.9162979100357427, 0.914997476386185]"
ChemBERTa,4,4,0.9159564393939394,random,"[0.8895439012329016, 0.9013370230058003, 0.9086384307258546, 0.9104699113150072, 0.9122597433818389, 0.9144866213347982, 0.9121653752110104, 0.911802400431036, 0.9092570958010909]"
