smiles,activity,pchembl
C[n+]1ccc2c([nH]c3ccccc32)c1-c1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1,0,4.89
C[C@H]1[C@@H](OCCC2ON2C(=O)c2ccccc2O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1,8.37
O=C(NO)c1ccccc1,0,4.77
COc1c[n+](C)c(C)c2[nH]c3ccccc3c12.[I-],1,6.43
C[C@H]1[C@@H](OCCCOc2coc(CO)cc2=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1,8.02
CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1O,1,9.05
CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,1,8.83
CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(C2CCCCC2)c1O,1,8.17
C[C@H]1[C@@H](OCCCOc2c(O)cccc2O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1,8.12
COc1ccc2c3ccnc(C)c3n(C)c2c1,0,4.51
CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1F,1,7.24
C[C@H]1[C@@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1,10.0
C[C@H]1[C@@H](OCCCBr)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1,8.43
CCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,1,8.53
C[C@H]1[C@@H](OCCCONC(=O)c2ccccc2O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1,7.31
COc1cnc(C)c2[nH]c3ccccc3c12,0,4.66
COc1ccc2c3cc[n+](C)c(C)c3n(C)c2c1.Cc1ccc(S(=O)(=O)[O-])cc1,1,6.34
CC1=[N+](C)CCc2c1[nH]c1ccccc21.Cc1ccc(S(=O)(=O)[O-])cc1,0,4.8
COc1ccc2c(c1)[nH]c1c(C)nccc12,1,7.55
Cc1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,1,8.52
COC(=O)/C=C/c1ccc(O)c(O)c1,0,4.33
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,1,9.22
CC1=NCCc2c1[nH]c1ccccc21,0,4.75
