partition,model,metric,polypharma,single_target,delta_auc,poly_n,single_n,source,rrs_class,rrs_type,delta_ap
canonical_random,GIN-TFP_native,AUC,0.28,0.9037772488352519,-0.6237772488352519,10.0,99170.0,training,POLYPHARMA_AUC,complete,
canonical_random,GIN-TFP_native,AP,0.45460317460317456,0.9616641586240336,,,,training,POLYPHARMA_AP,complete,-0.5070609840208591
canonical_random,GIN-TFP_permuted,AUC,0.12,0.8970419171158456,-0.7770419171158456,10.0,99170.0,training,POLYPHARMA_AUC,complete,
canonical_random,GIN-TFP_permuted,AP,0.38769841269841265,0.9587152311309234,,,,training,POLYPHARMA_AP,complete,-0.5710168184325107
canonical_random,GIN-TNE_native,AUC,0.6799999999999999,0.8879557520595637,-0.20795575205956374,10.0,99170.0,training,POLYPHARMA_AUC,complete,
canonical_random,GIN-TNE_native,AP,0.7833333333333332,0.9540956978361274,,,,training,POLYPHARMA_AP,complete,-0.17076236450279414
canonical_random,GIN-TNE_permuted,AUC,0.15999999999999998,0.8857796471429664,-0.7257796471429665,10.0,99170.0,training,POLYPHARMA_AUC,complete,
canonical_random,GIN-TNE_permuted,AP,0.3912698412698412,0.9536922732835478,,,,training,POLYPHARMA_AP,complete,-0.5624224320137066
canonical_random,GIN_native,AUC,0.12,0.9082491402543742,-0.7882491402543742,10.0,99170.0,training,POLYPHARMA_AUC,complete,
canonical_random,GIN_native,AP,0.38769841269841265,0.9634892172341527,,,,training,POLYPHARMA_AP,complete,-0.57579080453574
canonical_scaffold,GIN-TFP_native,AUC,0.8,0.8171540310273588,-0.017154031027358796,10.0,99170.0,training,POLYPHARMA_AUC,complete,
canonical_scaffold,GIN-TFP_native,AP,0.8711111111111112,0.9178390743031588,,,,training,POLYPHARMA_AP,complete,-0.04672796319204764
canonical_scaffold,GIN-TFP_permuted,AUC,0.8,0.7989114491230381,0.0010885508769619134,10.0,99170.0,training,POLYPHARMA_AUC,complete,
canonical_scaffold,GIN-TFP_permuted,AP,0.8999999999999999,0.9102665656304393,,,,training,POLYPHARMA_AP,complete,-0.010266565630439373
canonical_scaffold,GIN-TNE_native,AUC,0.44,0.814746759215963,-0.37474675921596295,10.0,99170.0,training,POLYPHARMA_AUC,complete,
canonical_scaffold,GIN-TNE_native,AP,0.5911111111111111,0.9187754496659589,,,,training,POLYPHARMA_AP,complete,-0.3276643385548478
canonical_scaffold,GIN-TNE_permuted,AUC,0.44000000000000006,0.8026869192200439,-0.3626869192200438,10.0,99170.0,training,POLYPHARMA_AUC,complete,
canonical_scaffold,GIN-TNE_permuted,AP,0.6000000000000001,0.9120000325927137,,,,training,POLYPHARMA_AP,complete,-0.3120000325927136
canonical_scaffold,GIN_native,AUC,0.16000000000000003,0.8116345770242812,-0.6516345770242812,10.0,99170.0,training,POLYPHARMA_AUC,complete,
canonical_scaffold,GIN_native,AP,0.421031746031746,0.9162758892375369,,,,training,POLYPHARMA_AP,complete,-0.4952441432057909
novel_101,GIN-TFP_native,AUC,0.6,0.8071315912945707,-0.2071315912945707,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_101,GIN-TFP_native,AP,0.6944444444444444,0.9145975936279875,,,,training,POLYPHARMA_AP,complete,-0.22015314918354312
novel_101,GIN-TFP_permuted,AUC,0.48000000000000004,0.7980960019171583,-0.3180960019171583,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_101,GIN-TFP_permuted,AP,0.6857142857142857,0.9083189495262509,,,,training,POLYPHARMA_AP,complete,-0.2226046638119652
novel_101,GIN-TNE_native,AUC,0.6000000000000001,0.8001014300577273,-0.20010143005772718,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_101,GIN-TNE_native,AP,0.75,0.9085352913946225,,,,training,POLYPHARMA_AP,complete,-0.15853529139462252
novel_101,GIN-TNE_permuted,AUC,0.8400000000000001,0.7891965408788322,0.050803459121167904,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_101,GIN-TNE_permuted,AP,0.8528571428571428,0.9048348554605785,,,,training,POLYPHARMA_AP,complete,-0.051977712603435755
novel_101,GIN_native,AUC,0.27999999999999997,0.7936183377684447,-0.5136183377684447,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_101,GIN_native,AP,0.43555555555555553,0.9056554119929765,,,,training,POLYPHARMA_AP,complete,-0.47009985643742097
novel_202,GIN-TFP_native,AUC,0.72,0.8112006600062063,-0.0912006600062063,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_202,GIN-TFP_native,AP,0.8253968253968254,0.9157018632758436,,,,training,POLYPHARMA_AP,complete,-0.09030503787901822
novel_202,GIN-TFP_permuted,AUC,0.0,0.7953406675621907,-0.7953406675621907,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_202,GIN-TFP_permuted,AP,0.3543650793650793,0.9094797980279131,,,,training,POLYPHARMA_AP,complete,-0.5551147186628338
novel_202,GIN-TNE_native,AUC,0.44000000000000006,0.8029591530495996,-0.3629591530495996,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_202,GIN-TNE_native,AP,0.5942857142857143,0.9106025867229167,,,,training,POLYPHARMA_AP,complete,-0.3163168724372024
novel_202,GIN-TNE_permuted,AUC,0.6799999999999999,0.8040784818103756,-0.12407848181037562,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_202,GIN-TNE_permuted,AP,0.8111111111111111,0.9133901729079656,,,,training,POLYPHARMA_AP,complete,-0.10227906179685453
novel_202,GIN_native,AUC,0.6,0.8008170567049532,-0.2008170567049532,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_202,GIN_native,AP,0.7888888888888888,0.9107255619307318,,,,training,POLYPHARMA_AP,complete,-0.12183667304184309
novel_303,GIN-TFP_native,AUC,0.28,0.7993213142524358,-0.5193213142524358,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_303,GIN-TFP_native,AP,0.44126984126984126,0.9096399074216319,,,,training,POLYPHARMA_AP,complete,-0.46837006615179066
novel_303,GIN-TFP_permuted,AUC,0.19999999999999996,0.7846702479659418,-0.5846702479659418,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_303,GIN-TFP_permuted,AP,0.4034920634920635,0.9004791505042203,,,,training,POLYPHARMA_AP,complete,-0.4969870870121568
novel_303,GIN-TNE_native,AUC,0.72,0.7989127421953377,-0.07891274219533773,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_303,GIN-TNE_native,AP,0.7892857142857141,0.9102920962764132,,,,training,POLYPHARMA_AP,complete,-0.12100638199069902
novel_303,GIN-TNE_permuted,AUC,0.52,0.7965199085842785,-0.27651990858427844,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_303,GIN-TNE_permuted,AP,0.6444444444444444,0.9093883493687644,,,,training,POLYPHARMA_AP,complete,-0.2649439049243201
novel_303,GIN_native,AUC,0.36,0.786365982235466,-0.42636598223546607,10.0,99170.0,training,POLYPHARMA_AUC,complete,
novel_303,GIN_native,AP,0.5657142857142857,0.902124924523188,,,,training,POLYPHARMA_AP,complete,-0.3364106388089023
canonical_random,ChemBERTa,AUC,0.039999999999999994,0.9094757724957916,-0.8694757724957916,10.0,99170.0,chemberta,POLYPHARMA_AUC,complete,
canonical_random,ChemBERTa,AP,0.36103174603174604,0.9626235497101439,,,,chemberta,POLYPHARMA_AP,complete,-0.6015918036783978
canonical_scaffold,ChemBERTa,AUC,0.76,0.7885164725242727,-0.028516472524272696,10.0,99170.0,chemberta,POLYPHARMA_AUC,complete,
canonical_scaffold,ChemBERTa,AP,0.7683333333333333,0.9044471356358695,,,,chemberta,POLYPHARMA_AP,complete,-0.13611380230253622
novel_101,ChemBERTa,AUC,0.48,0.7869168031384435,-0.3069168031384435,10.0,99170.0,chemberta,POLYPHARMA_AUC,complete,
novel_101,ChemBERTa,AP,0.6053968253968254,0.9041253991982625,,,,chemberta,POLYPHARMA_AP,complete,-0.29872857380143714
novel_202,ChemBERTa,AUC,0.52,0.7876963642005747,-0.26769636420057463,10.0,99170.0,chemberta,POLYPHARMA_AUC,complete,
novel_202,ChemBERTa,AP,0.7088888888888889,0.9065835868947736,,,,chemberta,POLYPHARMA_AP,complete,-0.19769469800588468
novel_303,ChemBERTa,AUC,0.76,0.7759349475969632,-0.015934947596963234,10.0,99170.0,chemberta,POLYPHARMA_AUC,complete,
novel_303,ChemBERTa,AP,0.8211111111111111,0.9002174958146364,,,,chemberta,POLYPHARMA_AP,complete,-0.07910638470352527
