partition,model,seed,fold,best_val_auc,test_auc,test_ap,test_f1,test_bacc,n_test
canonical_random,ChemBERTa,0,0,0.916194930361429,0.9164938170798294,0.9669976247023273,0.9095485819768417,0.8115192673766528,3968
canonical_random,ChemBERTa,0,1,0.9130005640157925,0.9154972321390623,0.9655394103454253,0.9117500415489447,0.8045724491584852,3967
canonical_random,ChemBERTa,0,2,0.9182796232232677,0.9043964031089293,0.9608474336355775,0.9089118660758247,0.7845502823643165,3967
canonical_random,ChemBERTa,0,3,0.9071626202378542,0.9133111001317524,0.9653195277161528,0.9072337575351641,0.8041743367227676,3967
canonical_random,ChemBERTa,0,4,0.9258725262830771,0.8992943216350036,0.9600933532056467,0.9036467045834727,0.7959730213247482,3967
canonical_random,ChemBERTa,1,0,0.9179495559249634,0.912927622243576,0.9662147559327872,0.9070240922972514,0.8189226732520452,3968
canonical_random,ChemBERTa,1,1,0.9195968109269773,0.9147888310701687,0.9662823595164169,0.9111709286675639,0.8172009807046623,3967
canonical_random,ChemBERTa,1,2,0.9150566988660227,0.9108485472714523,0.964875605812179,0.9047619047619048,0.8088543990926091,3967
canonical_random,ChemBERTa,1,3,0.920671604975669,0.9189776446087806,0.9669097118302331,0.9146630545208263,0.8311636371605253,3967
canonical_random,ChemBERTa,1,4,0.9134301970490853,0.902678111320073,0.9618845541801362,0.9025078890549743,0.7854939316906796,3967
canonical_random,ChemBERTa,2,0,0.9095670022340402,0.9071468283801928,0.9616803859861651,0.9073610415623435,0.8011472963934763,3968
canonical_random,ChemBERTa,2,1,0.9238149451567825,0.9146450590229079,0.967448036283771,0.9092735185805155,0.8078069881847932,3967
canonical_random,ChemBERTa,2,2,0.9137175287341637,0.9192324830528285,0.9687847300602673,0.9123989218328841,0.8211110491308597,3967
canonical_random,ChemBERTa,2,3,0.910690921701846,0.9106719035551871,0.9643705751939519,0.9102177554438861,0.8104206179076885,3967
canonical_random,ChemBERTa,2,4,0.9127912859429045,0.9159479724488928,0.9663256322508826,0.908782062170885,0.8233265664180374,3967
canonical_random,ChemBERTa,3,0,0.9153926837572871,0.9095896253736224,0.9656041753112796,0.9056288625354936,0.7984925657251634,3968
canonical_random,ChemBERTa,3,1,0.9151165481387779,0.8989813767053423,0.9606283244806129,0.8992604765817585,0.7667266989672319,3967
canonical_random,ChemBERTa,3,2,0.9230080055037838,0.9153131175889329,0.9666206135117553,0.9115191986644408,0.8092071884695482,3967
canonical_random,ChemBERTa,3,3,0.9122067117777474,0.9155095175103064,0.9665674683655736,0.9044847654912701,0.823587049492116,3967
canonical_random,ChemBERTa,3,4,0.9140220223932098,0.9202994841472225,0.9684392640661077,0.9086277173913043,0.8228378078647627,3967
canonical_random,ChemBERTa,4,0,0.9083410361231727,0.9222012556696821,0.9703282546551318,0.9105691056910569,0.8239131553223233,3968
canonical_random,ChemBERTa,4,1,0.9130301274990856,0.9144431804900336,0.9669920055489079,0.9058903182125931,0.8137212323090655,3967
canonical_random,ChemBERTa,4,2,0.90795409576573,0.91412907343066,0.966709682309372,0.9091212272803069,0.8031514965574398,3967
canonical_random,ChemBERTa,4,3,0.9203820975582957,0.9056719234774109,0.9618195632001113,0.9038269550748752,0.7902116802669046,3967
canonical_random,ChemBERTa,4,4,0.9133460317393373,0.9144747240107951,0.9674957620301367,0.9091510838987258,0.7944991088125293,3967
