partition,model,seed,fold,best_val_auc,test_auc,test_ap,test_f1,test_bacc,n_test
canonical_scaffold,ChemBERTa,0,0,0.9231712955452454,0.8092951143005902,0.9413802888494038,0.870213823968175,0.7039668575737446,3829
canonical_scaffold,ChemBERTa,0,1,0.9124145283435042,0.7227323402387147,0.8143711891933774,0.7641404805914972,0.6272464656688141,3970
canonical_scaffold,ChemBERTa,0,2,0.9097396510459373,0.84095480556035,0.9435381984037673,0.8969487622337363,0.7347709409312391,4327
canonical_scaffold,ChemBERTa,0,3,0.9278305757968085,0.7361157577785212,0.8754444189595731,0.8333616443010022,0.6832970893275343,3969
canonical_scaffold,ChemBERTa,0,4,0.9276925982258608,0.8232815174764938,0.9251586086889604,0.8527973927213471,0.7153214170189103,3741
canonical_scaffold,ChemBERTa,1,0,0.9165705779571658,0.7770067094158963,0.9535439804945723,0.9187324303603374,0.605604939458005,4389
canonical_scaffold,ChemBERTa,1,1,0.9125049443408486,0.8220644242451951,0.923076889161253,0.8655748891163425,0.7114181175352483,3865
canonical_scaffold,ChemBERTa,1,2,0.909937741917785,0.8239292122474965,0.9114319581216512,0.8553100498930862,0.7147151318708881,3828
canonical_scaffold,ChemBERTa,1,3,0.9131197194324885,0.7751697010888441,0.8120873314742859,0.78218966846569,0.6771736005804888,3928
canonical_scaffold,ChemBERTa,1,4,0.9222067222193366,0.718490885744407,0.9092899043432411,0.8788829620332601,0.6285028873057041,3826
canonical_scaffold,ChemBERTa,2,0,0.9203098266056208,0.7857773040826598,0.9228621259559086,0.863277224321539,0.689714894750866,3729
canonical_scaffold,ChemBERTa,2,1,0.9257608135389374,0.7508411520872217,0.8453568804884795,0.7828790927382476,0.5935099883859637,3679
canonical_scaffold,ChemBERTa,2,2,0.9191925128190059,0.8153340752594944,0.9011911916446618,0.8574871949382344,0.7089640065162972,4473
canonical_scaffold,ChemBERTa,2,3,0.9160877995977782,0.798322451071648,0.9345782797048967,0.8608528374479,0.7143315051742074,4039
canonical_scaffold,ChemBERTa,2,4,0.9161394396559289,0.8239987973935883,0.9432122805309016,0.9053145998778253,0.6856429438625293,3916
canonical_scaffold,ChemBERTa,3,0,0.9281016797978296,0.7573500273729106,0.9128063688871908,0.8649762282091917,0.6211925121154717,3871
canonical_scaffold,ChemBERTa,3,1,0.9264733198864077,0.8042679194694995,0.9019216068746252,0.832258064516129,0.7382913990726393,4037
canonical_scaffold,ChemBERTa,3,2,0.9182439464446426,0.7879151668667034,0.8417176803139641,0.8075601374570447,0.6945593509379064,3870
canonical_scaffold,ChemBERTa,3,3,0.92634878088527,0.8184910127083025,0.9606033299319896,0.9228799089356858,0.6552267735581598,3991
canonical_scaffold,ChemBERTa,3,4,0.9224860754874921,0.8130995109197497,0.9188356334269074,0.8568662255930288,0.6886002039345234,4067
canonical_scaffold,ChemBERTa,4,0,0.9229701981802821,0.7527565188993546,0.8606826578773408,0.8208873470878219,0.6670869319964012,3787
canonical_scaffold,ChemBERTa,4,1,0.918449333325386,0.8381972558241012,0.9427985656687674,0.8912071535022354,0.7031904277068031,3757
canonical_scaffold,ChemBERTa,4,2,0.923954419039127,0.7544394646747589,0.9122277984852903,0.8764607679465777,0.6569716775599128,4418
canonical_scaffold,ChemBERTa,4,3,0.9163975737622402,0.8065979410801497,0.8939388066809996,0.847682119205298,0.7041121442098219,4035
canonical_scaffold,ChemBERTa,4,4,0.9087161075098233,0.7862253251545059,0.9272046925194769,0.8399585205668856,0.6852170002767273,3839
