partition,model,seed,fold,best_val_auc,test_auc,test_ap,test_f1,test_bacc,n_test
novel_202,ChemBERTa,0,0,0.9190121591481402,0.813797494076916,0.9304137140830131,0.8732525629077353,0.6085478873636054,3871
novel_202,ChemBERTa,0,1,0.9077086641079816,0.8238640932548078,0.9189564246289363,0.8012784357962023,0.7300406732392373,4018
novel_202,ChemBERTa,0,2,0.9307731562743592,0.7728634154182591,0.856510544794314,0.803125,0.6900681844157416,3787
novel_202,ChemBERTa,0,3,0.9216850697379544,0.8318515721146285,0.9335396330555013,0.8840153076243744,0.7019109543725884,4298
novel_202,ChemBERTa,0,4,0.9155956342074361,0.7718921893220447,0.9345818631670575,0.9166173861620343,0.6334885020191302,3862
novel_202,ChemBERTa,1,0,0.9072766770553878,0.8428397378906121,0.924836134535167,0.8583375146345543,0.722859734358302,4061
novel_202,ChemBERTa,1,1,0.9243033738631683,0.7155860011027442,0.8331383362099296,0.7633830845771145,0.6275368293257471,3698
novel_202,ChemBERTa,1,2,0.9212035408354428,0.8088448559949442,0.9522812890061338,0.8918183120790945,0.6413255172057989,4136
novel_202,ChemBERTa,1,3,0.9170832602909202,0.697077990476682,0.8904472727213008,0.8941951420337587,0.6051331883303779,4241
novel_202,ChemBERTa,1,4,0.919711304478043,0.7878638934729454,0.8928021940552604,0.8284596759173031,0.6787217071668202,3700
novel_202,ChemBERTa,2,0,0.9346223779126048,0.77803444792325,0.8990468572405117,0.8459738472126634,0.6473133098722796,4699
novel_202,ChemBERTa,2,1,0.9077046777673736,0.8365683682252781,0.9141883296462057,0.8566895822316235,0.6682883967023847,3675
novel_202,ChemBERTa,2,2,0.9190009444906424,0.8264193376769638,0.9286721170892559,0.8664102992810567,0.6926177858539517,3876
novel_202,ChemBERTa,2,3,0.9265482878544676,0.7684376018288788,0.8831446881449367,0.8331620417951353,0.6572173743479744,3898
novel_202,ChemBERTa,2,4,0.9278094786333133,0.7238105824565739,0.9296042116686607,0.905988209742476,0.6090594548792543,3688
novel_202,ChemBERTa,3,0,0.9241863635320646,0.7723821492150165,0.8972248812413665,0.8480293921175684,0.6558709923023016,3881
novel_202,ChemBERTa,3,1,0.9194070224633486,0.8190409046281224,0.9367748012953965,0.8879297055649761,0.7236316600008217,4091
novel_202,ChemBERTa,3,2,0.9254254205224993,0.7404703338288958,0.8678471339623317,0.8149983481995375,0.6368795214147004,4094
novel_202,ChemBERTa,3,3,0.9268193494874334,0.8239094210574556,0.9385237316181593,0.8820893215886262,0.6396536802390836,3915
novel_202,ChemBERTa,3,4,0.9150069790131661,0.8176647667349546,0.9125483828339347,0.8497554157931516,0.6958235744152965,3855
novel_202,ChemBERTa,4,0,0.9143413136589834,0.8077351811403178,0.9287468387958929,0.868307798244104,0.6666905174361678,3657
novel_202,ChemBERTa,4,1,0.92619841053019,0.7553816419315427,0.9255066942704917,0.8837435233160622,0.6319859200064091,3686
novel_202,ChemBERTa,4,2,0.9182025815103512,0.7974275102733239,0.8701890336642348,0.8229813664596274,0.6898969785310176,3656
novel_202,ChemBERTa,4,3,0.9252308950907435,0.7657119333987891,0.8704554503791258,0.8204665161775772,0.6578823913399217,4553
novel_202,ChemBERTa,4,4,0.9120258423740533,0.7871439811960929,0.9364995292270877,0.868352974992814,0.6409957250179168,4284
