partition,model,descriptor_mode,seed,fold,best_val_auc,test_auc,test_ap,test_f1,test_bacc,n_test
novel_101,GIN-TNE,permuted,0,0,0.8958399511007152,0.8019380022375484,0.8879432975465004,0.8230709275136399,0.7056656174388267,4626
novel_101,GIN-TNE,permuted,0,1,0.9076039831983077,0.7163612681623865,0.9017757649935259,0.8780690803162713,0.6319050096088545,4345
novel_101,GIN-TNE,permuted,0,2,0.877054034349082,0.841720781806482,0.9174082606326501,0.8878175412571853,0.7864040788241365,3638
novel_101,GIN-TNE,permuted,0,3,0.8986730849684997,0.7560810671813314,0.890250674047581,0.8285972850678733,0.6425928107765416,3662
novel_101,GIN-TNE,permuted,0,4,0.8955195957002897,0.815234277242864,0.9285900536335823,0.857878286449715,0.6994911270887689,3565
novel_101,GIN-TNE,permuted,1,0,0.881746438309274,0.6758707326508625,0.9258795477001411,0.9309506790564689,0.5592253498668197,3805
novel_101,GIN-TNE,permuted,1,1,0.8964901232235448,0.796996807640385,0.9103135932612858,0.862525946032253,0.6549447516141819,3965
novel_101,GIN-TNE,permuted,1,2,0.8960850219277187,0.7368769610277106,0.9039358603682717,0.8196825396825397,0.6620895047381599,4215
novel_101,GIN-TNE,permuted,1,3,0.9024891860499002,0.8260045487769859,0.9172746904317861,0.8407224958949097,0.7190265486725664,3842
novel_101,GIN-TNE,permuted,1,4,0.8907003165578867,0.7831499995828188,0.8461101353667448,0.7969659551949198,0.6543501307863031,4009
novel_101,GIN-TNE,permuted,2,0,0.8823729531910119,0.7962709221800277,0.9222684788007717,0.8245887445887445,0.6619696213100517,3907
novel_101,GIN-TNE,permuted,2,1,0.8909469894357855,0.8048326526206244,0.9104818255517941,0.8820150243040212,0.6956570444840062,4298
novel_101,GIN-TNE,permuted,2,2,0.904191246155929,0.8461820394451174,0.90977744641987,0.8545962950017476,0.7219944808830587,3962
novel_101,GIN-TNE,permuted,2,3,0.9011630057328375,0.7498490226753839,0.9016468910328097,0.8592981305346015,0.6592919926572666,3862
novel_101,GIN-TNE,permuted,2,4,0.8978596733555871,0.740134210693842,0.9031097172736171,0.8962017530370598,0.6214739690956672,3807
novel_101,GIN-TNE,permuted,3,0,0.9076781489589367,0.7953809090150463,0.9288923446900724,0.8811094199222053,0.6959610165555825,3687
novel_101,GIN-TNE,permuted,3,1,0.8872832778068607,0.8012193613440339,0.9422808756943416,0.9062409288824383,0.6293053217998585,3988
novel_101,GIN-TNE,permuted,3,2,0.8995685071733369,0.7768161267975933,0.8859934729659329,0.8175615544348858,0.652503397811672,4616
novel_101,GIN-TNE,permuted,3,3,0.8913989169456021,0.8050480965767941,0.9085595522814804,0.8640883977900552,0.7360545084055017,3654
novel_101,GIN-TNE,permuted,3,4,0.8990601122000452,0.8170311568367383,0.8982120023781681,0.8442882249560633,0.6961817512563732,3891
novel_101,GIN-TNE,permuted,4,0,0.8964602133316907,0.8111769229972354,0.9213103731786029,0.8414308595835558,0.7278276040555935,3874
novel_101,GIN-TNE,permuted,4,1,0.8931878351860668,0.7588272494180173,0.8925950327320711,0.8799109273103229,0.6563137049710276,3864
novel_101,GIN-TNE,permuted,4,2,0.8918929777544388,0.7976363775666565,0.8809696158035918,0.8094692630775105,0.6974586859661944,3862
novel_101,GIN-TNE,permuted,4,3,0.8930366160800776,0.8370747735807378,0.9350043620831112,0.8596851471594799,0.711459023635962,3886
novel_101,GIN-TNE,permuted,4,4,0.8880884390418216,0.8222394624204648,0.9393293666588555,0.9019274376417233,0.7291315758163939,4350
