partition,model,descriptor_mode,seed,fold,best_val_auc,test_auc,test_ap,test_f1,test_bacc,n_test
novel_303,GIN-TFP,native,0,0,0.8964600560783196,0.82823630009235,0.9152165868778286,0.9042467301792346,0.7197323666152924,3822
novel_303,GIN-TFP,native,0,1,0.9203740260010834,0.8071903597007836,0.8921661821899373,0.8667779632721202,0.733835927025642,4066
novel_303,GIN-TFP,native,0,2,0.9223949579831934,0.8041781799312449,0.91110623794707,0.8459016393442623,0.7028580463125123,3935
novel_303,GIN-TFP,native,0,3,0.9093963908527583,0.8359427849653307,0.9457814570511911,0.876051779935275,0.6913074400231934,3900
novel_303,GIN-TFP,native,0,4,0.9239785242361612,0.7377372434472732,0.8727087321327068,0.8450112528132033,0.586949958350157,4113
novel_303,GIN-TFP,native,1,0,0.9176263829668646,0.7375951799396775,0.9305850448553048,0.91701244813278,0.6016373578574535,4063
novel_303,GIN-TFP,native,1,1,0.9112554902866226,0.7602938983307082,0.8800245772323015,0.8166303558460422,0.6366934020308254,3715
novel_303,GIN-TFP,native,1,2,0.910755520863824,0.8368957248464037,0.8805912402142942,0.8188405797101449,0.6774656980291442,3855
novel_303,GIN-TFP,native,1,3,0.9138646117175742,0.7543306366835778,0.9374093523735025,0.8886043533930857,0.6604134185833532,3720
novel_303,GIN-TFP,native,1,4,0.9190786443728027,0.8271988052173456,0.912718243897283,0.8311603650586702,0.7431319175254767,4483
novel_303,GIN-TFP,native,2,0,0.9037850368622126,0.8554026400665999,0.9393526213632577,0.8872320596458527,0.5747786235695069,3713
novel_303,GIN-TFP,native,2,1,0.920793725455878,0.816503633314701,0.9438506801876876,0.8532790460956813,0.7094561391654739,4488
novel_303,GIN-TFP,native,2,2,0.921952479338843,0.7724611920226019,0.8833139485742185,0.8104978772674643,0.6974541549817037,3696
novel_303,GIN-TFP,native,2,3,0.910216976750793,0.8601245018717546,0.8910680457381344,0.8417472252058719,0.7499576138147567,4173
novel_303,GIN-TFP,native,2,4,0.9176098691544915,0.7100261402563931,0.8952485246096802,0.8761570379827641,0.6184735099235175,3766
novel_303,GIN-TFP,native,3,0,0.9263449307783052,0.7843008058476943,0.9381863838145285,0.8762820512820513,0.6798738243148411,3839
novel_303,GIN-TFP,native,3,1,0.912296660958904,0.8384687385851699,0.9479267503723818,0.895046439628483,0.6590504383294776,3873
novel_303,GIN-TFP,native,3,2,0.9226012939934842,0.760324729573322,0.9188863859848697,0.8258881463243053,0.6909747543751251,3799
novel_303,GIN-TFP,native,3,3,0.9200681082489127,0.7671121828752643,0.8782676701478325,0.8566243194192378,0.6590770348837209,3891
novel_303,GIN-TFP,native,3,4,0.9085484068627451,0.8473792116008176,0.8783454884130064,0.8275042444821732,0.7350565288357829,4434
novel_303,GIN-TFP,native,4,0,0.9222173769717358,0.765782523054884,0.8712919826247971,0.8027967013266404,0.610968177225228,3742
novel_303,GIN-TFP,native,4,1,0.9147259924530298,0.7907907754760666,0.9278477588810533,0.8979263783957563,0.6553054642999872,3697
novel_303,GIN-TFP,native,4,2,0.9122953037199765,0.8778501565850573,0.9628092966467658,0.9344077356970185,0.7503343341663966,3673
novel_303,GIN-TFP,native,4,3,0.9153678489468077,0.8061626021235581,0.9073541399989635,0.8732949876746097,0.7284955527032446,4016
novel_303,GIN-TFP,native,4,4,0.9212219812002893,0.8508982514322458,0.9251272932090818,0.8614177803602556,0.7308285067149318,4708
