model,fold,seed,test_auc,test_ap,test_f1,test_bacc,split
kNN-ECFP4-k5,0,0,0.918537972971403,0.9576765600447144,0.9200674536256324,0.8375469465452487,random
kNN-ECFP4-k5,1,0,0.9190968459135536,0.9569142253499677,0.9233594924027384,0.8327467898656977,random
kNN-ECFP4-k5,2,0,0.9143317820561859,0.9526882683571534,0.9250998668442078,0.8326807144906285,random
kNN-ECFP4-k5,3,0,0.9116969019614094,0.9531848844601022,0.917045263335016,0.8288858629244762,random
kNN-ECFP4-k5,4,0,0.9066520968804453,0.9517275841082103,0.9136257114161366,0.8163687298121467,random
kNN-ECFP4-k5,0,1,0.9163059479177559,0.9565732363183062,0.9203629032258065,0.8340381746154242,random
kNN-ECFP4-k5,1,1,0.9173153010646437,0.9552352063937946,0.9236692333444928,0.8361265951060394,random
kNN-ECFP4-k5,2,1,0.9189339817353054,0.9592338430146226,0.9190460194827007,0.8307540694462153,random
kNN-ECFP4-k5,3,1,0.9294454449827874,0.9643598833809034,0.9259009767598518,0.8471359479259637,random
kNN-ECFP4-k5,4,1,0.9035732832355816,0.9482275557999152,0.9159381304640215,0.8257834746483064,random
kNN-ECFP4-k5,0,2,0.908082357060943,0.9509667602528539,0.9193710270993644,0.8272572927920976,random
kNN-ECFP4-k5,1,2,0.9250955934697607,0.9618461723917132,0.9243641231593038,0.8371248645288792,random
kNN-ECFP4-k5,2,2,0.9262708386459264,0.9618118329535328,0.9234377617691406,0.8365946013430234,random
kNN-ECFP4-k5,3,2,0.9111815804432828,0.9525381273491326,0.9203539823008849,0.8268194302775298,random
kNN-ECFP4-k5,4,2,0.9213560260742062,0.9591651711540764,0.9237713139418254,0.8348509087190277,random
kNN-ECFP4-k5,0,3,0.9053177594444914,0.9489914375639652,0.9154929577464789,0.8222462314143129,random
kNN-ECFP4-k5,1,3,0.9200564330188279,0.9591197729241371,0.9223545195371458,0.8355755796038931,random
kNN-ECFP4-k5,2,3,0.914557567257427,0.9529496055650332,0.9256418806268756,0.8355925134939861,random
kNN-ECFP4-k5,3,3,0.9234480255748225,0.9598329416587086,0.923949299533022,0.832618457541757,random
kNN-ECFP4-k5,4,3,0.9136419750626886,0.9549075475173617,0.9202350965575147,0.8328996929321264,random
kNN-ECFP4-k5,0,4,0.9139977462339037,0.9556285245654954,0.9180548544506142,0.8311930853526779,random
kNN-ECFP4-k5,1,4,0.9115046525032937,0.9540044652791118,0.9176036247692566,0.826993085660249,random
kNN-ECFP4-k5,2,4,0.9189165497896213,0.9586228584792853,0.9186027076717366,0.8244832175188066,random
kNN-ECFP4-k5,3,4,0.9196267770623485,0.9571523081338023,0.9269269269269269,0.8388647387266777,random
kNN-ECFP4-k5,4,4,0.9255577890581835,0.9607162833735491,0.9270414993306559,0.8423936286072506,random
