model,split,fold,seed,test_auc,test_ap,test_f1,test_bacc
Logistic-ECFP4-C1,random,0,0,0.8839064836435996,0.9498550883754315,0.8997455470737914,0.8046046200545351
Logistic-ECFP4-C1,random,1,0,0.8824333136767395,0.9443024687513885,0.899796885578876,0.8018665131327298
Logistic-ECFP4-C1,random,2,0,0.8696014094309151,0.9362516492207369,0.8972371967654986,0.7914742511900208
Logistic-ECFP4-C1,random,3,0,0.878483898858855,0.9454220071912691,0.893799246317232,0.803808431881933
Logistic-ECFP4-C1,random,4,0,0.8731958766309659,0.943180439069521,0.891152997113262,0.7887606783118704
Logistic-ECFP4-C1,random,0,1,0.8796180214987379,0.9441157722150504,0.8991539763113368,0.8005659309564234
Logistic-ECFP4-C1,random,1,1,0.8741395259573292,0.9424609629916099,0.8973009675776609,0.8002964758914531
Logistic-ECFP4-C1,random,2,1,0.8816208189893323,0.946945145924326,0.8911634254520642,0.7940540131327298
Logistic-ECFP4-C1,random,3,1,0.8896172675209316,0.9497326201009275,0.8981607629427792,0.8056313153448935
Logistic-ECFP4-C1,random,4,1,0.8657162437842663,0.9394987609288595,0.8884733083985039,0.7849374375770326
Logistic-ECFP4-C1,random,0,2,0.8718249364779842,0.9429634084413743,0.8943530608784127,0.7937490353449607
Logistic-ECFP4-C1,random,1,2,0.8739487706659865,0.9419554476233079,0.8934579439252337,0.7940086900739514
Logistic-ECFP4-C1,random,2,2,0.8911303604063071,0.9514734965069324,0.904713462190573,0.8133400537634409
Logistic-ECFP4-C1,random,3,2,0.8731442448680352,0.941377608484375,0.8941816944538958,0.7967714044370777
Logistic-ECFP4-C1,random,4,2,0.8823169346869821,0.9463171123100178,0.8980978260869565,0.8024213470610736
Logistic-ECFP4-C1,random,0,3,0.8691482988049064,0.9382251206753957,0.8932631936195486,0.7924113803570509
Logistic-ECFP4-C1,random,1,3,0.8759235610841941,0.9462091209598877,0.8915581119945863,0.7852525407475881
Logistic-ECFP4-C1,random,2,3,0.8815097525925453,0.9460555970727658,0.8996106314542068,0.8016966761762081
Logistic-ECFP4-C1,random,3,3,0.8804809357601258,0.9462873415985593,0.8965635151307916,0.8069938294232649
Logistic-ECFP4-C1,random,4,3,0.8857530202091037,0.9513515166486117,0.8966689326988443,0.8004248082153937
Logistic-ECFP4-C1,random,0,4,0.8826320602376247,0.9503154215218146,0.8977777777777778,0.8094767711066523
Logistic-ECFP4-C1,random,1,4,0.8796143190318331,0.9498973310331503,0.896469789545146,0.7984905263185855
Logistic-ECFP4-C1,random,2,4,0.8807034005907604,0.9486695670214194,0.895603462909523,0.797003498342471
Logistic-ECFP4-C1,random,3,4,0.8818783137298654,0.9462324063819414,0.8964467005076142,0.7949616364380128
Logistic-ECFP4-C1,random,4,4,0.8861947955182966,0.9501338342340325,0.8972533062054934,0.7988509525479196
