decile,auc_mean_seed_mean,auc_sd_seed_mean,n_seeds,n_mean_per_fold_seed,n_pos_mean_per_fold_seed,nn_tanimoto_mean,arm,split
1,0.7518117088602269,0.021672505551903268,5,401.04,227.12,0.30554252982139585,GIN-TFP,scaffold
2,0.7750097802435378,0.01189857525987976,5,400.44,268.92,0.3482418775558472,GIN-TFP,scaffold
3,0.8050619091643497,0.01901499914765839,5,397.0,281.08,0.3732073616981506,GIN-TFP,scaffold
4,0.8048908801777899,0.024870547796590797,5,394.64,293.64,0.3949551856517792,GIN-TFP,scaffold
5,0.8095776026495184,0.011561424322096735,5,400.52,307.56,0.41602646589279174,GIN-TFP,scaffold
6,0.8084512793561462,0.02415638049383554,5,395.92,315.44,0.4374446058273315,GIN-TFP,scaffold
7,0.7959928891370022,0.009240987114873598,5,398.52,318.44,0.4606346356868744,GIN-TFP,scaffold
8,0.8025322832125579,0.02336505647240666,5,398.68,320.32,0.4901360476016998,GIN-TFP,scaffold
9,0.8297886694353007,0.028368574937409345,5,386.88,303.12,0.5333315193653106,GIN-TFP,scaffold
10,0.8829000078998612,0.01417464078101012,5,393.56,308.56,0.6308315086364746,GIN-TFP,scaffold
