model,fold,seed,test_auc,split,curve
GIN,0,0,0.8500911361151221,scaffold,"[0.8000556641575549, 0.8659756132182603, 0.8783119666785633, 0.848716175659453, 0.8858159817981247, 0.8865079815710069, 0.8809116552026216, 0.8722355496252555, 0.873072032867201, 0.8832213628694723, 0.8688591990850394, 0.8823940048992569, 0.8931273522922683, 0.8766810778365401, 0.8572325889815386, 0.8606565937185684, 0.8805154663216639, 0.88716550809513, 0.8937767674637422, 0.8916290333701049, 0.893653576295383, 0.892807714301937, 0.8935633374971611, 0.889603983485286, 0.8845807748775185, 0.8850281666720743, 0.8905317194445346, 0.899425817624347, 0.9007834552740015, 0.8945027335258426, 0.8933970547678531, 0.8956895258103241, 0.8992144154959281, 0.8973924029071089, 0.8959572004477467, 0.8869921279322539, 0.8960109381590473, 0.8975287750235229, 0.895341751565491]"
GIN,0,1,0.7639962958433073,scaffold,"[0.8234770402723698, 0.8598228262308534, 0.8754824225875333, 0.8828386406976192, 0.8825109621974723, 0.891234486431533, 0.8859678819488306, 0.89468660595814, 0.8946598257568943, 0.8992930532157969, 0.8991381828067065, 0.9001462300045375, 0.8907984239093638, 0.9037347769714523, 0.9023477646616549, 0.9007682380749785, 0.8962161091500369, 0.9077528177319293, 0.903498302741585, 0.9002770992898699, 0.9024068832191217, 0.9040162217279395, 0.9028818528261198, 0.9064274504136783, 0.9060454535808161, 0.9062662639193886, 0.9093586192330352, 0.9052400263961833, 0.9103752563067374, 0.9054759953392344, 0.9038565510940976, 0.897107940380198, 0.9000578048117452, 0.9152270203135406, 0.9078508433742245, 0.9102620720599633, 0.9134789805737431, 0.90982398839053, 0.9090882907864992, 0.9119062753590821, 0.906692220705239, 0.9132013254683756, 0.9089119456877307, 0.910107706937689]"
GIN,0,2,0.8044624617766104,scaffold,"[0.7827087326922468, 0.8624122730585215, 0.8552411401729982, 0.8804195644941541, 0.8829023557555211, 0.8832392529545959, 0.872759299451855, 0.8890457170241755, 0.8874248479135642, 0.889531383669719, 0.8955831564272361, 0.8896219820347897, 0.8848281898545673, 0.894201902664681, 0.8955893448401508, 0.8895635634168753, 0.8992511525300212, 0.8974659191723962, 0.8947984656696555, 0.8954895876239662, 0.8924825140204684, 0.899321452900732, 0.8880209158455056, 0.9015992839263648, 0.8952405658882798, 0.9038919671429929, 0.9058341386521339, 0.8977226145400969, 0.9014468014321472, 0.9063871352301891, 0.9051801471753114, 0.903382536991857, 0.8985241377808053, 0.9033330296885397, 0.9065049626120846, 0.9052954991920408, 0.9011517379043756, 0.9064032251037673, 0.9086407076771965, 0.9083223757168658, 0.9075010495548304, 0.9093258887551091, 0.9129394268242451, 0.906435157314407, 0.9098363090523114, 0.9086600155254902, 0.9105412930515511, 0.9121859256677545, 0.9088043293146606, 0.9129560117708566]"
GIN,0,3,0.8104206418470339,scaffold,"[0.8453671770477182, 0.8826690946930281, 0.8902239730439523, 0.9002586591348297, 0.901904018631386, 0.9011991477131955, 0.8794368465388237, 0.9065318864278281, 0.8998642287299936, 0.9102561815569099, 0.8986303949259203, 0.906605718249839, 0.9105792577176552, 0.9149442544968038, 0.9155007184975968, 0.9111728853872454, 0.9216664189088747, 0.9112368068975769, 0.9104732173826867, 0.911093355136019, 0.9175452157970367, 0.9103837768197811, 0.9199241861156533, 0.9198835538377683, 0.9176240027748873, 0.9202745156335168, 0.9140850304742084]"
GIN,0,4,0.7795630359270385,scaffold,"[0.7690626755752805, 0.8410556141648579, 0.8764369384117285, 0.8759049074175124, 0.8850651371659776, 0.8841066729722191, 0.894700809616776, 0.8828847195443834, 0.895370269319849, 0.8984765623421087, 0.9014166272569634, 0.8954682883254311, 0.9000357718845114, 0.8906901144296102, 0.888748428664395, 0.9002035157497343, 0.8973900166127057, 0.8848554573344488, 0.8912418502754638, 0.9087359691351289, 0.9109325548401177, 0.9124258289174255, 0.9046201814058956, 0.908698833068581, 0.9123184627386307, 0.9059775425321643, 0.9108807664479934, 0.9058087881617294, 0.9129298183920034, 0.9091717495078839, 0.9117616743667163, 0.9158067267310965, 0.9116025197957971, 0.9060649512330183, 0.9065853614172942, 0.9117662216401712, 0.9089898585696905, 0.9113779350123888, 0.9146858238244793, 0.9082279376397023, 0.9116242456578592, 0.9180063439517221, 0.9107802211793807, 0.9144374921685846, 0.9179285350503839, 0.9078459666694962, 0.9154879123366517, 0.9189155460163863, 0.9136808763909605, 0.9169988702551727]"
GIN,1,0,0.7962636761369657,scaffold,"[0.8225136075110342, 0.8710940372031468, 0.8729268458424403, 0.8800472558835915, 0.8789410537995201, 0.8811105689644032, 0.8771764776654123, 0.8893447005901972, 0.8851705422729612, 0.8953906575496899, 0.8981854052620908, 0.8839883096831114, 0.8816363770043646, 0.9001505014114382, 0.8902336726577591, 0.8966664661466515, 0.8970819881782311, 0.8943649419717357, 0.9025556275942276, 0.8952976385426205, 0.8993768283526389, 0.8995015963621213, 0.902181880565823, 0.9054119238113061, 0.897529816212266, 0.9068890879235707, 0.9111467962471564, 0.9044864682409716, 0.9113216942604487, 0.907609288978306, 0.9139234414581815, 0.9086625760583558, 0.9117617242938909, 0.9141562674758763, 0.9083684800360045, 0.9098200221463217, 0.9159158306096031, 0.9089544440805377, 0.9100923951670221, 0.9076995229851638, 0.9163859386453314, 0.9132177224045469, 0.9103402601858599, 0.9118976323042202, 0.917913511261427, 0.9147118750181025, 0.9109496182321709, 0.9179597422649404, 0.9103915041897543, 0.9133731254163576]"
GIN,1,1,0.767787773496867,scaffold,"[0.7908246487836248, 0.8655914238894404, 0.8756372481749666, 0.8792106275747571, 0.884440462063788, 0.8856623533178882, 0.8903359999138944, 0.8901433387956528, 0.8963510091836927, 0.8903855105923253, 0.8868858590506328, 0.889730032262665, 0.8859653371435029, 0.8893904535877752, 0.8948584236768674, 0.8885081410085648, 0.8978648519926703, 0.903861025678283, 0.898101104034313, 0.8924574248527462, 0.900964112830531, 0.900711177842895, 0.9036489908163072, 0.9059108753972289, 0.89768349222494, 0.9044664551699642, 0.8954894157470865, 0.8921684331753834, 0.9010838533299967, 0.9058780476647912, 0.908941251812925, 0.9059899848508088, 0.896525372877297, 0.9045525606976701, 0.907135995608618, 0.905503757699045, 0.9083632684581998, 0.9106087391729025, 0.9123843966020606, 0.9064942403474358, 0.9071308830929106, 0.9075646396887285, 0.9122283303330939, 0.9144057238649543, 0.9138307003877439, 0.9138360819832255, 0.9078337194628092, 0.9106757400366486, 0.910035868333885, 0.9159184903548356]"
GIN,1,2,0.7310566884574106,scaffold,"[0.8225970211760664, 0.8812411408444655, 0.8826548473003737, 0.8903961384820238, 0.8926769683432842, 0.8969658734590439, 0.899032472831923, 0.9019363966324471, 0.8907676860959579, 0.9005675228727288, 0.9022260641725013, 0.9036590996950302, 0.9056738864309952, 0.9059001975860145, 0.9097837292212534, 0.9100640006872557, 0.9126213435848975, 0.9062577853185, 0.9051517331729736, 0.9106669601821227, 0.906118991881792, 0.9117042867574416, 0.9098937975172886, 0.9084161977578282, 0.9107684377818822, 0.9174890468622481, 0.9148774751943646, 0.9160015141102187, 0.9186112065632919, 0.9158498346290966, 0.918189725527254, 0.9130288647394873, 0.9143523688844981, 0.9135684678493192, 0.9186122804003264, 0.9140994802628752, 0.9152055324084019, 0.9190791310510715, 0.9192270521025729, 0.9140667282333234, 0.9170272969374167, 0.918307847601048, 0.9190501374511404, 0.908496735535415, 0.9110884412181608, 0.9142943816846355, 0.9161582943172544, 0.9204157896997551, 0.9201408874189253, 0.9214364718010395]"
GIN,1,3,0.8102797906421959,scaffold,"[0.8046064465484708, 0.8835002655103151, 0.8888364456459455, 0.884520853578932, 0.8900493450395746, 0.8902093858421085, 0.9042352568313808, 0.8973999403913602, 0.8938638257412774, 0.8964598974479525, 0.8871916984474467, 0.9126712436587111, 0.9072597656372982, 0.9120950967695896, 0.9126775403460239, 0.9068410359309966, 0.9047720494247976, 0.9088596489386933, 0.9089892557525487, 0.9080214024401763, 0.9170275018312866, 0.9121953190426517, 0.9068389370352258, 0.9162036852411946, 0.915111209992423, 0.9153037836794062, 0.9062124166476017, 0.9170846967410446, 0.9177175138159814, 0.9204891056815009, 0.9232927057075273, 0.9198917074726987, 0.9218604717058354, 0.9256739029596529, 0.914720815379029, 0.9200661781836575, 0.9214866058966378, 0.9241073396286215, 0.9181832063151576, 0.9210773212213055, 0.9188244189731781, 0.9161150068948727, 0.927539821300014, 0.9241138986779056, 0.9208603478709851, 0.9245593893052865, 0.9240761185540287, 0.9193806263524759, 0.9253118434391668, 0.9160585990710287]"
GIN,1,4,0.8295413040491947,scaffold,"[0.7899147955868943, 0.8719902288608219, 0.870109711733513, 0.8802692725686891, 0.8751480174600998, 0.8710934317997134, 0.8882746329862373, 0.8785799860525829, 0.8862997423105428, 0.8934174946703781, 0.8888041182629705, 0.9000271199775887, 0.8966937469080246, 0.8780639117537783, 0.9028623000522532, 0.8991131866669051, 0.9019781689147439, 0.9002466626533073, 0.8881012836789393, 0.9022379445242481, 0.904481054758513, 0.8970389554139622, 0.8836793862341775, 0.9048073885547734, 0.9025195750607468, 0.903206018449532, 0.894020988677161, 0.9096398109350134, 0.9107747770300744, 0.9075387577262134, 0.9070698702016019, 0.9030448383629468, 0.9071851052712098, 0.9110136911183563, 0.9139790073492159, 0.912053290259259, 0.9062820994240233, 0.9126858413848871, 0.9075024984155178, 0.9128226830300465, 0.9140063260079592, 0.9085152756005636, 0.9130700410673945, 0.9155505752812829, 0.9091267168535263, 0.9092148816158341, 0.9154651423848494, 0.9149287032677089, 0.910253238999521, 0.9167838885478196]"
