index,smiles,GIN_p,GIN-TFP_p
10931,CCOC(=O)C1=CN(C(C)C)C=C(C(=O)OCC)C1c1ccccc1OC,0.281,0.825
6390,Cc1ccc([C@@H](O)CNCc2ccc(C(F)F)cc2)cc1,0.299,0.746
6391,Cc1ccc([C@H](O)CNCc2ccc(C(F)F)cc2)cc1,0.297,0.71
11197,CCOc1ccc(C2C(C(=O)OC)=CN(C(C)C)C=C2C(=O)OC)cc1OC,0.359,0.758
6392,Cc1ccc(C(O)CNCc2ccc(C(F)F)cc2)cc1,0.332,0.727
15212,COc1ccc(-c2nc(NC(=O)c3ccc([S@](C)=O)cc3)sc2C)cc1,0.428,0.793
98,COc1ccccc1N=C1C(=O)c2ccccc2C(=O)C1N1CCCCC1,0.447,0.812
6276,CC(C)c1ccc(CNC[C@@H](O)c2ccc(F)cc2)cc1,0.369,0.733
1598,O=C(O)c1ccc(CNCC(O)c2ccccc2)cc1,0.483,0.846
2283,COc1cc(C)c([C@@H](C)NC(=O)c2cccc(OCC(N)=O)c2)cc1OC,0.375,0.72
11207,COC(=O)C1=CN(C)C=C(C(=O)OC)C1c1ccc(O)cc1,0.428,0.768
15213,COc1ccc(-c2nc(NC(=O)c3ccc([S@@](C)=O)cc3)sc2C)cc1,0.483,0.812
