index,smiles,GIN_p,GIN-TFP_p
1803,COc1cc2c(cc1OC)OCO2,0.755,0.22
17058,COc1ccc(CNC2CCCC(O)C2)c(Cl)c1,0.828,0.308
17063,Cc1ccc(Cl)c(CNC2CCCC(N)C2)c1,0.734,0.232
12314,CCc1nc(N)nc(N)c1-c1ccc(N(C)C)cc1,0.836,0.384
1762,CSc1cccc(Br)c1,0.806,0.364
16454,C=Cc1ccc(CO)c(OC)c1,0.86,0.419
17137,CC[N@@H+](Cc1cc2c(cc1OC)OCO2)[C@@H](C)C(C)C,0.853,0.42
17069,CC(C)Oc1ccc(CNC2CCCC(O)C2)c(Cl)c1,0.758,0.328
14096,Cc1ccc(NC(=O)c2cccs2)cc1Br,0.814,0.386
16442,CCC[N@@H+](C)Cc1cc(OC)c(O)c(OC)c1,0.778,0.379
14671,CC(F)(F)c1ccc(CNC2CCN(CCc3ccccc3)CC2)cc1,0.832,0.436
89,CC(C)(C)c1ccc(O)c(CNC2CCCCC2)c1,0.792,0.398
