partition,model,descriptor_mode,status,n_records,auc_mean_fold_seed,auc_sd_fold_seed,auc_mean_seed,auc_sd_seed,ap_mean_fold_seed,ap_sd_fold_seed,ap_mean_seed,ap_sd_seed,seed_means_auc,seed_means_ap
canonical_random,GIN,native,COMPUTED,25,0.9104828125485938,0.005135666936471998,0.9104828125485934,0.0009941380452684844,0.9645373932966068,0.002494318349715679,0.9645373932966068,0.0006373977444002625,"[0.9099369426670559, 0.9122118825468133, 0.9102225799217827, 0.9103145261025463, 0.9097281315047695]","[0.963573481974991, 0.9653007934415534, 0.964601473344495, 0.9648289759826101, 0.9643822417393848]"
canonical_random,GIN-TFP,native,COMPUTED,25,0.9085971665745397,0.004794327574062273,0.9085971665745396,0.0012552918939947612,0.9638070740974524,0.0024018828338444303,0.9638070740974525,0.0007492677678510075,"[0.9100664741239562, 0.9092163402114364, 0.9066641276711518, 0.9085971298441378, 0.9084417610220159]","[0.96466025455726, 0.9639587140327099, 0.9628054665721898, 0.9633097487962214, 0.9643011865288809]"
canonical_random,GIN-TFP,permuted,COMPUTED,25,0.903213957351135,0.0056094575437501395,0.9032139573511351,0.001628844801556486,0.9614893603444217,0.002710368252807695,0.9614893603444218,0.0011517063685005647,"[0.9042488837782166, 0.9026838124358656, 0.9006134568584259, 0.9038733626141993, 0.904650271068968]","[0.9620025121204137, 0.9610688819925549, 0.9596885131743249, 0.9620574366021091, 0.9626294578327064]"
canonical_random,GIN-TNE,native,COMPUTED,25,0.891040560790459,0.006344426493354829,0.8910405607904591,0.0021874300846169517,0.9560037931049249,0.003190508745843698,0.9560037931049248,0.001077042016569697,"[0.8917344889400113, 0.8888407320976801, 0.8886332824451868, 0.8934256040873703, 0.8925686963820467]","[0.9561373198125297, 0.9551166514443727, 0.9548282388297948, 0.9575126448892203, 0.9564241105487066]"
canonical_random,GIN-TNE,permuted,COMPUTED,25,0.8882313615567857,0.006754049696458381,0.8882313615567856,0.0008938061117904573,0.9550911527175436,0.0031847603473498525,0.9550911527175436,0.00047658440491505646,"[0.8896022226905842, 0.8880998234167157, 0.8874314229145286, 0.887481309222333, 0.8885420295397667]","[0.955616523793554, 0.955099820649646, 0.9545393194422894, 0.9546952272987358, 0.9555048724034927]"
canonical_scaffold,GIN,native,COMPUTED,25,0.8074454691020654,0.036388917726554414,0.8074454691020655,0.012472354711945329,0.9120484549984207,0.0402987730939268,0.9120484549984207,0.005295577573928906,"[0.8273011929255583, 0.7927349012311412, 0.8044458310482334, 0.8067525131421229, 0.8059929071632712]","[0.9194655593991972, 0.9104149807412156, 0.9054796572148145, 0.9100922579547092, 0.9147898196821668]"
canonical_scaffold,GIN-TFP,native,COMPUTED,25,0.8166566506228272,0.034903297964241436,0.816656650622827,0.014004984158445817,0.9164496027979773,0.03591631550172075,0.9164496027979775,0.003554394880148598,"[0.8197446226330495, 0.7929498358125298, 0.8223180884244587, 0.8300131003691729, 0.8182576058749248]","[0.9166720091205918, 0.9132618735357025, 0.9130471553962225, 0.921691753203293, 0.917575222734077]"
canonical_scaffold,GIN-TFP,permuted,COMPUTED,25,0.8047328597000795,0.03795477760673426,0.8047328597000794,0.018954237955479146,0.9103667869768235,0.0436487226959099,0.9103667869768234,0.009857623171268202,"[0.8201847759236888, 0.7729583153275194, 0.803794156863504, 0.8177687053319025, 0.8089583450537825]","[0.9168555456949203, 0.9004386649812194, 0.8987608930739258, 0.9176223133505961, 0.9181565177834555]"
canonical_scaffold,GIN-TNE,native,COMPUTED,25,0.8095874362263085,0.04046650879012959,0.8095874362263086,0.0166743681746412,0.9135180954078357,0.04136406003663199,0.9135180954078356,0.006983057387360352,"[0.8231846335745215, 0.7823501332584453, 0.8062860171368392, 0.8141226700480428, 0.8219937271136935]","[0.9154683553422599, 0.9079678411142584, 0.9061029543369206, 0.9142931899854638, 0.9237581362602756]"
canonical_scaffold,GIN-TNE,permuted,COMPUTED,25,0.8005117490089863,0.04069269947416476,0.8005117490089864,0.016947002490031417,0.910150108464985,0.0408302457775082,0.9101501084649852,0.005450588477444669,"[0.8115120413996036, 0.7718518368383773, 0.7992116353268648, 0.81352577286861, 0.8064574586114757]","[0.9127303583324672, 0.903308247673986, 0.9053128605756762, 0.9141641279586838, 0.9152349477841122]"
novel_101,GIN,native,COMPUTED,25,0.791115882594933,0.05234342420031145,0.791115882594933,0.02591113018024832,0.9068612850253202,0.03382433585676409,0.9068612850253203,0.011230641895243379,"[0.8118356128209934, 0.7527334627556905, 0.7793599390271548, 0.7955271630321514, 0.8161232353386749]","[0.916896640508529, 0.8914054377560172, 0.9081628489650402, 0.9001247031596484, 0.9177167947373658]"
