partition,contrast,unit,status,native_mean_auc,permuted_mean_auc,mean_delta_auc,delta_by_seed,paired_t_df4,paired_t_p,exact_sign_flip_p
canonical_random,GIN-TFP_native_minus_permuted,"five per-seed means, each averaging five folds",COMPUTED,0.9085971665745396,0.9032139573511351,0.005383209223404561,"[0.005817590345739698, 0.0065325277755707845, 0.006050670812725922, 0.0047237672299385025, 0.0037914899530478996]",10.84967382081977,0.0004095251557705973,0.0625
canonical_random,GIN-TNE_native_minus_permuted,"five per-seed means, each averaging five folds",COMPUTED,0.8910405607904591,0.8882313615567856,0.0028091992336733984,"[0.002132266249427084, 0.0007409086809644361, 0.0012018595306582114, 0.005944294865037225, 0.004026666842280036]",2.910606226222501,0.04365166014020896,0.0625
canonical_scaffold,GIN-TFP_native_minus_permuted,"five per-seed means, each averaging five folds",COMPUTED,0.816656650622827,0.8047328597000794,0.011923790922747712,"[-0.0004401532906392891, 0.019991520485010406, 0.018523931560954776, 0.012244395037270372, 0.009299260821142297]",3.254247582744723,0.031250063350835584,0.125
canonical_scaffold,GIN-TNE_native_minus_permuted,"five per-seed means, each averaging five folds",COMPUTED,0.8095874362263086,0.8005117490089864,0.00907568721732217,"[0.011672592174917895, 0.010498296420067943, 0.007074381809974439, 0.0005968971794327871, 0.015536268502217787]",3.6100867380267276,0.022554868178063434,0.0625
novel_101,GIN-TFP_native_minus_permuted,"five per-seed means, each averaging five folds",COMPUTED,0.8065343763447046,0.8009221049755075,0.005612271369197041,"[0.004325915724773588, 0.013137049177581073, 0.010443492864099069, 0.006967627961896539, -0.00681272888236506]",1.6274793570353652,0.17896487311765757,0.1875
novel_101,GIN-TNE_native_minus_permuted,"five per-seed means, each averaging five folds",COMPUTED,0.7975554682864059,0.7883981492191076,0.009157319067298242,"[0.0038404635252758945, 0.016522864649152758, 0.0035877569234477047, 0.011519274390994205, 0.010316235847620647]",3.7312815841992855,0.020274243402464462,0.0625
novel_202,GIN-TFP_native_minus_permuted,"five per-seed means, each averaging five folds",COMPUTED,0.8105365197532602,0.796649249643517,0.013887270109743288,"[0.0034433569382450457, -0.008252228370486892, 0.02883759615617887, 0.02419227035935756, 0.02121535546542186]",1.9812301108854722,0.1186345059253075,0.1875
novel_202,GIN-TNE_native_minus_permuted,"five per-seed means, each averaging five folds",COMPUTED,0.8007895333863736,0.8009482072494374,-0.00015867386306378517,"[0.006582861160263631, 0.008614755200607727, 0.00943105036487657, -0.005355056348246734, -0.02006697969282012]",-0.02809978030689356,0.9789286308515123,1.0
novel_303,GIN-TFP_native_minus_permuted,"five per-seed means, each averaging five folds",COMPUTED,0.8013274879136331,0.7948371516559336,0.006490336257699481,"[0.01863307052345642, -0.010080671617102688, 0.012045840342652436, 0.0009019720988138191, 0.010951469940677416]",1.2928553315300928,0.2656809802549969,0.1875
novel_303,GIN-TNE_native_minus_permuted,"five per-seed means, each averaging five folds",COMPUTED,0.7994233698983793,0.7941521257426163,0.005271244155763122,"[0.008596463934627208, 0.00529614464520578, 0.008489886781086642, 0.0007987333240083716, 0.0031749920938876075]",3.4827661837611195,0.025288355736355204,0.0625
