partition,model,descriptor_mode,status,n_runs,n_dimensions,top_k,top_k_fraction,top_k_jaccard_mean,top_k_jaccard_median,top_k_jaccard_min,top_k_jaccard_max,pairwise_spearman_mean,pairwise_spearman_median,pairwise_spearman_min,pairwise_spearman_max,dimension_top_k_frequency_mean,dimension_top_k_frequency_max,top_dimensions_by_mean_salience,mean_salience_sum,block_mean_salience
canonical_random,GIN-TFP,native,COMPUTED,25,78,8,0.1,0.3853473933473934,0.3333333333333333,0.14285714285714285,0.7777777777777778,0.8201930558892583,0.8270716625147005,0.6335816082651525,0.9228619481784037,0.10256410256410256,0.84,"[52, 53, 43, 42, 54, 45, 8, 44, 41, 55]",4.8233875947445615,"{'homology_0': 0.04920609230119171, 'persistent_image': 0.08343045352697373, 'betti': 0.05569126053154468}"
canonical_random,GIN-TFP,permuted,COMPUTED,25,78,8,0.1,0.43552447552447554,0.45454545454545453,0.23076923076923078,0.7777777777777778,0.8243386149715264,0.8303468683215518,0.6691915679257451,0.9291341569822581,0.10256410256410255,0.96,"[52, 54, 51, 43, 44, 53, 42, 45, 41, 47]",4.8207737777009605,"{'homology_0': 0.04830062305949854, 'persistent_image': 0.0846354135632515, 'betti': 0.055548393882811076}"
canonical_random,GIN-TNE,native,COMPUTED,25,192,20,0.1,0.284609603057988,0.2903225806451613,0.1111111111111111,0.5384615384615384,0.8067887911546356,0.8157442761034099,0.6147136017144563,0.9221916284621438,0.10416666666666667,1.0,"[68, 43, 66, 165, 95, 119, 47, 191, 92, 45]",10.440719322413205,{'all_TNE': 0.05437874647090211}
canonical_random,GIN-TNE,permuted,COMPUTED,25,192,20,0.1,0.3195120356293446,0.3333333333333333,0.08108108108108109,0.5384615384615384,0.8388202262431166,0.8486448132273555,0.6773695846784038,0.9072308276591706,0.10416666666666667,0.88,"[166, 141, 45, 70, 188, 115, 19, 47, 118, 94]",10.858420987837018,{'all_TNE': 0.0565542759783178}
canonical_scaffold,GIN-TFP,native,COMPUTED,25,78,8,0.1,0.37395167795167794,0.3333333333333333,0.06666666666666667,0.7777777777777778,0.7545618938024,0.7874151165290406,0.4853500929450296,0.8980766069373664,0.10256410256410256,0.88,"[53, 43, 52, 42, 54, 44, 41, 45, 8, 51]",4.691494102999568,"{'homology_0': 0.04874085494514668, 'persistent_image': 0.07952097589373588, 'betti': 0.05475107462331652}"
canonical_scaffold,GIN-TFP,permuted,COMPUTED,25,78,8,0.1,0.3098460058460059,0.3333333333333333,0.06666666666666667,0.7777777777777778,0.757653317146988,0.7989858243022798,0.43314912935166094,0.907940161104718,0.10256410256410256,0.92,"[54, 45, 52, 53, 51, 57, 40, 75, 24, 42]",4.743782976008951,"{'homology_0': 0.050133754892105406, 'persistent_image': 0.07967794475555419, 'betti': 0.054871022284030915}"
canonical_scaffold,GIN-TNE,native,COMPUTED,25,192,20,0.1,0.2992527680644106,0.2903225806451613,0.14285714285714285,0.6666666666666666,0.8345341252294532,0.8435329802240731,0.6699281800179042,0.9240566421615171,0.10416666666666667,0.92,"[68, 43, 92, 165, 66, 95, 119, 142, 167, 191]",11.520822119377552,{'all_TNE': 0.06000428187175808}
canonical_scaffold,GIN-TNE,permuted,COMPUTED,25,192,20,0.1,0.27392977819279374,0.25,0.08108108108108109,0.48148148148148145,0.78758931720153,0.8198057673005454,0.5354539104250875,0.9312047310311153,0.10416666666666667,0.84,"[139, 142, 191, 189, 71, 70, 17, 95, 167, 66]",10.847803794760258,{'all_TNE': 0.05649897809770968}
novel_101,GIN-TFP,native,COMPUTED,25,78,8,0.1,0.3993929033929034,0.45454545454545453,0.14285714285714285,0.7777777777777778,0.8131898481265569,0.819800452711845,0.6155237167895395,0.9043741069057524,0.10256410256410256,0.92,"[52, 53, 42, 44, 43, 54, 41, 8, 55, 45]",4.76085067883134,"{'homology_0': 0.04902387384663928, 'persistent_image': 0.08162295053005218, 'betti': 0.0551244539320469}"
novel_101,GIN-TFP,permuted,COMPUTED,25,78,8,0.1,0.33651874051874053,0.3333333333333333,0.06666666666666667,1.0,0.7896221078499559,0.7937758444087557,0.5757660061457529,0.9116579622908736,0.10256410256410256,0.76,"[53, 46, 51, 45, 52, 54, 43, 33, 34, 8]",4.6730782184004775,"{'homology_0': 0.04816540774973956, 'persistent_image': 0.07975996652245522, 'betti': 0.05448102997988462}"
