partition,model,descriptor_mode,seed,fold,best_val_auc,test_auc,test_ap,test_f1,test_bacc,n_test
canonical_random,GIN-TFP,native,0,0,0.9162072812756024,0.9177863303609511,0.9687348888423976,0.9117597435464821,0.8218912383598291,3968
canonical_random,GIN-TFP,native,0,1,0.9029695963562451,0.9094588061541078,0.9634589282028188,0.9078947368421053,0.7849767839687194,3967
canonical_random,GIN-TFP,native,0,2,0.907457263367597,0.9064620056632241,0.9623421831650492,0.9054882843214341,0.7269860132708572,3967
canonical_random,GIN-TFP,native,0,3,0.9095598502899205,0.9118484768795952,0.9645448255117994,0.9069649211997967,0.8171425421819882,3967
canonical_random,GIN-TFP,native,0,4,0.9140205655961761,0.9047767515619023,0.9642204470642347,0.8960162052667117,0.7914119942411493,3967
canonical_random,GIN-TFP,native,1,0,0.9171115796794951,0.9092746291990501,0.9630361477693642,0.8951317396614902,0.8274682306940371,3968
canonical_random,GIN-TFP,native,1,1,0.9062672275261349,0.9120818989332313,0.9647027519366886,0.9075172303253727,0.7540244551935908,3967
canonical_random,GIN-TFP,native,1,2,0.9129981036742902,0.9129010343618513,0.9657814243162138,0.9063545150501672,0.8009228638063666,3967
canonical_random,GIN-TFP,native,1,3,0.912523341028931,0.9119284978112117,0.9658405962993988,0.901207277673865,0.809794229992775,3967
canonical_random,GIN-TFP,native,1,4,0.9093027741168151,0.8998956407518381,0.9604326498418847,0.9029205416870615,0.765637783426835,3967
canonical_random,GIN-TFP,native,2,0,0.8988612444802602,0.9030631635374502,0.9606950865113524,0.8993150684931507,0.8143643566393991,3968
canonical_random,GIN-TFP,native,2,1,0.9100467448928138,0.9026467338178419,0.9619338921588099,0.9038336582196231,0.7623202351353648,3967
canonical_random,GIN-TFP,native,2,2,0.9088520133079168,0.9114115161077818,0.9649924023920293,0.9035859269282814,0.8084732205469847,3967
canonical_random,GIN-TFP,native,2,3,0.9112999248598347,0.9097556472863274,0.9636301374330514,0.910828025477707,0.8123756521207872,3967
canonical_random,GIN-TFP,native,2,4,0.9039223581642664,0.9064435776063582,0.9627758143657058,0.9060022650056625,0.7619559904798334,3967
canonical_random,GIN-TFP,native,3,0,0.9090815007539371,0.9087042172643793,0.9633249761187087,0.9068343537977825,0.7902196841076298,3968
canonical_random,GIN-TFP,native,3,1,0.9222806719837094,0.9038649777933613,0.9626657273878865,0.9055730114106169,0.7866167150112626,3967
canonical_random,GIN-TFP,native,3,2,0.921492380178039,0.9012110055675975,0.9581750613749971,0.9085584119752684,0.773793775766076,3967
canonical_random,GIN-TFP,native,3,3,0.9104240022036272,0.9164720929491267,0.9667417905367968,0.9081063863672559,0.747646023258532,3967
canonical_random,GIN-TFP,native,3,4,0.9142581605430405,0.9127333556462238,0.9656411885627182,0.8925764192139738,0.8234739908729652,3967
canonical_random,GIN-TFP,native,4,0,0.9004675143441299,0.907854491018958,0.9631571112112811,0.8936612400415657,0.816329680506251,3968
canonical_random,GIN-TFP,native,4,1,0.9162176046407892,0.9060750164690382,0.9636392096150522,0.9061688311688312,0.7662925605104339,3967
canonical_random,GIN-TFP,native,4,2,0.9055037593984963,0.9104514309469166,0.9666147579341984,0.9063414634146342,0.7685457640039951,3967
canonical_random,GIN-TFP,native,4,3,0.9170524542193118,0.9029040625398445,0.9608069600419042,0.9011470985155196,0.8006530836945898,3967
canonical_random,GIN-TFP,native,4,4,0.908843510158549,0.9149238041353223,0.9672878938419689,0.911954899684961,0.8023399979812147,3967
