partition,model,descriptor_mode,seed,fold,best_val_auc,test_auc,test_ap,test_f1,test_bacc,n_test
canonical_scaffold,GIN-TFP,native,0,0,0.9081343686123098,0.8471409677355923,0.9536886981532936,0.9009493670886076,0.6975753604193972,3829
canonical_scaffold,GIN-TFP,native,0,1,0.9176224787393084,0.7944570419534897,0.8496871827649999,0.7532467532467533,0.7161656858992242,3970
canonical_scaffold,GIN-TFP,native,0,2,0.9037289801890784,0.8795878198064233,0.9617868708596897,0.9203966005665722,0.7660596927734038,4327
canonical_scaffold,GIN-TFP,native,0,3,0.9262067909188099,0.7522278968462595,0.8893824848406475,0.8481384715871979,0.6599364335898293,3969
canonical_scaffold,GIN-TFP,native,0,4,0.9200996804916143,0.8253093868234832,0.928814808984328,0.8677671589921807,0.6965495873025104,3741
canonical_scaffold,GIN-TFP,native,1,0,0.9143255886338763,0.7848358901333147,0.9520176745416262,0.9222718570516911,0.6154213915049009,4389
canonical_scaffold,GIN-TFP,native,1,1,0.9164388906379075,0.803281061887563,0.9140441250355341,0.8121120932856875,0.7276819421758387,3865
canonical_scaffold,GIN-TFP,native,1,2,0.8913659096108715,0.8213504787996888,0.9105873426965454,0.8308753112430569,0.7396374756419903,3828
canonical_scaffold,GIN-TFP,native,1,3,0.9013814669263487,0.8243223711559444,0.8714944731705185,0.7957622130665097,0.7046316749005892,3928
canonical_scaffold,GIN-TFP,native,1,4,0.8946156452741892,0.7309593770861376,0.9181657522342888,0.8640947654874339,0.6299839310402691,3826
canonical_scaffold,GIN-TFP,native,2,0,0.9083020777225057,0.7818877173393561,0.9225562011885793,0.8769893899204244,0.6641772296448556,3729
canonical_scaffold,GIN-TFP,native,2,1,0.9204888106181005,0.7714244347993038,0.8276055022376192,0.794750871437359,0.6895542916854202,3679
canonical_scaffold,GIN-TFP,native,2,2,0.8878421462468595,0.8480097399376265,0.9139254061067015,0.8722054380664652,0.7377255074501752,4473
canonical_scaffold,GIN-TFP,native,2,3,0.912774726611856,0.854599751784052,0.9473874824111796,0.9132738005146057,0.7431647457307465,4039
canonical_scaffold,GIN-TFP,native,2,4,0.9102820674954206,0.8556687982619553,0.9537611850370327,0.9094138543516874,0.6385840046793514,3916
canonical_scaffold,GIN-TFP,native,3,0,0.9213071701105,0.8116235991903422,0.9301851756521147,0.8668442077230359,0.7015969058303154,3871
canonical_scaffold,GIN-TFP,native,3,1,0.9218032767960774,0.8232299979995761,0.9178104708894512,0.8489307100085544,0.7205761519605647,4037
canonical_scaffold,GIN-TFP,native,3,2,0.9175529646106402,0.8235909546598768,0.8566870314922205,0.8443030423543448,0.7715010532288399,3870
canonical_scaffold,GIN-TFP,native,3,3,0.9189258734787992,0.8469966127676407,0.9677266738793612,0.9351008008837338,0.6134985536270583,3991
canonical_scaffold,GIN-TFP,native,3,4,0.9175803007050793,0.8446243372284286,0.9360494141033177,0.850900192274078,0.7713851480400842,4067
canonical_scaffold,GIN-TFP,native,4,0,0.9172512439319163,0.8039367039752991,0.8836997686869685,0.8260112250822528,0.7270275032302451,3787
canonical_scaffold,GIN-TFP,native,4,1,0.9146912792880857,0.8055091593739141,0.9118430339839015,0.8926076360682372,0.6776177143180367,3757
canonical_scaffold,GIN-TFP,native,4,2,0.9080923720357514,0.7988962029256146,0.9320671631438789,0.8782559456398641,0.6915088702147525,4418
canonical_scaffold,GIN-TFP,native,4,3,0.9042339803984789,0.8504478079480571,0.9241549964400995,0.8463492063492063,0.6399716649342884,4035
canonical_scaffold,GIN-TFP,native,4,4,0.8977893032578794,0.8324981551517388,0.936111151415536,0.874277947672443,0.7338320188789471,3839
