partition,model,descriptor_mode,seed,fold,best_val_auc,test_auc,test_ap,test_f1,test_bacc,n_test
canonical_scaffold,GIN-TFP,permuted,0,0,0.9031950618085072,0.8314482007456747,0.9495053696178637,0.8949014701282453,0.660539985756776,3829
canonical_scaffold,GIN-TFP,permuted,0,1,0.9087865085677747,0.7978916203316226,0.8496181491778606,0.8057187622405013,0.7236206538593793,3970
canonical_scaffold,GIN-TFP,permuted,0,2,0.8931511347917949,0.863507381935501,0.9568644745655076,0.9061745919091554,0.7337282093495665,4327
canonical_scaffold,GIN-TFP,permuted,0,3,0.9172506186216768,0.77441230088556,0.8980796588679653,0.8702093397745572,0.6871947139511543,3969
canonical_scaffold,GIN-TFP,permuted,0,4,0.9125470841031819,0.8336643757200854,0.9302100762454044,0.8690902884451271,0.6781715556750902,3741
canonical_scaffold,GIN-TFP,permuted,1,0,0.9093207227218387,0.771925069452938,0.9438794096179837,0.8828382838283828,0.6944022679223525,4389
canonical_scaffold,GIN-TFP,permuted,1,1,0.9102043122724595,0.804165644928229,0.9169930803527919,0.835236541598695,0.7259198763107693,3865
canonical_scaffold,GIN-TFP,permuted,1,2,0.8802981224229512,0.765886567240969,0.8724847967692541,0.8074185088047958,0.6810210105921167,3828
canonical_scaffold,GIN-TFP,permuted,1,3,0.8958158613981707,0.8091789801477511,0.8601394325744017,0.7822426329889016,0.6733590663447904,3928
canonical_scaffold,GIN-TFP,permuted,1,4,0.9015856997632952,0.7136353148677093,0.908696605591665,0.8889895786135025,0.5764438352466521,3826
canonical_scaffold,GIN-TFP,permuted,2,0,0.9010834178257975,0.8103703280761634,0.933513812822575,0.8867271228359439,0.6785041807823582,3729
canonical_scaffold,GIN-TFP,permuted,2,1,0.9181279798977708,0.7143425479747827,0.7702889414660553,0.712291142137789,0.6517809762714852,3679
canonical_scaffold,GIN-TFP,permuted,2,2,0.8885726459309758,0.8349546193290935,0.9058964167722877,0.8675656493967353,0.6680455565668373,4473
canonical_scaffold,GIN-TFP,permuted,2,3,0.9058589848670389,0.8417328651907552,0.942278124151035,0.9088103687702515,0.7650832633705049,4039
canonical_scaffold,GIN-TFP,permuted,2,4,0.9078836588794021,0.8175704237467253,0.9418271701576759,0.8970406905055487,0.6808947784926787,3916
canonical_scaffold,GIN-TFP,permuted,3,0,0.9205453149001536,0.7942836047336429,0.9269664180878442,0.8547291701176081,0.6672725356935884,3871
canonical_scaffold,GIN-TFP,permuted,3,1,0.9149577282391733,0.8150054190589648,0.9141707945617115,0.8475409836065574,0.6739988176598622,4037
canonical_scaffold,GIN-TFP,permuted,3,2,0.9116124402322041,0.7964565627741815,0.8475469604033065,0.8335532516493873,0.7243830261737294,3870
canonical_scaffold,GIN-TFP,permuted,3,3,0.9133629659599417,0.8432549984341261,0.9660227924296716,0.8800373424614906,0.7586463020653051,3991
canonical_scaffold,GIN-TFP,permuted,3,4,0.9061466393363454,0.8398429416585965,0.9334046012704467,0.8640681297084835,0.7204770079767031,4067
canonical_scaffold,GIN-TFP,permuted,4,0,0.911721254158229,0.7915246240846563,0.8771457541753215,0.8233711320392082,0.7168656230920256,3787
canonical_scaffold,GIN-TFP,permuted,4,1,0.9121700154375257,0.8449098203679912,0.939635624762895,0.9041230366492147,0.7149960000969673,3757
canonical_scaffold,GIN-TFP,permuted,4,2,0.9071874402904273,0.7853590102707749,0.929872932985403,0.8751749230338651,0.6640345471521942,4418
canonical_scaffold,GIN-TFP,permuted,4,3,0.8996165999942753,0.84144252538053,0.9234166937042331,0.8441906121720507,0.7414467969984765,4035
canonical_scaffold,GIN-TFP,permuted,4,4,0.8961901343974747,0.7815557451649602,0.9207115832894252,0.8239512370025098,0.7061506472342649,3839
