partition,model,descriptor_mode,seed,fold,best_val_auc,test_auc,test_ap,test_f1,test_bacc,n_test
novel_202,GIN-TFP,permuted,0,0,0.9100983626776848,0.8122226348952415,0.9288683268086886,0.8645652926913752,0.7546722534813578,3871
novel_202,GIN-TFP,permuted,0,1,0.9082129001070982,0.8360619992079183,0.9235121997347475,0.85470958950775,0.7214337881528086,4018
novel_202,GIN-TFP,permuted,0,2,0.9174499918685965,0.7621008085439547,0.848690734925801,0.7990919409761634,0.6602533934826309,3787
novel_202,GIN-TFP,permuted,0,3,0.9122773140321216,0.8142127050735166,0.9295923889007847,0.8488696190771137,0.6958183161995355,4298
novel_202,GIN-TFP,permuted,0,4,0.9032184750483382,0.7722247271268359,0.92903720284294,0.8925879396984925,0.6963936872654191,3862
novel_202,GIN-TFP,permuted,1,0,0.8979805261988234,0.8598261085616612,0.9333018624038925,0.8670866141732283,0.6746559739447224,4061
novel_202,GIN-TFP,permuted,1,1,0.9229462828142213,0.7629051484692306,0.863431047085117,0.7839256865912763,0.6699025262160602,3698
novel_202,GIN-TFP,permuted,1,2,0.9043047954090899,0.7971343687122736,0.945056702548371,0.8997054285313508,0.6174885853583036,4136
novel_202,GIN-TFP,permuted,1,3,0.9102311263442323,0.7799361577751208,0.9207759563843604,0.9091157578242449,0.6376538679933647,4241
novel_202,GIN-TFP,permuted,1,4,0.9064619556206848,0.8040444695179171,0.893689197133994,0.8481455563331001,0.651929967530929,3700
novel_202,GIN-TFP,permuted,2,0,0.9186251350232695,0.7204948693564401,0.8526975304747049,0.8363147276395427,0.6004877289696928,4699
novel_202,GIN-TFP,permuted,2,1,0.9036742254610595,0.9222257639180454,0.9607879391790721,0.9083665338645418,0.825984587538317,3675
novel_202,GIN-TFP,permuted,2,2,0.9094166743663186,0.7422191207257501,0.8816596780884571,0.8579341805148257,0.6430143781998576,3876
novel_202,GIN-TFP,permuted,2,3,0.9097864489116495,0.7905833784480703,0.8977486746383225,0.8328893624578227,0.6949168306619422,3898
novel_202,GIN-TFP,permuted,2,4,0.9166087680380968,0.780387491614885,0.9475857713642852,0.9022869022869023,0.6735917419855952,3688
novel_202,GIN-TFP,permuted,3,0,0.9208062938186157,0.7829143381507625,0.9076159803450092,0.8647365923113431,0.6210843759164336,3881
novel_202,GIN-TFP,permuted,3,1,0.9123284261432331,0.8502637648635591,0.9479573311635319,0.8970588235294118,0.7682519122686966,4091
novel_202,GIN-TFP,permuted,3,2,0.9135743813796751,0.6674644510993661,0.8011038753299935,0.7974535098006367,0.6209011175052105,4094
novel_202,GIN-TFP,permuted,3,3,0.9199743918053778,0.8226189295625665,0.9317746694278879,0.8858109196327911,0.7127254369002061,3915
novel_202,GIN-TFP,permuted,3,4,0.9052586643761188,0.836338460474833,0.9132618493494484,0.8638344226579521,0.7587654161554853,3855
novel_202,GIN-TFP,permuted,4,0,0.9013923893936768,0.7390395253278434,0.9069847948890393,0.8371531966224367,0.5990566393010469,3657
novel_202,GIN-TFP,permuted,4,1,0.9026677404789278,0.8204850888261331,0.9478911322960613,0.9042914979757085,0.6908805503815418,3686
novel_202,GIN-TFP,permuted,4,2,0.909507532897494,0.8240250018529041,0.8875033294323615,0.8417333085363585,0.6877695151979314,3656
novel_202,GIN-TFP,permuted,4,3,0.9080976540915255,0.7715564813629022,0.8697362907306198,0.8181818181818182,0.7088282533990736,4553
novel_202,GIN-TFP,permuted,4,4,0.9058389471385768,0.8449454476201932,0.9480114758072407,0.9048807542983915,0.6697057629565034,4284
