model,split,fold,seed,test_auc,test_ap,test_f1,test_bacc
Logistic-ECFP4-C1,scaffold,0,0,0.6386940348591366,0.8536145044962833,0.760725183988512,0.5926153671220908
Logistic-ECFP4-C1,scaffold,1,0,0.6938188943171718,0.7538279779076548,0.737867939538584,0.6413297238496257
Logistic-ECFP4-C1,scaffold,2,0,0.7791221338573269,0.9169024548036352,0.8423764777205214,0.6934551706740663
Logistic-ECFP4-C1,scaffold,3,0,0.6569045684516697,0.8443826392844638,0.7826682651138893,0.5939695550351288
Logistic-ECFP4-C1,scaffold,4,0,0.7398177661635306,0.8762744266769962,0.7903132807995388,0.6710970011739436
Logistic-ECFP4-C1,scaffold,0,1,0.7193052958957246,0.932852595679914,0.8802509547190398,0.6611113780511243
Logistic-ECFP4-C1,scaffold,1,1,0.6650729278798131,0.8474696755094941,0.757844222960502,0.6068322783451023
Logistic-ECFP4-C1,scaffold,2,1,0.7236964043397452,0.8312483285762379,0.747712949786542,0.6655949142405124
Logistic-ECFP4-C1,scaffold,3,1,0.7021311753082778,0.7695514447092663,0.7253535152360088,0.6193878685094409
Logistic-ECFP4-C1,scaffold,4,1,0.6307276448121518,0.8694088244367966,0.7873224800831313,0.5952778963342343
Logistic-ECFP4-C1,scaffold,0,2,0.6356423855624496,0.8649050292932652,0.8246021220159151,0.5395823024120386
Logistic-ECFP4-C1,scaffold,1,2,0.6151819689725827,0.7101795406182586,0.6262434864992894,0.5693704185144735
Logistic-ECFP4-C1,scaffold,2,2,0.7687529266063444,0.8654932449042656,0.8328362894365092,0.7062033510331609
Logistic-ECFP4-C1,scaffold,3,2,0.7897035249098089,0.9187642631431986,0.8651295009475679,0.6981989894934082
Logistic-ECFP4-C1,scaffold,4,2,0.7266439990103892,0.8893709607164607,0.88135063310927,0.6663950971669935
Logistic-ECFP4-C1,scaffold,0,3,0.7653515452905231,0.906063688788311,0.8107136437174186,0.6982919227389097
Logistic-ECFP4-C1,scaffold,1,3,0.7154373016370634,0.8499141138247104,0.799864199626549,0.6255343669852417
Logistic-ECFP4-C1,scaffold,2,3,0.7078919166936414,0.7660257144540705,0.756701868399675,0.6641989903973757
Logistic-ECFP4-C1,scaffold,3,3,0.7314575297928102,0.9303989351856125,0.8743535138424094,0.676298336053009
Logistic-ECFP4-C1,scaffold,4,3,0.7187008645648448,0.8473850760067352,0.8181358503286702,0.6674984198512941
Logistic-ECFP4-C1,scaffold,0,4,0.6818050390533734,0.8014966145137425,0.7492125984251968,0.6222494510842136
Logistic-ECFP4-C1,scaffold,1,4,0.6798863461895873,0.8701165142102603,0.8209347103098197,0.6319008428078512
Logistic-ECFP4-C1,scaffold,2,4,0.6998397136632432,0.8864730926864176,0.854904155589758,0.613988484282602
Logistic-ECFP4-C1,scaffold,3,4,0.8005762412609816,0.8886005102305724,0.8231665524331734,0.6709722202446213
Logistic-ECFP4-C1,scaffold,4,4,0.670807197982966,0.8651386394423897,0.7467013566251626,0.6050008839897918
