model,fold,seed,test_auc,split,curve
GIN-TNE,0,0,0.8988357754664782,random,"[0.8122352272774057, 0.8507916935985211, 0.860287745422957, 0.8653915033944429, 0.8746047707464482, 0.8770842167667776, 0.8870097201694547, 0.8686032557009762, 0.8834294989234119, 0.8907366085213073, 0.8869906791767703, 0.8946600822570885, 0.8850057843448047, 0.8968703812727206, 0.8951783060309513, 0.8899801150281808, 0.895298212822719, 0.8977241382149636, 0.897880583127828, 0.8989865045677798, 0.8991846338159797, 0.899657056283116, 0.9000949991148511, 0.8953419556437502, 0.8981986191677954, 0.8962893736851423, 0.8948417436197236, 0.8925460174477247, 0.8919413372746473, 0.8873905400231372, 0.8951510310954849, 0.896349584391738, 0.8873058847989066]"
GIN-TNE,0,1,0.8876545730042635,random,"[0.8041201720784221, 0.8503039235095283, 0.8648978035595136, 0.8707924427112301, 0.8821695414489238, 0.8745230082090247, 0.88167094558287, 0.8792963303972742, 0.8864070825752266, 0.8794838275821977, 0.8854528371256996, 0.8759161437171159, 0.8854769289427569, 0.8696229421136483, 0.8793581311453773, 0.8825937669231921, 0.8892148267326991, 0.8874938330185684, 0.8815465584839333, 0.8909148710406932, 0.8882893867166101, 0.8804477621320629, 0.8881631665446363, 0.8864298650544002, 0.8884114170073563, 0.8796980352599455, 0.8863955604018516, 0.885205110398133, 0.8759847530222138, 0.8842642201950179]"
GIN-TNE,0,2,0.8808451456898798,random,"[0.795065016819379, 0.852898356816898, 0.860304317469496, 0.8673827077713632, 0.8669972102694075, 0.866941846266467, 0.8695252434221926, 0.8778116455104408, 0.8755186530553241, 0.8712581879771942, 0.8730334244788864, 0.8780920539327408, 0.8806516138094227, 0.8758621149254175, 0.8801107895214397, 0.8746543594538648, 0.8774599815658376, 0.8797709160589442, 0.8774148701560341, 0.8817260855701928, 0.8802558637143298, 0.8796614696272055, 0.877312344224663, 0.8794874318587029, 0.8782448175704841, 0.8761420107180609, 0.8763088716713675, 0.8782724995719542, 0.8790927070229237, 0.8720337966480172]"
GIN-TNE,0,3,0.8907018041746121,random,"[0.7953433389115363, 0.8491453137402836, 0.8612414244184543, 0.87205527285071, 0.8738901808103607, 0.8697065285673333, 0.8744857755823736, 0.8777235136262356, 0.8793317747482305, 0.8708873689406899, 0.8854910836720098, 0.8800893340412166, 0.882122946077716, 0.8793348794994313, 0.8815040656716975, 0.8873368582608632, 0.8898801669528211, 0.8872789029051158, 0.8856188959297748, 0.8811563335372119, 0.8806999351106999, 0.8802632001084594, 0.8951458249893145, 0.8905720090120579, 0.8879376276182108, 0.892047800749487, 0.892588544916953, 0.8898374766238107, 0.8868313012736724, 0.8847081689108843, 0.8918897171675148, 0.8926956588333794, 0.8892010026276544]"
GIN-TNE,0,4,0.9038428537524873,random,"[0.7795993596361107, 0.8350665933975179, 0.8588544495655204, 0.8557169523845827, 0.8584327813794718, 0.8544426833025752, 0.8747108145051739, 0.8697002953000806, 0.8694792702308083, 0.8726106792960657, 0.870120904683402, 0.8769136535788062, 0.873409016552263, 0.8750885423780499, 0.8754551528222916, 0.8745525234974795, 0.8784182122539475, 0.8786119731529981, 0.8800752385217843, 0.880605169286674, 0.8842315686268281, 0.8764647212225359, 0.8783589193012326, 0.8785939735066381, 0.8780743660683372, 0.8822333431801987, 0.8822823128063249, 0.8718938698498513, 0.876191020717593, 0.8851061396793733, 0.8795580133896191, 0.8797877735813897, 0.8672478434835457, 0.879620747451197, 0.8765883364409194, 0.8763082831196141, 0.8801377078826804, 0.8741999421893711, 0.873905065629887, 0.8757950284976754]"
GIN-TNE,1,0,0.8901352453355433,random,"[0.8149341804212028, 0.8602858389468868, 0.8612733986740309, 0.8734220860070874, 0.8795847566750736, 0.87976247485873, 0.8855308665623771, 0.874189360320957, 0.8762517425959625, 0.8871164958656579, 0.8796730836765316, 0.8810219327650608, 0.8890203152103353, 0.8874698038714895, 0.8858304334408155, 0.8780262639806745, 0.8887952409837288, 0.8875506816077643, 0.8881359810150156, 0.8874932158477796, 0.8912476455001117, 0.8878114058891762, 0.886069342017048, 0.884708786940374, 0.8850094179995529, 0.8896817035405293, 0.8907336462024711, 0.8821433132203174, 0.8885004629186222, 0.8857431706200981, 0.8820781321499642]"
GIN-TNE,1,1,0.8954669304369076,random,"[0.8087289868762553, 0.8369844224951113, 0.8637383566124659, 0.8610293360887186, 0.8720799183982082, 0.8756826048987568, 0.8701570589931634, 0.879123779361309, 0.8768524207954137, 0.8806441324256051, 0.8799129974901947, 0.8778663291727427, 0.8816203376773448, 0.8864993259292547, 0.8776087760648331, 0.8863159053182806, 0.8867938179102075, 0.8843359817231552, 0.8949453355629128, 0.8865036566936806, 0.8756787836360282, 0.8899519641799927, 0.8895321347815408, 0.8925677458931613, 0.890134620538421, 0.8933684278102331, 0.8802462116001308, 0.8880719029175087, 0.8884132690545992]"
GIN-TNE,1,2,0.883429424858685,random,"[0.7944946592990259, 0.856619292777762, 0.8779537918505169, 0.8800032707796721, 0.871672741720577, 0.8660516133225564, 0.8826387644000792, 0.886541160980018, 0.8683346070504172, 0.8854959791424896, 0.8838820800062062, 0.8888951788497967, 0.882474177089656, 0.8966459831785478, 0.8849613324653187, 0.8892804389554052, 0.8948035487959441, 0.8900834572979796, 0.8900357584277615, 0.8919059734710415, 0.8685791292807113, 0.890468193240179, 0.8926204081974964, 0.8850048380282649]"
GIN-TNE,1,3,0.8906396096306687,random,"[0.7961772827545779, 0.8547274886999985, 0.8677791833145643, 0.8811874900369725, 0.8838087304403272, 0.894942124451712, 0.8864626238629294, 0.8866055772385315, 0.8964529050902714, 0.8959242861330082, 0.8968200587240126, 0.8958198993155722, 0.897829474106413, 0.9013066349906669, 0.8995253742241693, 0.900548159346734, 0.8966652782705729, 0.9020080321285141, 0.9072998781296763, 0.8993083730568882, 0.90037075317917, 0.8959206865875795, 0.904046917503561, 0.900243483537222, 0.8976561817050532, 0.8928286770642109, 0.8959911348338295, 0.8955154806164479, 0.9027737068633046]"
GIN-TNE,1,4,0.8888640414488503,random,"[0.8048511911682942, 0.855456817110373, 0.870832919329504, 0.8713032981482931, 0.8774213938857096, 0.878704629584608, 0.8820136652974592, 0.8789123361866125, 0.8862470746665596, 0.890084097390613, 0.8778632328660552, 0.8852772486750116, 0.8844324166055351, 0.8904308035761476, 0.8883822773945453, 0.8822226931882805, 0.8938291584130159, 0.8869669128139646, 0.890589886749693, 0.8881433883764638, 0.8902061844772875, 0.890869735721096, 0.8872734518194676, 0.8749167588045401, 0.8943951985421428, 0.8801339998266469, 0.896018269724728, 0.892742001974534, 0.890032567126757, 0.8965843098538548, 0.8927932679806269, 0.8855880158047282, 0.8900777552042924, 0.8909934083543506, 0.887015007726897, 0.885776167332244, 0.8921807184851476, 0.8877459447003634, 0.8824195652219872, 0.8880234153518962]"
