model,fold,seed,test_auc,split
GIN-TFP,0,0,0.8432307068862482,scaffold
GIN-TFP,0,1,0.7710649887302781,scaffold
GIN-TFP,0,2,0.7681892581173156,scaffold
GIN-TFP,0,3,0.7744355721091039,scaffold
GIN-TFP,0,4,0.8053953161767837,scaffold
GIN-TFP,1,0,0.7957434206400182,scaffold
GIN-TFP,1,1,0.7842576775850676,scaffold
GIN-TFP,1,2,0.7852128767873499,scaffold
GIN-TFP,1,3,0.8245965562850633,scaffold
GIN-TFP,1,4,0.8222370366778986,scaffold
GIN-TFP,2,0,0.8821807910354624,scaffold
GIN-TFP,2,1,0.8354932376377071,scaffold
GIN-TFP,2,2,0.8262915050892397,scaffold
GIN-TFP,2,3,0.8012825878831114,scaffold
GIN-TFP,2,4,0.8116881419234361,scaffold
GIN-TFP,3,0,0.7630882965431071,scaffold
GIN-TFP,3,1,0.8391195206478564,scaffold
GIN-TFP,3,2,0.8261891399439081,scaffold
GIN-TFP,3,3,0.8489480315317542,scaffold
GIN-TFP,3,4,0.8655858524013611,scaffold
GIN-TFP,4,0,0.8194567512657147,scaffold
GIN-TFP,4,1,0.7379040495237679,scaffold
GIN-TFP,4,2,0.8541671786755272,scaffold
GIN-TFP,4,3,0.8582580040549335,scaffold
GIN-TFP,4,4,0.8014681917412294,scaffold
