model,fold,seed,test_auc,split
GIN,0,0,0.9104113040144586,random
GIN,0,1,0.9117260562246596,random
GIN,0,2,0.9004801285210946,random
GIN,0,3,0.9086059676672524,random
GIN,0,4,0.9197164702504534,random
GIN,1,0,0.9089658971375749,random
GIN,1,1,0.9132486771643504,random
GIN,1,2,0.9080589379064135,random
GIN,1,3,0.9057194047770836,random
GIN,1,4,0.8879730199965998,random
GIN,2,0,0.9093522222576396,random
GIN,2,1,0.9135528231119046,random
GIN,2,2,0.9162927929363762,random
GIN,2,3,0.9065461770580985,random
GIN,2,4,0.9077303872349016,random
GIN,3,0,0.9165607468443198,random
GIN,3,1,0.9205455236091632,random
GIN,3,2,0.9038178285307492,random
GIN,3,3,0.9191969550873391,random
GIN,3,4,0.9103543101066768,random
GIN,4,0,0.9104582377066598,random
GIN,4,1,0.9042340369862722,random
GIN,4,2,0.907448985826002,random
GIN,4,3,0.9131706484550979,random
GIN,4,4,0.910902171256747,random
