model,fold,seed,test_auc,test_ap,test_f1,test_bacc,split,curve
GIN,0,0,0.8489850634233836,0.9528745238052029,0.8894643146140152,0.7089534821091941,scaffold,"[0.7564211495408975, 0.8393353963206904, 0.8740545204568313, 0.8699755239933813, 0.8499992902566433, 0.8469618421693003, 0.8809390310178127, 0.8653647269718698, 0.8704500381233574, 0.8775718057493269, 0.8800614840530807, 0.8655287283832452, 0.8672541651795853, 0.8650387519872815, 0.8186656419324487, 0.8630240947730443, 0.8749756659420526]"
GIN,0,1,0.7750565670155329,0.946536753758984,0.9123962587274403,0.6732870459350375,scaffold,"[0.8063243213745419, 0.8631167909840662, 0.8762820389737827, 0.8814309116283675, 0.8723701084446565, 0.8845278145233578, 0.8717976184821791, 0.8903737303405532, 0.8865282450277252, 0.8889162305199299, 0.8973838269817095, 0.88936846222021, 0.9011904052097093, 0.8948652248475801, 0.9053582635111168, 0.8942465011414429, 0.8968320537786865, 0.8924658704020163, 0.8807614065972269, 0.9057518819407461, 0.8928779318004277, 0.8993301917967695, 0.9070196465619781, 0.9108982281612511, 0.8946052547807712, 0.9065931844893116, 0.911804712709075, 0.9005408590077987, 0.9096481485785777, 0.8994944100119551, 0.906466862785323, 0.9033553065726698, 0.9031329803736495, 0.9117531734538475, 0.9089154826954425, 0.911625335889411, 0.9147909577913711, 0.9060151363718588, 0.9113911354502157, 0.9164119178969559, 0.9104177003992777, 0.9146734786066615, 0.9166910888627713, 0.9137109072222666, 0.9054719530447068, 0.9160958609935758, 0.9144612581439603, 0.9115950186804536, 0.915254305801602, 0.9130648980280677]"
GIN,0,2,0.7969890754063416,0.9328638780652367,0.8557058619493583,0.6880083234999302,scaffold,"[0.8124698005449764, 0.8460221376857514, 0.8732910078894839, 0.8500760432178955, 0.8846717467760845, 0.8809755315104084, 0.8813624310858338, 0.8801720279775673, 0.8784496688951554, 0.8806012562973289, 0.8837207114793575, 0.8912351775133869, 0.8729573286651247, 0.878804636259941, 0.8781372778112226, 0.8937093049966731, 0.8936677188618865, 0.8948900541807927, 0.8968579694876588, 0.8799334027755774, 0.8932627491207501, 0.903582051424226, 0.8998922721079814, 0.8926993560089985, 0.8868126901080449, 0.8991150074458985, 0.901760925271696, 0.8945786532429263, 0.89519848468046, 0.8975726074110453, 0.9049108274452646, 0.9000061389056114, 0.9076906625265359, 0.8971530330154305, 0.9112893484046767, 0.8988726691961597, 0.9050348432400748, 0.9123695977630619, 0.9118220469883717, 0.9046110607236779, 0.912119090808276, 0.9041102943506227, 0.9005754728937612, 0.9015183394854409, 0.9069834506986469, 0.9097145210861506, 0.9088553218370775, 0.903887759022211]"
GIN,0,3,0.8034252788257366,0.9300800990467281,0.8696494911968987,0.6619304277580402,scaffold,"[0.8185768792428523, 0.878464397205292, 0.8830048065011645, 0.8906961993954711, 0.8969664535949656, 0.8858822654972498, 0.883450770526733, 0.8997049204697487, 0.8997621525196967, 0.9015593875427381, 0.9049036222189187, 0.9087257816758337, 0.9100341905752936, 0.9166532877458997, 0.9100678856350032, 0.9131212526633963, 0.9093870472226352, 0.9103751052970616, 0.9132565284178187, 0.9101922600465786, 0.9169010455378822, 0.9187081908726029, 0.9193860561914672, 0.9177030375105296, 0.9135525989792378, 0.922572716911947, 0.9180276002180268, 0.921733809028294, 0.921049254249046, 0.9262831376046776, 0.9210985580496506, 0.9078628412863585, 0.9190411773450275, 0.9193721817551161, 0.9263297160695703, 0.9196293543431941, 0.915838660125861, 0.9187535305485358, 0.9146256379763144, 0.9229904365492294, 0.922313562261533, 0.9217102720380556, 0.927203805559685, 0.9279634309499034, 0.9286883702492443, 0.9280323076160746, 0.9271002428026361, 0.9250227937168625, 0.9285347604182153, 0.920481888905406]"
GIN,0,4,0.7991300604485039,0.8840356864306372,0.8090872857712236,0.7257707410137226,scaffold,"[0.841203653178443, 0.8698110557354255, 0.8780188843214053, 0.8596585098685938, 0.8826621557713994, 0.8778587192452738, 0.871352581436615, 0.8825014854426619, 0.8976267274586601, 0.8955829806670144, 0.8912499343171612, 0.8862863327149041, 0.9041712644653821, 0.8985149615401715, 0.8971169275791124, 0.8970833282808074, 0.903741294497597, 0.8950893488708616, 0.8980395188378382, 0.9089342807830203, 0.9084232177719573, 0.9070491833096874, 0.8960397290229223, 0.8945353393882807, 0.8846157149728578, 0.9036190233669226, 0.9069031653065267, 0.9127360540175666, 0.9034553215225483, 0.913488627774342, 0.9106425398442206, 0.9028055666711129, 0.9102330326069822, 0.9087054013524601, 0.905878007768764, 0.9106425398442205, 0.9103747559629911, 0.9063269247092777, 0.8990485082922057, 0.9134550284760369]"
GIN,1,0,0.8112347072728179,0.8698183065811951,0.8129277566539924,0.7155466237594428,scaffold,"[0.7614299193686738, 0.8432496050869701, 0.8565429680972656, 0.8815255339959406, 0.8811150249647419, 0.8815372309968295, 0.8773903656816678, 0.8802199258967143, 0.8703429226460622, 0.8900827256462871, 0.8955246160598707, 0.8976662812226374, 0.8887097205419389, 0.8868097933975443, 0.9033231736525612, 0.8965478251376346, 0.8914613007510589, 0.8972061991876712, 0.8850970182673734, 0.8944451499778313, 0.9094384771173243, 0.9039503557002271, 0.8991763083373995, 0.9025517285939315, 0.9055896068248102, 0.9120352113146761, 0.9009670634734968, 0.8648890567315681, 0.9121399273226345, 0.9006086339462562, 0.9051618307922991, 0.9086904260604722, 0.8994681763595813, 0.913330236413098, 0.9094122981153346, 0.9121605363242008, 0.9103068401833199, 0.9106661052106241, 0.9152864205617679, 0.9131946069027902, 0.91402815746614, 0.9130506223918473, 0.9056219128272653, 0.9156295325878445, 0.9164371826492259, 0.9213761020245838, 0.9132455724066636, 0.9187153128223637, 0.9205325254604719, 0.9115990802815299]"
GIN,1,1,0.7996166575922439,0.9183664558767463,0.8450752393980848,0.6741596461113675,scaffold,"[0.8201338940955825, 0.860235929145914, 0.8685997357636618, 0.8753377623864146, 0.885408072931382, 0.8816581771997944, 0.8815134122813391, 0.8827514483218839, 0.883976299453499, 0.8899043959562691, 0.8991515914723238, 0.8836119654393939, 0.8922841374782382, 0.8967352551010799, 0.8970651469041027, 0.9015211079628778, 0.9005992406568775, 0.9083229064920877, 0.896545822940127, 0.8998102987592731, 0.8921132718216971, 0.9038260453076523, 0.9012514900292491, 0.8976926409372588, 0.9049914298091957, 0.9071098948705323, 0.8973406845927612, 0.9049717869856877]"
GIN,1,2,0.7222282897780743,0.7951121438437336,0.7387270765911542,0.6460715286149081,scaffold,"[0.844478329968644, 0.8637692753747691, 0.8866339504316826, 0.8859112581074696, 0.8906393625703364, 0.8774059318757785, 0.8962533825866585, 0.8828717623813411, 0.8895150551952236, 0.9001073837034492, 0.9019581418323955, 0.9014502169150809, 0.9025100940681242, 0.9028789570894722, 0.9003200034362786, 0.909472853399768, 0.902444053090503, 0.9036977578282719, 0.9001809415403119, 0.9001777200292083, 0.9070105450796786, 0.9076293436708046, 0.9099845367467032, 0.9150444568532279, 0.913450345775525, 0.9116124736909927, 0.9111142133069885, 0.9133526266053864, 0.9174358919290408, 0.908417003135604, 0.9161177569692023, 0.9141204200850479, 0.9172248829517633, 0.9141220308405995, 0.9149550599201065, 0.921078078690778, 0.9183765731712555, 0.9161000386581332, 0.9193293350801083, 0.9157223164812507, 0.9230461535157426, 0.9153762724968857, 0.9194826253167818, 0.9213213027790903, 0.9138694106782356, 0.9250595979554143, 0.921065192646364, 0.9162922554873072, 0.9204751191959109, 0.9237903225806451]"
GIN,1,3,0.7963896825894444,0.9000709508215006,0.8375924680564896,0.6824725538845546,scaffold,"[0.8564974466932946, 0.8536715458997022, 0.8720667931601185, 0.8882327507498304, 0.8927920770882439, 0.8903814952953252, 0.8969544497639792, 0.89380479429772, 0.898015703938158, 0.8994733870510724, 0.902398723031813, 0.901218094160662, 0.8900514439353457, 0.9074182322680037, 0.9054237565616728, 0.8973587495618555, 0.8979438167580036, 0.9029927105349875, 0.9097590257765391, 0.907009997040557, 0.9128375811485578, 0.8961513597696251, 0.9115939854042787, 0.9108808855661037, 0.9123669037719256, 0.8928408764149183, 0.9145017431329376, 0.9089436047695307, 0.9126880348248787, 0.9044913221154349, 0.9158930486670962, 0.918711340963519, 0.9184363856175267, 0.8966797567799581, 0.9143262229740934, 0.9219850936422348, 0.915729859520906, 0.9095853421514941, 0.9154685469974246, 0.9198573380544497, 0.9178075039721603, 0.9125190737153185, 0.9201789938313453, 0.9134940108009177, 0.9199890437640758, 0.9179237303254758]"
GIN,1,4,0.8097310772264107,0.9150267331552115,0.8900523560209425,0.6823602256106922,scaffold,"[0.7945155060707026, 0.8567434370647642, 0.8705721421206034, 0.8501213941853971, 0.8567508876080576, 0.8749947846196944, 0.8807240040610429, 0.8578729394280764, 0.8910665999097988, 0.8927504226941562, 0.8943781180523684, 0.9008084336176461, 0.8951211855701852, 0.8890152169896229, 0.8917878125006209, 0.884288095621266, 0.8967424237908761, 0.885198552011746, 0.9043538988196352, 0.9014511671524421, 0.8986274112441612, 0.9103831268042731, 0.8952841041168722, 0.9031916140658311, 0.9065612464460909, 0.8940512875532216, 0.9013428859232415, 0.9043673097975637, 0.9096358373119235, 0.9131949618432842, 0.9040325320522371, 0.8994171688332846, 0.9079015991846124, 0.9088301852304403, 0.9135881021777441, 0.9021177424257777, 0.9009345961507513, 0.9114006226667383, 0.9135662472507495, 0.9148777912218693, 0.9114711544765843, 0.9113680886276895, 0.9148308527991195, 0.9163209614578429, 0.899753188335827, 0.911270486510543, 0.9066362485819132, 0.9108333879706508, 0.8982861763613135, 0.9145596530232317]"
