model,fold,seed,test_auc,test_ap,test_f1,test_bacc,split,curve
ChemBERTa,0,0,0.8086530578047482,0.9400838356030533,0.8902671755725191,0.67926264385357,scaffold,"[0.8929063179325784, 0.9062598857110412, 0.9180504972259175, 0.9186540325589694, 0.922267893643944, 0.9225163038188249, 0.9212800829791377, 0.9179744532948314, 0.9261922674475196, 0.9196443780214788]"
ChemBERTa,0,1,0.7826778257299111,0.9546663528901019,0.9036570979158475,0.6265447818566212,scaffold,"[0.8916121883264597, 0.9097115620739801, 0.9128572251467101, 0.9149349645339184, 0.9178542591131005, 0.9156466610141915, 0.911951245885702, 0.9162881226270468]"
ChemBERTa,0,2,0.7789884494520787,0.9222354753715234,0.8803278688524591,0.6537449405554921,scaffold,"[0.8871431513576882, 0.9055910577928457, 0.9104021775292291, 0.9127582300941035, 0.9151360658724377, 0.9175369225468141, 0.9220368888818478, 0.9200004059598872, 0.9190080320648902, 0.9181735864674757]"
ChemBERTa,0,3,0.7432190008467658,0.9068995028647422,0.8476472523856532,0.6408614945990995,scaffold,"[0.8885233635597838, 0.9115881274466082, 0.9162093057826669, 0.9213421039591696, 0.9231309152172835, 0.924743570685298, 0.9257459987116593, 0.9269265645904564, 0.9246955056736534, 0.9242267479312224]"
ChemBERTa,0,4,0.774549863238971,0.8790534989842835,0.8299617277200656,0.680626370675957,scaffold,"[0.892009834236725, 0.9018511444982032, 0.9167626646618243, 0.9194874919664836, 0.9195208386384858, 0.9225584173063164, 0.9203148431089607, 0.9214066939907275, 0.920892599464028]"
ChemBERTa,1,0,0.7749060323145031,0.8557853295694897,0.7844044863806302,0.6309484031981453,scaffold,"[0.8808507284446554, 0.8972819511934282, 0.9048554807690165, 0.9072082489478269, 0.9104171261917016, 0.9089299360786751, 0.908822435070505, 0.9110036472362772, 0.9116288797837949, 0.9071717654450542]"
ChemBERTa,1,1,0.8198358222188973,0.9210084750097947,0.8713488677387594,0.675773992842982,scaffold,"[0.8843287939575446, 0.9031065259917609, 0.9045509462190254, 0.9076389057063747, 0.9115610124933738, 0.9078283378673275, 0.9097802425485083, 0.9086522601355623]"
ChemBERTa,1,2,0.7427231295578798,0.827767356129081,0.7958135109419601,0.6416747188553408,scaffold,"[0.9000773162664835, 0.9116113998539582, 0.9232947467892272, 0.9228759503457755, 0.9247922125338259, 0.9217978179631459, 0.9270483441432928, 0.9224077573987371, 0.9216694944375241, 0.9241844207723036]"
ChemBERTa,1,3,0.7965852464253618,0.9011222324867983,0.8386328855636797,0.6961120117995157,scaffold,"[0.902140558851988, 0.9120819786710213, 0.9161480645032648, 0.9156338350393858, 0.9153263468089438, 0.920204442942568, 0.9207157864247619, 0.9206575420671186, 0.9223639443288887, 0.9234889524621097]"
ChemBERTa,1,4,0.8139000670690811,0.9285073005873656,0.8960619754680439,0.6755668549449306,scaffold,"[0.8925954513936489, 0.9070867580997339, 0.9132036541437935, 0.915427392965495, 0.9181518082965276, 0.9154919643407063, 0.9106044079400937, 0.9156615883763578]"
