decile,auc_mean_seed_mean,auc_sd_seed_mean,n_seeds,n_mean_per_fold_seed,n_pos_mean_per_fold_seed,nn_tanimoto_mean,arm,split
1,0.7790247138449591,0.020469994504974158,5,401.04,227.12,0.30554252982139585,ECFP4-RF,scaffold
2,0.7926396301774614,0.007150943564254445,5,400.44,268.92,0.3482418775558472,ECFP4-RF,scaffold
3,0.8229218633106262,0.008510643638854239,5,397.0,281.08,0.3732073616981506,ECFP4-RF,scaffold
4,0.8211773483846002,0.011286686486103072,5,394.64,293.64,0.3949551856517792,ECFP4-RF,scaffold
5,0.8128001814143963,0.013757351387929306,5,400.52,307.56,0.41602646589279174,ECFP4-RF,scaffold
6,0.809827018874727,0.009809154096162188,5,395.92,315.44,0.4374446058273315,ECFP4-RF,scaffold
7,0.8001199100946572,0.015202202128448333,5,398.52,318.44,0.4606346356868744,ECFP4-RF,scaffold
8,0.8096131048501801,0.022900777412770853,5,398.68,320.32,0.4901360476016998,ECFP4-RF,scaffold
9,0.8466008253022675,0.020866511645159208,5,386.88,303.12,0.5333315193653106,ECFP4-RF,scaffold
10,0.8900811244565663,0.020293352809930394,5,393.56,308.56,0.6308315086364746,ECFP4-RF,scaffold
