decile,auc_mean_seed_mean,auc_sd_seed_mean,n_seeds,n_mean_per_fold_seed,n_pos_mean_per_fold_seed,nn_tanimoto_mean,arm,split
1,0.7259637022733758,0.023985620919452326,5,401.04,227.12,0.30554252982139585,GIN,scaffold
2,0.7646116987945175,0.014567480400353319,5,400.44,268.92,0.3482418775558472,GIN,scaffold
3,0.7955089733019471,0.021148477083376405,5,397.0,281.08,0.3732073616981506,GIN,scaffold
4,0.8000592879314731,0.014482810868774246,5,394.64,293.64,0.3949551856517792,GIN,scaffold
5,0.8035232512107587,0.013371919298597145,5,400.52,307.56,0.41602646589279174,GIN,scaffold
6,0.8041190236244422,0.015216196675806218,5,395.92,315.44,0.4374446058273315,GIN,scaffold
7,0.7925143713773729,0.02435288314706717,5,398.52,318.44,0.4606346356868744,GIN,scaffold
8,0.8037174954850078,0.02091808371976277,5,398.68,320.32,0.4901360476016998,GIN,scaffold
9,0.8140607101240598,0.02919103632490587,5,386.88,303.12,0.5333315193653106,GIN,scaffold
10,0.8804550754950254,0.019096528157397485,5,393.56,308.56,0.6308315086364746,GIN,scaffold
