decile,auc_mean_seed_mean,auc_sd_seed_mean,n_seeds,n_mean_per_fold_seed,n_pos_mean_per_fold_seed,nn_tanimoto_mean,arm,split
1,0.7434761055655039,0.023447426304506695,5,401.04,227.12,0.30554252982139585,GIN-TNE,scaffold
2,0.7762662666659561,0.02007738246545089,5,400.44,268.92,0.3482418775558472,GIN-TNE,scaffold
3,0.8003697526068294,0.024752162587717674,5,397.0,281.08,0.3732073616981506,GIN-TNE,scaffold
4,0.7940981933119702,0.019351449188154,5,394.64,293.64,0.3949551856517792,GIN-TNE,scaffold
5,0.7941217921565382,0.013991323859805511,5,400.52,307.56,0.41602646589279174,GIN-TNE,scaffold
6,0.8056391181317044,0.025744692913676395,5,395.92,315.44,0.4374446058273315,GIN-TNE,scaffold
7,0.7907251049610868,0.027650175365757437,5,398.52,318.44,0.4606346356868744,GIN-TNE,scaffold
8,0.7935498468403915,0.03135840708077645,5,398.68,320.32,0.4901360476016998,GIN-TNE,scaffold
9,0.8188970524086902,0.03523619918611127,5,386.88,303.12,0.5333315193653106,GIN-TNE,scaffold
10,0.8830388573027571,0.021525202044765063,5,393.56,308.56,0.6308315086364746,GIN-TNE,scaffold
