split,arm,decile,auc_mean_seed_mean,auc_sd_seed_mean,n_seeds,n_mean_per_fold_seed,n_pos_mean_per_fold_seed,nn_tanimoto_mean
random,ECFP4-RF,1,0.867544821980853,0.004346503625976812,5,407.6,303.88,0.5632736206054687
random,ECFP4-RF,2,0.9014819692683517,0.00729076440139476,5,393.12,292.6,0.6980391383171082
random,ECFP4-RF,3,0.9123611048576746,0.0011788354540957253,5,397.04,293.96,0.7422679376602173
random,ECFP4-RF,4,0.9299026799887786,0.0053385978493743986,5,398.52,298.12,0.7709418702125549
random,ECFP4-RF,5,0.9302852197635488,0.003683792247172016,5,399.84,295.28,0.7950026965141297
random,ECFP4-RF,6,0.9493287973031672,0.002352226385127501,5,394.8,291.12,0.8172675728797912
random,ECFP4-RF,7,0.941202112755658,0.0026335888145473905,5,388.68,291.92,0.8447693324089051
random,ECFP4-RF,8,0.9896841083527914,0.0006303458978071635,5,1187.6,877.32,0.9786483836174011
random,GIN,1,0.8427995673396704,0.004340565432228398,5,407.6,303.88,0.5632736206054687
random,GIN,2,0.8826701710915499,0.009461819448308803,5,393.12,292.6,0.6980391383171082
random,GIN,3,0.8963928421691183,0.004005843469138238,5,397.04,293.96,0.7422679376602173
random,GIN,4,0.9114483323634011,0.005027188943624036,5,398.52,298.12,0.7709418702125549
random,GIN,5,0.9150606618670096,0.006519432649091959,5,399.84,295.28,0.7950026965141297
random,GIN,6,0.9271366719676835,0.0033439288926616862,5,394.8,291.12,0.8172675728797912
random,GIN,7,0.9182382698854692,0.005500581740612751,5,388.68,291.92,0.8447693324089051
random,GIN,8,0.9357399221064174,0.0030720380209956306,5,1187.6,877.32,0.9786483836174011
random,GIN-TFP,1,0.8403817368879312,0.00248768353565574,5,407.6,303.88,0.5632736206054687
random,GIN-TFP,2,0.8802006707290134,0.008390944471056367,5,393.12,292.6,0.6980391383171082
random,GIN-TFP,3,0.8980459310595341,0.006162886248983243,5,397.04,293.96,0.7422679376602173
random,GIN-TFP,4,0.909314940206192,0.003421719836100856,5,398.52,298.12,0.7709418702125549
random,GIN-TFP,5,0.9105987304417524,0.0034805362208850843,5,399.84,295.28,0.7950026965141297
random,GIN-TFP,6,0.9251428440115911,0.005593445405945797,5,394.8,291.12,0.8172675728797912
random,GIN-TFP,7,0.9165407443418992,0.003919776969121939,5,388.68,291.92,0.8447693324089051
random,GIN-TFP,8,0.9339376443554244,0.003576505883799469,5,1187.6,877.32,0.9786483836174011
random,GIN-TNE,1,0.8354931128782022,0.006108687396716833,5,407.6,303.88,0.5632736206054687
random,GIN-TNE,2,0.867723611346325,0.005284680609429358,5,393.12,292.6,0.6980391383171082
random,GIN-TNE,3,0.8778554249501067,0.006308271379045105,5,397.04,293.96,0.7422679376602173
random,GIN-TNE,4,0.8938099112533997,0.0025975223574913643,5,398.52,298.12,0.7709418702125549
random,GIN-TNE,5,0.8961132175487776,0.004343486636293187,5,399.84,295.28,0.7950026965141297
random,GIN-TNE,6,0.9102240962429402,0.006227750775973654,5,394.8,291.12,0.8172675728797912
random,GIN-TNE,7,0.8958856757839879,0.004046897224282908,5,388.68,291.92,0.8447693324089051
random,GIN-TNE,8,0.9107350469775135,0.004904681288378459,5,1187.6,877.32,0.9786483836174011
random,ChemBERTa,1,0.8302854147371024,0.0070253364460153905,5,407.6,303.88,0.5632736206054687
random,ChemBERTa,2,0.8704947899116531,0.010746578553324554,5,393.12,292.6,0.6980391383171082
random,ChemBERTa,3,0.8891172007774746,0.0031847601199811075,5,397.04,293.96,0.7422679376602173
random,ChemBERTa,4,0.9007980238161462,0.0051288214443199484,5,398.52,298.12,0.7709418702125549
