features,split,seed,fold,n_train,n_test,mean_columnwise_log_loss,macro_auprc,macro_auroc,mean_brier,mean_ece,n_labels_with_test_variation
both,collision_group,0,0,2611,678,0.03120954540018134,0.06157173465561204,0.5617547306844065,0.0033120948111933454,0.0025324127454630506,135
both,collision_group,0,1,2641,648,0.030638388527466493,0.08959539772216862,0.577425925520056,0.003270610468196252,0.0027850170901753965,150
both,collision_group,0,2,2632,657,0.030955867374847394,0.08127699631844518,0.5819390041304338,0.0034488766331937535,0.003075687566067198,139
both,collision_group,0,3,2627,662,0.0290730899064996,0.09032457077747653,0.5984263140465521,0.0032535699635370422,0.003186850295759638,150
both,collision_group,0,4,2645,644,0.03316912640715869,0.0682537587335789,0.5695307489035415,0.0034803316962881583,0.0028857995756196102,156
both,collision_group,1,0,2631,658,0.029796659907641455,0.0847643840969319,0.5930039647519584,0.0032599038833373874,0.0027938376779197533,146
both,collision_group,1,1,2629,660,0.030935095168298517,0.08896074920680808,0.5789376474449672,0.0034970075873683127,0.0029883488947729723,140
both,collision_group,1,2,2644,645,0.03142900584759239,0.08316356359345858,0.5762250706711611,0.003277234674500085,0.0027310125578886633,153
both,collision_group,1,3,2650,639,0.029842865586406864,0.10257912645736629,0.5804340748626327,0.0032554890983983904,0.002773598734116312,142
both,collision_group,1,4,2602,687,0.031088270897208933,0.07747617159714451,0.5899187321025682,0.00344490722636569,0.002919355459221888,148
both,collision_group,2,0,2619,670,0.03235720521459862,0.08546028862805141,0.5682756946897262,0.003501075958079631,0.0030781813568081925,145
both,collision_group,2,1,2637,652,0.029898037874633316,0.08468271900057586,0.5777169365669028,0.0032668713827236663,0.0027444036507038336,143
both,collision_group,2,2,2567,722,0.028897518007174265,0.08728542745592988,0.5889423769534818,0.0032663660246528207,0.0027784054482783353,149
both,collision_group,2,3,2634,655,0.032268559359763346,0.07415083455102162,0.5882001703970078,0.0034736205028183483,0.002434214173769114,156
both,collision_group,2,4,2699,590,0.029630029683790297,0.06918029952900687,0.57151249773629,0.0032096897096582115,0.002695758698370907,143
both,collision_group,3,0,2609,680,0.029703488308634,0.10114648446557867,0.6122169093111548,0.003395177575676956,0.0032495745171806593,142
both,collision_group,3,1,2670,619,0.030271557165575533,0.08898663267593483,0.5992100988313099,0.0033577859689542062,0.003176221083175181,142
both,collision_group,3,2,2608,681,0.031021783129542218,0.06922268164261647,0.5770982677918105,0.0033010474064948283,0.0024447617825965056,148
both,collision_group,3,3,2647,642,0.02991314831144905,0.09847055127015963,0.5918791038328443,0.0033560424852279577,0.0026825237067618387,148
both,collision_group,3,4,2622,667,0.0293802311757708,0.06732026029861012,0.5847137396377878,0.003313074592806727,0.002824799184873583,145
both,collision_group,4,0,2632,657,0.030470599089387516,0.08037437950098549,0.582040259097243,0.003462405751690219,0.0030178894669306896,149
both,collision_group,4,1,2632,657,0.028727160830956007,0.0769535304455251,0.5853543763030132,0.0032836580941512095,0.0024492522109421564,136
both,collision_group,4,2,2670,619,0.030702742868444818,0.07744929807974602,0.5821809931348355,0.0032978721912948115,0.003223694199329747,151
both,collision_group,4,3,2605,684,0.031643920767714655,0.07292328794824203,0.5752055036689769,0.0034330877194620533,0.0024708706220783892,148
both,collision_group,4,4,2617,672,0.02986926896154979,0.09247134447432659,0.588498904041854,0.0032293543654065664,0.0028853636618219295,150
