features,split,seed,fold,n_train,n_test,mean_columnwise_log_loss,macro_auprc,macro_auroc,mean_brier,mean_ece,n_labels_with_test_variation
both,scaffold,0,0,2458,831,0.023799207340571213,0.09726221650975757,0.6075276279822487,0.0036534024555661083,0.003430718099450024,155
both,scaffold,0,1,2714,575,0.025832216966716566,0.12397185959436238,0.6572404066317542,0.004212395146014702,0.004485798605550903,141
both,scaffold,0,2,2719,570,0.025165094490377092,0.10627654226027074,0.6308811018743262,0.004082849182219944,0.004172302972172538,142
both,scaffold,0,3,2634,655,0.02635493085178672,0.09199216131182095,0.5868221066430778,0.004240878480690255,0.004542813214376897,147
both,scaffold,0,4,2631,658,0.023735587991440855,0.11070035498033491,0.6566500790837467,0.003840607222473365,0.004211008884630144,141
both,scaffold,1,0,2646,643,0.026986421524611885,0.11108863548769596,0.6216752614032096,0.004244907053117319,0.0043520672724132224,143
both,scaffold,1,1,2682,607,0.024549559947390304,0.11557849629236965,0.6308642748349748,0.0038866317267918712,0.004285480067126651,137
both,scaffold,1,2,2504,785,0.024127626434639782,0.09195339614220166,0.6101902942254133,0.0037662157973828454,0.0036863405047633385,157
both,scaffold,1,3,2690,599,0.02572386950749957,0.07735830872345568,0.6088660154271128,0.004095007530528828,0.004126031699699971,147
both,scaffold,1,4,2634,655,0.024388337370219698,0.09548542923101003,0.622091877504741,0.0038800487169913245,0.004135102188199207,145
both,scaffold,2,0,2417,872,0.02457603542362525,0.11760214437172942,0.6233994213285113,0.0038964071806441517,0.0038135246121670224,164
both,scaffold,2,1,2733,556,0.024789691513837444,0.12427849690662815,0.5984922948792357,0.003926576600125323,0.0041112819793305815,136
both,scaffold,2,2,2739,550,0.025013507000063877,0.10796779138227085,0.6568029153718539,0.004174614277588192,0.004544017218469435,138
both,scaffold,2,3,2603,686,0.025717608165059927,0.11799692836139279,0.6180764900943984,0.004208831713060256,0.00440717259580358,151
both,scaffold,2,4,2664,625,0.023960024048290892,0.10292548465449318,0.6307742638532259,0.0037325144291460136,0.004030397600937786,143
both,scaffold,3,0,2653,636,0.025234603035135136,0.12368092279308426,0.6309100182481427,0.004025542355608128,0.004134540389455596,153
both,scaffold,3,1,2673,616,0.02532145892507877,0.10547168835007698,0.6183071408324412,0.0040019314560296735,0.004109060796574638,144
both,scaffold,3,2,2694,595,0.025208637316930422,0.10114018120808257,0.6055463265960447,0.0041141552000279495,0.004468417962223003,140
both,scaffold,3,3,2396,893,0.023452016219674358,0.1068971657746021,0.6163691453566453,0.0035875384901876716,0.003538256787462248,160
both,scaffold,3,4,2740,549,0.02487660526447978,0.12595553997152312,0.6614438027252566,0.004110336815141186,0.004673364551205804,128
both,scaffold,4,0,2752,537,0.024483190449926154,0.11251831275702683,0.6644518641263303,0.003977442958026295,0.004479563570721514,134
both,scaffold,4,1,2569,720,0.024982333213219524,0.11672609905858113,0.636846333428675,0.004046603906766165,0.004291742772527484,152
both,scaffold,4,2,2437,852,0.023935028112508073,0.09034049630343892,0.6307233890880868,0.003752683952002283,0.003715956384199932,160
both,scaffold,4,3,2684,605,0.024471374261797487,0.10190872524744116,0.625197257945587,0.0039105138856927076,0.004148601123913613,143
both,scaffold,4,4,2714,575,0.025152959415708213,0.09324295212418535,0.6115429215789085,0.0039586887673031465,0.003821885330008092,138
