features,split,seed,fold,n_train,n_val,n_test,best_val_log_loss,mean_columnwise_log_loss,macro_auprc,macro_auroc,mean_brier,mean_ece,n_labels_with_test_variation
chemberta,collision_group,0,0,2203,408,678,0.024750353637359387,0.02515673740920656,0.013364515441092555,0.5301105298966818,0.0033687881359848017,0.007435046239354973,135
chemberta,collision_group,0,1,2228,413,648,0.024911414081393517,0.02507156910808775,0.011223633943868503,0.5244934730994678,0.003351322582461453,0.007441895582161627,150
chemberta,collision_group,0,2,2219,413,657,0.02529776302952934,0.026075884130177567,0.011723120474063375,0.4968195513830285,0.0035801525246268603,0.0075736765317086846,139
chemberta,collision_group,0,3,2178,449,662,0.026258229825067,0.02484064991133812,0.011493224782213162,0.49805955083772063,0.0032784518059874317,0.007511878678105247,150
chemberta,collision_group,0,4,2197,448,644,0.0255233083706964,0.026099016964525996,0.013666903704174605,0.5063756481943477,0.0035511120394341594,0.007263811904658918,156
chemberta,collision_group,1,0,2184,447,658,0.02529236061489481,0.024917909192843635,0.017714333711815775,0.4936544152892416,0.003337020086742219,0.007282664285737513,146
chemberta,collision_group,1,1,2183,446,660,0.0247435471228351,0.02596277411963827,0.01154558557485789,0.5079501385718979,0.0035701966512577694,0.007172600398109757,140
chemberta,collision_group,1,2,2232,412,645,0.02621228541970904,0.02472463225520858,0.013730385521751515,0.5012693404435044,0.0033183329382225264,0.006992670439699315,153
chemberta,collision_group,1,3,2222,428,639,0.026041374806296622,0.02485305421705385,0.013079800993409134,0.49877578250889953,0.0033485275343991816,0.0072462491000640184,142
chemberta,collision_group,1,4,2198,404,687,0.02436135640792838,0.025695774333497273,0.0119036350571537,0.4894175396050956,0.0035231499120783657,0.007198692894866093,148
chemberta,collision_group,2,0,2143,476,670,0.025434206635465178,0.026690867727224545,0.015138872746431626,0.5395256127705415,0.0035901943934219973,0.008033119033707108,145
chemberta,collision_group,2,1,2206,431,652,0.026026571022563623,0.02531272839998953,0.013467020974137545,0.5101671583178576,0.0033324553957039455,0.007768451318065362,143
chemberta,collision_group,2,2,2107,460,722,0.02486380480356442,0.026104565020379365,0.012263531414220864,0.5045153373056449,0.003423815564673029,0.008439354116461377,149
chemberta,collision_group,2,3,2201,433,655,0.025719351847249182,0.026257124372296832,0.013299965465715312,0.4844731745639423,0.003554687158417808,0.007478887567524123,156
chemberta,collision_group,2,4,2232,467,590,0.023549536758473197,0.02475562770353648,0.01309088747318085,0.5295427616111326,0.0032475801173011826,0.007813668807425058,143
chemberta,collision_group,3,0,2197,412,680,0.02634300257178765,0.026117697529928777,0.016563533724615737,0.49954910716956163,0.0035508257210627226,0.007480802718626558,142
chemberta,collision_group,3,1,2228,442,619,0.025908224533302982,0.025366905016499092,0.0124631369360364,0.4507317768827638,0.0033987459552821024,0.00735422770001063,142
chemberta,collision_group,3,2,2182,426,681,0.025512303496955088,0.025377259521916943,0.012072575995625372,0.48811701199889396,0.003385514050756524,0.007569152242292882,148
chemberta,collision_group,3,3,2197,450,642,0.025541043094386463,0.025546029971876334,0.015562115034304951,0.5173765395964939,0.0034154377259803317,0.007703460032881223,148
chemberta,collision_group,3,4,2199,423,667,0.025451012093628062,0.02530478956675139,0.009438762689982722,0.47601555667359635,0.0033815327758188202,0.007742509204312663,145
chemberta,collision_group,4,0,2173,459,657,0.025797566701884118,0.025655278468106703,0.013482300238014609,0.5238787182254027,0.003467076653339849,0.007541043225474639,149
chemberta,collision_group,4,1,2152,480,657,0.025006056693156514,0.025556913907051955,0.011959264755085634,0.5040838159213292,0.0034263470061242753,0.007539181479718969,136
chemberta,collision_group,4,2,2247,423,619,0.024915147617965646,0.024903008431756815,0.013875194737937843,0.4795223566217451,0.0033615055736995643,0.007059810842150783,151
chemberta,collision_group,4,3,2184,421,684,0.025774759735496155,0.025978208144276756,0.013728168069901087,0.48691246901393437,0.003561044954755205,0.007276185550902237,148
chemberta,collision_group,4,4,2205,412,672,0.025235685702973923,0.02495652595218452,0.01231535613276411,0.49283670993046125,0.003303958712660584,0.007479209457388491,150
