features,split,seed,fold,n_train,n_val,n_test,best_val_log_loss,mean_columnwise_log_loss,macro_auprc,macro_auroc,mean_brier,mean_ece,n_labels_with_test_variation
chemberta,scaffold,0,0,2079,379,831,0.026702216220567527,0.02588984804246032,0.00941611114635834,0.5204310834467758,0.003389687773007114,0.008183387656412945,155
chemberta,scaffold,0,1,2256,458,575,0.025731885758255725,0.02527376299145297,0.01276530019249216,0.49702676232646137,0.0034222148605144824,0.0070691907938582365,141
chemberta,scaffold,0,2,2298,421,570,0.02438326988785157,0.026065818845628967,0.011186293092596817,0.4953573566549368,0.003622579432064492,0.007006043856335337,142
chemberta,scaffold,0,3,2185,449,655,0.025477027504713933,0.02528434121547249,0.012226694452490862,0.5038365754722317,0.0033771122849006116,0.007475364277640964,147
chemberta,scaffold,0,4,2210,421,658,0.024626376869120788,0.02501132526181783,0.01142132699755537,0.5142722772480645,0.0033578058891648257,0.007597499871044128,141
chemberta,scaffold,1,0,2193,453,643,0.02433640648638016,0.026581125598382747,0.014814819146656229,0.4948287149127711,0.0036797414881821347,0.007324882948022141,143
chemberta,scaffold,1,1,2224,458,607,0.024793713850882446,0.02472616076803974,0.013046924406768187,0.5120865781336819,0.0033044968648522346,0.007270933438171092,137
chemberta,scaffold,1,2,2089,415,785,0.02615197478947275,0.02524733732147052,0.014344794785112611,0.5109269170122477,0.0033141211501572895,0.007838618987413884,157
chemberta,scaffold,1,3,2200,490,599,0.02442688675081918,0.02562827126403312,0.014094086525405936,0.5124765509082847,0.003516375296491337,0.00733300993560741,147
chemberta,scaffold,1,4,2174,460,655,0.02583775749809823,0.024998444182237664,0.011552086342443731,0.49315446051654116,0.00333819334734021,0.007614500498759989,145
chemberta,scaffold,2,0,1968,449,872,0.02664655578792891,0.026844646863060668,0.010930050601083945,0.4949872863924532,0.003440347494088024,0.009143387629389477,164
chemberta,scaffold,2,1,2279,454,556,0.02481698828921156,0.02529696341450281,0.012672102173639314,0.4897623346323495,0.0034242799862130974,0.007396218516894,136
chemberta,scaffold,2,2,2277,462,550,0.026484402834700004,0.02557860506535734,0.01633709205210075,0.5181450469452574,0.003463966804728558,0.007304784902268717,138
chemberta,scaffold,2,3,2185,418,686,0.025344316980991405,0.025758987080161142,0.011631971757605051,0.5141881632222878,0.0034346877542720373,0.007838125761566504,151
chemberta,scaffold,2,4,2206,458,625,0.024889862004360094,0.02563531180274067,0.019842849825652792,0.5176387885053635,0.003416410678211338,0.00800854302234586,143
chemberta,scaffold,3,0,2212,441,636,0.025100021724797136,0.026078073445761813,0.011635370461060893,0.47742994364567476,0.003549355990525354,0.00732329784952893,153
chemberta,scaffold,3,1,2218,455,616,0.02550557105874335,0.02589251346054297,0.01885293536243353,0.509011204801633,0.0035209188501486776,0.007340084879748713,144
chemberta,scaffold,3,2,2260,434,595,0.0253345438966401,0.02620110954203218,0.011881308952594774,0.45161036616595046,0.0036139052543466745,0.007533387618915629,140
chemberta,scaffold,3,3,2005,391,893,0.026817141889675874,0.025665596425894974,0.009713078503490319,0.5071188609539211,0.003243682164705126,0.009075380553423565,160
chemberta,scaffold,3,4,2287,453,549,0.02447430237458603,0.024599505773772602,0.012833883499497926,0.5060044569180497,0.0033001476635724685,0.007294461398006838,128
chemberta,scaffold,4,0,2245,507,537,0.02448380856042348,0.025146675576428766,0.012535468360579772,0.48085236286459193,0.003408922999140098,0.007080517125947336,134
chemberta,scaffold,4,1,2144,425,720,0.024911584187913866,0.025742005665325425,0.012902093008634841,0.5201378768925065,0.0034252190786186105,0.008018241329530522,152
chemberta,scaffold,4,2,2062,375,852,0.026231235865214208,0.025487266851643337,0.013761433829005226,0.49829624564352526,0.0033042029231580175,0.008201964396651506,160
chemberta,scaffold,4,3,2262,422,605,0.026121486651991467,0.02516805342606549,0.012650300902783936,0.5055273620478891,0.0034347286438381522,0.007058170237727532,143
chemberta,scaffold,4,4,2245,469,575,0.02544334220690924,0.025977466508601475,0.015597964992881344,0.5399572045434387,0.003623286234534196,0.006960328934048238,138
