features,split,seed,fold,n_train,n_val,n_test,best_val_log_loss,mean_columnwise_log_loss,macro_auprc,macro_auroc,mean_brier,mean_ece,n_labels_with_test_variation
gin-tfp,scaffold,0,0,2079,379,831,0.023167675792791165,0.02231719281051977,0.01658444212299414,0.5209363417419818,0.003326638848746379,0.0023001770361935864,155
gin-tfp,scaffold,0,1,2256,458,575,0.023708571422194104,0.023133682631842286,0.014466953396051788,0.522559142641555,0.0033862759611194846,0.002879984391750607,141
gin-tfp,scaffold,0,2,2298,421,570,0.022538880510730396,0.026309579028747976,0.013734157619942775,0.47288822420185667,0.0036592073549612004,0.0032063827424555543,142
gin-tfp,scaffold,0,3,2185,449,655,0.023349421830097375,0.02346689481790024,0.012003599045775921,0.5026336229383299,0.003358084696911355,0.003092333935077618,147
gin-tfp,scaffold,0,4,2210,421,658,0.02207065167615317,0.022677254361254208,0.016556532550638204,0.5093531625269376,0.0033304512875280494,0.003341064569988848,141
gin-tfp,scaffold,1,0,2193,453,643,0.022089964726564555,0.02513870546363692,0.012374480808411184,0.47295229284097934,0.0036654883663960365,0.0031134443603098054,143
gin-tfp,scaffold,1,1,2224,458,607,0.022807174894588014,0.023181274944681276,0.011171650123903799,0.48515443424396115,0.00327669663164829,0.0025552100168137284,137
gin-tfp,scaffold,1,2,2089,415,785,0.02390447724949641,0.022560579436085214,0.011018398134403107,0.509697225866656,0.0032698905982224196,0.0026327280693625413,157
gin-tfp,scaffold,1,3,2200,490,599,0.02192679287479214,0.024256787970390856,0.014061452886035646,0.5094401761212327,0.0035173504523132153,0.003047931435735178,147
gin-tfp,scaffold,1,4,2174,460,655,0.023656216196860504,0.022249162436160035,0.011748092376457091,0.5335584615451892,0.0032927140236366646,0.0024220909590090965,145
gin-tfp,scaffold,2,0,1968,449,872,0.02545256841276745,0.025026321693694273,0.01190334514624773,0.4973153789425706,0.00344051853186031,0.005606351681860054,164
gin-tfp,scaffold,2,1,2279,454,556,0.0238388601489347,0.02440906321241077,0.01409765071739905,0.5210725584670368,0.003424804551560529,0.003833508110245973,136
gin-tfp,scaffold,2,2,2277,462,550,0.02438655966956132,0.023756987530539193,0.019959599474358023,0.5039198271327946,0.003446599146159712,0.003504868503018806,138
gin-tfp,scaffold,2,3,2185,418,686,0.02294622086106067,0.024198730093047238,0.0117217110363131,0.4904761186416652,0.0034514806849224484,0.002896991528372032,151
gin-tfp,scaffold,2,4,2206,458,625,0.02259644696678858,0.02333205059912164,0.011535855943173787,0.48435149785952447,0.0033945105437807304,0.003075537701594888,143
gin-tfp,scaffold,3,0,2212,441,636,0.022396259021140563,0.023736831521868562,0.014685099075413896,0.49807935090652666,0.0035099217095648783,0.0025773085806400616,153
gin-tfp,scaffold,3,1,2218,455,616,0.02267147083732851,0.024652780859857726,0.010419926414879028,0.4953220254315819,0.003586931106149421,0.0037729148354318856,144
gin-tfp,scaffold,3,2,2260,434,595,0.023838796030088028,0.025809236491343132,0.013729211990086707,0.4820332461670984,0.0037021464721547796,0.004661132646309335,140
gin-tfp,scaffold,3,3,2005,391,893,0.02393299064969698,0.022827758722784884,0.008858315044336786,0.5098732291312378,0.0031894819170066487,0.003722307709540323,160
gin-tfp,scaffold,3,4,2287,453,549,0.02204871676168269,0.02238625616006987,0.011508729381113995,0.5009913112648582,0.003267965472212125,0.0027672087511525414,128
gin-tfp,scaffold,4,0,2245,507,537,0.022622711998320104,0.02411384554918928,0.013371057114328483,0.48082480095518065,0.0034358746138202405,0.003720986003147885,134
gin-tfp,scaffold,4,1,2144,425,720,0.021842538181339726,0.022649245959417263,0.014302380172892116,0.5143691022442448,0.0033824562322753056,0.002893667593821904,152
gin-tfp,scaffold,4,2,2062,375,852,0.023068207754635986,0.0220195471362247,0.009384123789256049,0.5176958657662375,0.0032473366735740077,0.002392266894129666,160
gin-tfp,scaffold,4,3,2262,422,605,0.024472718823303298,0.023425671104703425,0.010965344134189528,0.498952171035708,0.0034086260891708483,0.002639996692455539,143
gin-tfp,scaffold,4,4,2245,469,575,0.024448239845811452,0.025570437487314267,0.014892485919008103,0.4848218624953466,0.0036971206843623558,0.004475732114959749,138
