features,split,seed,fold,n_train,n_val,n_test,best_val_log_loss,mean_columnwise_log_loss,macro_auprc,macro_auroc,mean_brier,mean_ece,n_labels_with_test_variation
gin-tne,scaffold,0,0,2079,379,831,0.023847806763618244,0.02304675499569552,0.01229761071268033,0.5065859742976586,0.0033464132813023047,0.002880615503969013,155
gin-tne,scaffold,0,1,2256,458,575,0.023866567083123565,0.02346655922530454,0.012161255770460885,0.5145266558981217,0.0033869199573839897,0.0026314917292358233,141
gin-tne,scaffold,0,2,2298,421,570,0.022443806021293464,0.025143544370471275,0.015004247344435177,0.5251085397370053,0.003609440146563217,0.003089474379072314,142
gin-tne,scaffold,0,3,2185,449,655,0.023715510434873438,0.023650051548385325,0.011298590902339164,0.49941735738304116,0.0033353124864026,0.002411486688353337,147
gin-tne,scaffold,0,4,2210,421,658,0.022284962249879085,0.023499558974753667,0.01323031493883306,0.5276271028852306,0.003334507643350521,0.0030302810062222477,141
gin-tne,scaffold,1,0,2193,453,643,0.022671438680704033,0.025382097286072748,0.01650400482166088,0.49493969875449284,0.00364783626842545,0.0027881678798141094,143
gin-tne,scaffold,1,1,2224,458,607,0.024196346977599037,0.024179740221741457,0.01302348930250497,0.5047766604861791,0.0032847934011822396,0.0033260725682824743,137
gin-tne,scaffold,1,2,2089,415,785,0.024298514303914047,0.023151809645780515,0.01024163764140002,0.5089126109444181,0.0032740945938650873,0.0026731020400606316,157
gin-tne,scaffold,1,3,2200,490,599,0.02313113310803813,0.02580132076372076,0.01623934048900544,0.532103858563973,0.0035488023066277802,0.004293948716349377,147
gin-tne,scaffold,1,4,2174,460,655,0.024736084962869515,0.02365769375368808,0.014954572379612991,0.5032728061198353,0.0033342346330455168,0.0037245792620928192,145
gin-tne,scaffold,2,0,1968,449,872,0.023312320728736558,0.023227734564129913,0.012064441582240239,0.5112264306156395,0.003369061102585495,0.002407898970006235,164
gin-tne,scaffold,2,1,2279,454,556,0.02245530430046679,0.02367001380805306,0.01640846723313319,0.514004103055461,0.003393940399728838,0.002813175981676826,136
gin-tne,scaffold,2,2,2277,462,550,0.02456323644293255,0.024229275964051306,0.015884222051574717,0.5128340878737027,0.003434009759724715,0.002733832673037742,138
gin-tne,scaffold,2,3,2185,418,686,0.023150841667637843,0.023601412258870465,0.010396135788162543,0.511101380526601,0.0033972054181186182,0.002881943445689023,151
gin-tne,scaffold,2,4,2206,458,625,0.022685960108115907,0.023720913855426774,0.012850101444676885,0.4981660819634894,0.003382896465092962,0.0028647239727356915,143
gin-tne,scaffold,3,0,2212,441,636,0.02310621118833067,0.024269137449576112,0.011223477049532344,0.49829104845946626,0.003519905729077542,0.0029776712719832665,153
gin-tne,scaffold,3,1,2218,455,616,0.025062114482370286,0.02618304941830343,0.017295308007550567,0.48674894612590275,0.0034961734102920477,0.002911963607565937,144
gin-tne,scaffold,3,2,2260,434,595,0.025071280268111347,0.02701881372604917,0.01995054795395547,0.47766145518414344,0.0036187248927145774,0.003498150902860706,140
gin-tne,scaffold,3,3,2005,391,893,0.02480451608510706,0.023089850406180525,0.01077318610140019,0.5133751597287697,0.003205810968299454,0.0032973276773657673,160
gin-tne,scaffold,3,4,2287,453,549,0.023029700841062966,0.023255858192835183,0.022096258340177026,0.5187701440789558,0.003287145719983104,0.003016710210956107,128
gin-tne,scaffold,4,0,2245,507,537,0.02239248519554255,0.023631862533116006,0.012841699022514837,0.5100850283472481,0.003372179938580051,0.0027809661355917966,134
gin-tne,scaffold,4,1,2144,425,720,0.022741930668346257,0.02456767813108174,0.015597765694664511,0.510490817696233,0.003389062694460883,0.0034755345331098056,152
gin-tne,scaffold,4,2,2062,375,852,0.024441462437378117,0.023548040526593556,0.00993105747609939,0.48800466540978765,0.00327408567500684,0.0039388843745146365,160
gin-tne,scaffold,4,3,2262,422,605,0.02619421018685386,0.025366960217706062,0.010606528599294195,0.4931491143780883,0.0034579636439869238,0.004279883414799319,143
gin-tne,scaffold,4,4,2245,469,575,0.02491877927982872,0.026877343811736742,0.0170001067992647,0.4910829204532939,0.003720557484573044,0.004852340295338832,138
