features,split,seed,fold,n_train,n_val,n_test,best_val_log_loss,mean_columnwise_log_loss,macro_auprc,macro_auroc,mean_brier,mean_ece,n_labels_with_test_variation
gin,scaffold,0,0,2079,379,831,0.024556091388696532,0.024276127972079495,0.012622006131453133,0.48540306331774424,0.0034115951678279654,0.004844998804015392,155
gin,scaffold,0,1,2256,458,575,0.024367869785281566,0.02346151737491736,0.015089811972495407,0.4939584932614768,0.0034094549095667406,0.00332776451666567,141
gin,scaffold,0,2,2298,421,570,0.022595757581248373,0.025764361453396313,0.013220092705170751,0.4897622899799709,0.0036929978242607954,0.004682306403995672,142
gin,scaffold,0,3,2185,449,655,0.02415081771832068,0.024683128505520232,0.019365206899790068,0.5064134774887321,0.0034414841849283425,0.005121823530264899,147
gin,scaffold,0,4,2210,421,658,0.02388880710293837,0.024043631993089485,0.016184297610355655,0.5195098859417486,0.0033912166602145517,0.005304620591621142,141
gin,scaffold,1,0,2193,453,643,0.022821491537841705,0.02542223117101793,0.013142947744308199,0.48206456477823467,0.003744496743414309,0.0036848976356751266,143
gin,scaffold,1,1,2224,458,607,0.023790824328757173,0.025081068578004403,0.012276784861726332,0.4952696068560777,0.003493117149614105,0.005311301533586886,137
gin,scaffold,1,2,2089,415,785,0.02457755130209318,0.025000293793391835,0.010910207775760482,0.5274427986401988,0.003392531177666472,0.006334948865691028,157
gin,scaffold,1,3,2200,490,599,0.023494284383012255,0.024937209372580486,0.013734248321982617,0.5097613457769979,0.003565236669848532,0.004612747589411602,147
gin,scaffold,1,4,2174,460,655,0.02471685233227547,0.023264110576614594,0.020175614129121642,0.5097939240782511,0.0033330900729391572,0.0037959205976786834,145
gin,scaffold,2,0,1968,449,872,0.028846074243808546,0.027741158801555924,0.017430145264052118,0.5267673729736022,0.003535216914279922,0.00949305965092267,164
gin,scaffold,2,1,2279,454,556,0.024182493409630166,0.0238935249174936,0.016153551906224323,0.5074972015795249,0.0034369848710712266,0.0042651449021650885,136
gin,scaffold,2,2,2277,462,550,0.024638839389278907,0.024185917615999006,0.015123371260982071,0.5180315854383739,0.0034751255214677725,0.0041466995225750754,138
gin,scaffold,2,3,2185,418,686,0.023174010022787503,0.024022797258227195,0.015213455120927396,0.5193460970275181,0.003442404744313076,0.0040302462946722305,151
gin,scaffold,2,4,2206,458,625,0.02363228657762113,0.025230077927190703,0.011367464506623633,0.471108095605721,0.0034662332550441117,0.005652683878925096,143
gin,scaffold,3,0,2212,441,636,0.02291442528796536,0.02455523194975753,0.015847950166906332,0.5046542931357524,0.0035481246154764113,0.003915375541130643,153
gin,scaffold,3,1,2218,455,616,0.023575936474620356,0.023631249626791015,0.02363401225567436,0.5142373975493576,0.003500525885401746,0.0029850734709819565,144
gin,scaffold,3,2,2260,434,595,0.024435246392668596,0.02584665933018098,0.014700219143361348,0.49408550918294825,0.0036596247633161575,0.005497649906106957,140
gin,scaffold,3,3,2005,391,893,0.029024729482576395,0.02769844809962997,0.013911794918974632,0.5381256237311829,0.0034928824236894534,0.00989129299384582,160
gin,scaffold,3,4,2287,453,549,0.02342491759692581,0.02494725860311713,0.017064019262112713,0.546978608633532,0.003451147390558052,0.006365414524801806,128
gin,scaffold,4,0,2245,507,537,0.02208455765192641,0.024013732630054203,0.015011246086423029,0.5078286313706938,0.003454362356174032,0.003608722178259576,134
gin,scaffold,4,1,2144,425,720,0.023774697766322822,0.024320664184927506,0.013048660915007492,0.4918929569786006,0.0034397201385235727,0.004458620776845536,152
gin,scaffold,4,2,2062,375,852,0.02435407141738942,0.023510479659872872,0.015153058767683095,0.4869571818752142,0.0032911521806613343,0.0043967832838175324,160
gin,scaffold,4,3,2262,422,605,0.0247270507111838,0.02483711402311704,0.012119412870922445,0.5091293112303795,0.0035405910384371645,0.004416406285524378,143
gin,scaffold,4,4,2245,469,575,0.02359132220724471,0.024189010643382167,0.0147284793537617,0.5044146538240922,0.003629447695548328,0.003188498236682013,138
