features,split,seed,fold,n_train,n_test,mean_columnwise_log_loss,macro_auprc,macro_auroc,mean_brier,mean_ece,n_labels_with_test_variation
phenotype,kfold,0,0,2631,658,0.024192320766179172,0.132668544969214,0.6205209472487255,0.003763319790762676,0.0038702642943673113,149
phenotype,kfold,0,1,2631,658,0.023956710621344454,0.1411335950418488,0.6459582583256044,0.0037615120566533563,0.0036346084302829188,151
phenotype,kfold,0,2,2631,658,0.02358389835907632,0.1400755190235278,0.664494265818705,0.0037375585426031093,0.0036394208887788925,152
phenotype,kfold,0,3,2631,658,0.023784025179572024,0.1375805786972312,0.6436280667530594,0.003723761535319366,0.003891712396195233,152
phenotype,kfold,0,4,2632,657,0.022877222366762904,0.14069534914722892,0.6450446626575027,0.0035976910760957474,0.003561093604454512,146
phenotype,kfold,1,0,2631,658,0.023379685456821238,0.14028952508487583,0.6359136336236181,0.003733394156475563,0.0037459250659953643,152
phenotype,kfold,1,1,2631,658,0.02328952568572115,0.12968011362987564,0.6345158280325973,0.0036517347510698866,0.00382726301601553,145
phenotype,kfold,1,2,2631,658,0.02415528300762348,0.13771746406403007,0.6350118800893589,0.003807570798480317,0.003664730684638686,151
phenotype,kfold,1,3,2631,658,0.02364453782757207,0.1499327443341881,0.6514653751950146,0.0037381017115699364,0.0037732791719997188,148
phenotype,kfold,1,4,2632,657,0.023997816223741725,0.12936461095915508,0.6552418675216228,0.003765900535069274,0.003735841782274587,144
phenotype,kfold,2,0,2631,658,0.023197690950280285,0.1510860591120488,0.6566920723140879,0.003666610782823677,0.0035678093699760454,151
phenotype,kfold,2,1,2631,658,0.02535545348626346,0.1218651773369534,0.6420260419153739,0.004008494854484382,0.003929328640044048,150
phenotype,kfold,2,2,2631,658,0.022986511558960525,0.13257719100607196,0.6429027814871059,0.00356773225124801,0.0036077265569712394,147
phenotype,kfold,2,3,2631,658,0.023972081199603982,0.14249939821825092,0.64965238541128,0.0037475343512734026,0.0039815881224470875,143
phenotype,kfold,2,4,2632,657,0.02430927703547034,0.1414012036441881,0.6410778591741068,0.0037551372030701527,0.0036246182491661777,155
phenotype,kfold,3,0,2631,658,0.023549010225660107,0.18682272618944784,0.6523289575843645,0.003632183758368768,0.0037750404508386697,146
phenotype,kfold,3,1,2631,658,0.023834327129233456,0.1501127613886979,0.6492861038959102,0.003674826276956984,0.0038637776431570494,146
phenotype,kfold,3,2,2631,658,0.02279848901326582,0.17584240671581883,0.6499618130053912,0.003542303598816963,0.0035745942274408343,149
phenotype,kfold,3,3,2631,658,0.024791775163257992,0.12865255332888179,0.6078050138835811,0.003926660058192761,0.0038711619817515747,148
phenotype,kfold,3,4,2632,657,0.024828502058992626,0.11770552621057967,0.6396202841944444,0.003963141860890151,0.004030255856715525,152
phenotype,kfold,4,0,2631,658,0.02379235852058718,0.15547844744010328,0.6411214695278142,0.003746096743892981,0.0037297104204582427,143
phenotype,kfold,4,1,2631,658,0.024897408781379676,0.15388018540693904,0.637771151439481,0.003924355517486801,0.0038820866242674315,149
phenotype,kfold,4,2,2631,658,0.023182616251765664,0.14303096850735894,0.6557825758425416,0.0036527370046823084,0.003749865766941134,140
phenotype,kfold,4,3,2631,658,0.02242164649422907,0.14544441849632742,0.6560632652717392,0.0035972771535866172,0.0037403163725448535,145
phenotype,kfold,4,4,2632,657,0.023805812677900124,0.14342971758906922,0.6324164272798115,0.003700662787674838,0.0036058202803258997,150
