features,split,seed,fold,n_train,n_test,mean_columnwise_log_loss,macro_auprc,macro_auroc,mean_brier,mean_ece,n_labels_with_test_variation
phenotype,scaffold,0,0,2458,831,0.02292937226430823,0.12561717368498593,0.6275365007357363,0.003493216182735713,0.003301119689389746,155
phenotype,scaffold,0,1,2714,575,0.02586000107923523,0.1418311539133244,0.6436716157062934,0.004160263156682863,0.00451698970975369,141
phenotype,scaffold,0,2,2719,570,0.025093341904167527,0.12312036285658193,0.6451060987077006,0.0040518446379400105,0.00411122386415398,142
phenotype,scaffold,0,3,2634,655,0.024303746002507846,0.11885013883038348,0.6193013186348756,0.003770014246176807,0.0038007846169278185,147
phenotype,scaffold,0,4,2631,658,0.02312675661056518,0.12910835438146984,0.6721150507165342,0.0036542575066542066,0.003837386397722282,141
phenotype,scaffold,1,0,2646,643,0.025061900129586073,0.15232192783370366,0.6447549763646113,0.0039146019889495605,0.004158440358659474,143
phenotype,scaffold,1,1,2682,607,0.025127940037493607,0.137909038716825,0.6308876261520974,0.00389391977961256,0.004283581644553854,137
phenotype,scaffold,1,2,2504,785,0.02357863142977978,0.11274282132530114,0.6418649729282048,0.003635301436570005,0.0034623000393129858,157
phenotype,scaffold,1,3,2690,599,0.02424243693364039,0.0848400613613542,0.6181860538996695,0.003775182840990335,0.0036155113388305566,147
phenotype,scaffold,1,4,2634,655,0.02380387867259475,0.12394827659427302,0.6418712138237789,0.0037786306090324987,0.00394937383480432,145
phenotype,scaffold,2,0,2417,872,0.02349045380159033,0.1564462624664693,0.6315070613055659,0.0036691829129409177,0.0035362775291924967,164
phenotype,scaffold,2,1,2733,556,0.022916444897286035,0.14324334945421577,0.6207407474326987,0.0035165810705030704,0.003437368911491279,136
phenotype,scaffold,2,2,2739,550,0.024650789895673916,0.11907227670002944,0.6715054433817953,0.004084581534054005,0.004269903450383134,138
phenotype,scaffold,2,3,2603,686,0.025414617336471323,0.13115743106068314,0.6191812720013004,0.004156501937584614,0.004340192105049625,151
phenotype,scaffold,2,4,2664,625,0.023896348905332387,0.13652292633409227,0.6349121438613031,0.003706033163248846,0.003979532301471686,143
phenotype,scaffold,3,0,2653,636,0.024575530284860776,0.15443332022953352,0.6588799940071115,0.003896997739694179,0.003939308317391545,153
phenotype,scaffold,3,1,2673,616,0.02540006455707713,0.1443653147152272,0.6386570425675706,0.004025955249352067,0.004239146948977082,144
phenotype,scaffold,3,2,2694,595,0.02334260938555539,0.16242116764726733,0.6512940179382015,0.003766941736035338,0.00400173382871846,140
phenotype,scaffold,3,3,2396,893,0.022925911960092686,0.12880429562269918,0.6190888698628756,0.0034869862748091937,0.0034294485998115757,160
phenotype,scaffold,3,4,2740,549,0.024582269205697015,0.1364780130733426,0.6612632686171944,0.004016809608917066,0.004734593887418341,128
phenotype,scaffold,4,0,2752,537,0.024516829399696342,0.15071728696878314,0.6548365039135335,0.00390248719089054,0.004326768959425437,134
phenotype,scaffold,4,1,2569,720,0.022558873437367698,0.13563901029670375,0.6556426006747788,0.0036276704177639267,0.0038240135427400103,152
phenotype,scaffold,4,2,2437,852,0.02376278997952816,0.1277095776315335,0.6393692887530926,0.0036717238858990668,0.003779420092329233,160
phenotype,scaffold,4,3,2684,605,0.023093828868874417,0.1251942672869756,0.6388648474531816,0.0036436277472762387,0.003752136204286714,143
phenotype,scaffold,4,4,2714,575,0.02613339906523305,0.12445791376548557,0.6247919263023297,0.004126431853469792,0.004124103914990022,138
