features,split,seed,fold,n_train,n_test,mean_columnwise_log_loss,macro_auprc,macro_auroc,mean_brier,mean_ece,n_labels_with_test_variation
structure,collision_group,0,0,2611,678,0.03553961613891575,0.03378073392938453,0.536228512397547,0.003377087912474052,0.002312540683661009,135
structure,collision_group,0,1,2641,648,0.035803608115024,0.019226929272168722,0.5134767682867122,0.00337011506106243,0.0021306006798693772,150
structure,collision_group,0,2,2632,657,0.03624847712290794,0.03201623898253341,0.5340166870958037,0.0035500830212688655,0.0026202500625900397,139
structure,collision_group,0,3,2627,662,0.034597270671520734,0.025406930774460552,0.5449606853782243,0.003319430985424019,0.002142415918724378,150
structure,collision_group,0,4,2645,644,0.03911547945063081,0.028484479219154587,0.5182484799785115,0.0036042391276883755,0.0025350820075888277,156
structure,collision_group,1,0,2631,658,0.03548969741305435,0.02139158406707638,0.5215578821983546,0.0033604919537491965,0.0022416293504996165,146
structure,collision_group,1,1,2629,660,0.036265977774785275,0.0227829280804801,0.5339275545256855,0.0036095857319660626,0.0024763569295502934,140
structure,collision_group,1,2,2644,645,0.03698543116173504,0.015846889730558707,0.520836693666172,0.003370182786805464,0.002210266257642582,153
structure,collision_group,1,3,2650,639,0.03452158356235703,0.02922342946879401,0.5479574948256923,0.0033573862273926286,0.0022665043824218164,142
structure,collision_group,1,4,2602,687,0.03620601944401558,0.02259610798416698,0.532345221280386,0.003531242781688181,0.002327851777917847,148
structure,collision_group,2,0,2619,670,0.03885011606901397,0.024724054348653962,0.5278814358609115,0.003638527610741251,0.002453856556908423,145
structure,collision_group,2,1,2637,652,0.03323883447858525,0.038288175180851376,0.5720086184967,0.0033361939065808914,0.002267810962416438,143
structure,collision_group,2,2,2567,722,0.03429123355202575,0.023354627614723,0.5279219245304396,0.003412898119464425,0.002144169940659252,149
structure,collision_group,2,3,2634,655,0.03745426643591292,0.02727859095104407,0.5442990260364456,0.003548486099174078,0.002340134594824355,156
structure,collision_group,2,4,2699,590,0.034562421996747236,0.021007188790200235,0.5292625920247054,0.0032880526079110454,0.0022157677085722946,143
structure,collision_group,3,0,2609,680,0.03535197277687076,0.03600656644808204,0.5664832874215852,0.003542132343738125,0.002544182201000266,142
structure,collision_group,3,1,2670,619,0.035990291027638004,0.03243118069866406,0.5486385537681506,0.003406206950023068,0.002406137421376437,142
structure,collision_group,3,2,2608,681,0.03718950783235244,0.014243033597015628,0.5024024019099506,0.0034341874194620914,0.0023650264987340893,148
structure,collision_group,3,3,2647,642,0.035411700692447666,0.021989148464543837,0.5432420958037742,0.003445904967514836,0.0022782683767827,148
structure,collision_group,3,4,2622,667,0.03501599820097438,0.025921860172541476,0.5443271649099642,0.003389613950228276,0.0023453791129661745,145
structure,collision_group,4,0,2632,657,0.03665815629300908,0.021056448172618387,0.5317756278506617,0.0034976942754882914,0.002363270083693378,149
structure,collision_group,4,1,2632,657,0.034001298546885085,0.029398984772982903,0.5532385737549896,0.0034256153376050974,0.0023382588245320648,136
structure,collision_group,4,2,2670,619,0.03596735860669863,0.035991903350308926,0.5238492256782851,0.0033714013693191065,0.002315189558766378,151
structure,collision_group,4,3,2605,684,0.0353480883970876,0.024426936280126887,0.537407525875035,0.0035488064639367088,0.0023193895234163045,148
structure,collision_group,4,4,2617,672,0.03537599542572228,0.0206693790251111,0.5341788331749765,0.003336021213670655,0.0021360616911995636,150
