features,split,seed,fold,n_train,n_test,mean_columnwise_log_loss,macro_auprc,macro_auroc,mean_brier,mean_ece,n_labels_with_test_variation
structure,scaffold,0,0,2458,831,0.0331630854915064,0.02177153986311196,0.5301792037151729,0.003462216617189535,0.0034284607116672134,155
structure,scaffold,0,1,2714,575,0.03535926852753748,0.021494721287628842,0.5466873702602686,0.0037037541978197103,0.003697527014235697,141
structure,scaffold,0,2,2719,570,0.036622258653361495,0.028415598713654112,0.5277621258992445,0.0038233718215738496,0.0038172790475020806,142
structure,scaffold,0,3,2634,655,0.03442256724971933,0.025229362574376163,0.49739715595672573,0.0036729758647109124,0.003774904918102809,147
structure,scaffold,0,4,2631,658,0.033266121533990695,0.031793197494615906,0.5725218072805057,0.003481917582264667,0.0034745606006721472,141
structure,scaffold,1,0,2646,643,0.038423548215647974,0.01783306868474643,0.5264958455683927,0.004031406133964764,0.004098622795026684,143
structure,scaffold,1,1,2682,607,0.033074747119288726,0.02572489558257267,0.5584449781636375,0.0034433626523909895,0.003407295740340703,137
structure,scaffold,1,2,2504,785,0.0332603817190641,0.017056526547359317,0.5346853532527451,0.003417503316743125,0.0033271913925288703,157
structure,scaffold,1,3,2690,599,0.036053452981740265,0.01630762089215236,0.5380901767849735,0.003733335872295867,0.0037343178734309795,147
structure,scaffold,1,4,2634,655,0.03408409635300818,0.020985850674456772,0.5163711478058948,0.0035483414712469156,0.0035913341721717823,145
structure,scaffold,2,0,2417,872,0.03450711213731759,0.02325874582282565,0.5328807924633837,0.003549469424415425,0.003523981801142045,164
structure,scaffold,2,1,2733,556,0.035336054829806327,0.024927068478002794,0.5126617820944198,0.003728561036273205,0.0037484340431921466,136
structure,scaffold,2,2,2739,550,0.03454678388323071,0.027991787689188856,0.5432508959109376,0.003680675940063747,0.0036952148674375316,138
structure,scaffold,2,3,2603,686,0.03455345514129397,0.02091782252362495,0.5615807455332218,0.0036357793216165685,0.003592875780266926,151
structure,scaffold,2,4,2664,625,0.03392095079350443,0.027892830856778256,0.5319175668281447,0.0035540541525148498,0.0035622358927330164,143
structure,scaffold,3,0,2653,636,0.035778437319240824,0.028451368396892756,0.5628255295345743,0.0037017349054232398,0.0036976366207132276,153
structure,scaffold,3,1,2673,616,0.03577766802386886,0.013330847405249233,0.4925967579576666,0.0036209649463739427,0.0035954734549558972,144
structure,scaffold,3,2,2694,595,0.035507093624968664,0.03195626665011918,0.5423942387129244,0.0038808562968081213,0.003905607322592252,140
structure,scaffold,3,3,2396,893,0.032585609565318356,0.021562476167670812,0.5580781551066669,0.0033606968941648657,0.0033056881943393616,160
structure,scaffold,3,4,2740,549,0.03360727898086787,0.0245735736869991,0.5433275745421762,0.0035089458792851437,0.0035780881726935393,128
structure,scaffold,4,0,2752,537,0.03464779024550485,0.018633453924150913,0.5359728814528238,0.0035938638066868125,0.003609840457425512,134
structure,scaffold,4,1,2569,720,0.03484490604252586,0.02443381607072336,0.5720912052285222,0.0037591029551372708,0.003793597425081925,152
structure,scaffold,4,2,2437,852,0.03325114669667829,0.01142902086737335,0.512416025967353,0.00345321130336687,0.0034248368177293145,160
structure,scaffold,4,3,2684,605,0.03511459142213377,0.01991315999367186,0.5425196792678769,0.0036012428719291653,0.0035885811992187803,143
structure,scaffold,4,4,2714,575,0.035589935322828996,0.026643146603552176,0.5441423040447917,0.00367928486689391,0.003638360067365374,138
