features,split,seed,fold,n_train,n_test,mean_columnwise_log_loss,macro_auprc,macro_auroc,mean_brier,mean_ece,n_labels_with_test_variation
structure,scaffold,0,0,2458,831,0.0365366362800243,0.02174224503814741,0.5415910021098377,0.003332816521686761,0.0020050065302236134,155
structure,scaffold,0,1,2714,575,0.037251281348798106,0.019753387962062757,0.5050391699674783,0.0034426802116887464,0.0022917360415555805,141
structure,scaffold,0,2,2719,570,0.03722489603549867,0.028292896624876194,0.516782237057379,0.0036117729841850426,0.002307839772339109,142
structure,scaffold,0,3,2634,655,0.03405073410278407,0.030163147751334638,0.5449725808086142,0.00335304758260797,0.002133889759444306,147
structure,scaffold,0,4,2631,658,0.032469273334213455,0.035837772026319346,0.5658919954473418,0.003306562513277671,0.002138033682342909,141
structure,scaffold,1,0,2646,643,0.03695022673835634,0.024792000564813562,0.5245388067379713,0.0036821429476189033,0.0023732054098246935,143
structure,scaffold,1,1,2682,607,0.03394011633767648,0.027238490344213235,0.5453651559308555,0.003271495563151117,0.0023450653287044026,137
structure,scaffold,1,2,2504,785,0.0363616592545494,0.01653209130282264,0.5312942002362228,0.0033064393104710785,0.0019839971833152253,157
structure,scaffold,1,3,2690,599,0.034214755161470524,0.024152574653283503,0.5479358756017492,0.003522928645694757,0.002310170091870521,147
structure,scaffold,1,4,2634,655,0.03543914577329201,0.02568836100860595,0.5278004170875185,0.0033378242027765318,0.0021600463470483207,145
structure,scaffold,2,0,2417,872,0.03746533531618664,0.021082116768410094,0.5475709458467085,0.0034031305349795553,0.0021436511637537735,164
structure,scaffold,2,1,2733,556,0.0338176703501976,0.026962084551046473,0.5450353037975177,0.0034049953017919916,0.0023801854666801446,136
structure,scaffold,2,2,2739,550,0.03414611800045968,0.03031735324170381,0.5604902489517924,0.0034444702236624473,0.0023322145768146594,138
structure,scaffold,2,3,2603,686,0.03530009405258169,0.019546793489923407,0.5337744286670562,0.0034157369546953744,0.0020092492411896974,151
structure,scaffold,2,4,2664,625,0.03231788993162995,0.026275064034876044,0.5491435973601003,0.0033505462494940043,0.0022468079689045226,143
structure,scaffold,3,0,2653,636,0.03634495238536407,0.03303877615023673,0.5406711844401773,0.0035251708079685386,0.0024381327985216615,153
structure,scaffold,3,1,2673,616,0.038436473476924506,0.01808666990162365,0.5011039437828332,0.003517357131124454,0.0021611838328918324,144
structure,scaffold,3,2,2694,595,0.035237794979454576,0.03145373463705866,0.544601968352727,0.0035539189849529513,0.002431337125271062,140
structure,scaffold,3,3,2396,893,0.03538023921839791,0.021302315410483844,0.5318107114180851,0.00320422306758719,0.0018953496054157828,160
structure,scaffold,3,4,2740,549,0.032383639013673214,0.024594347051162178,0.5490663106515444,0.0033014606456271546,0.002224480075034829,128
structure,scaffold,4,0,2752,537,0.035914610261474446,0.02271708099690062,0.5330135828108088,0.00342066916356333,0.002307484342206125,134
structure,scaffold,4,1,2569,720,0.03300987807913731,0.030485258630423038,0.576433511299654,0.0033698053199651672,0.002167513829898653,152
structure,scaffold,4,2,2437,852,0.03603570433734561,0.015890219385479,0.5157115953408643,0.003286239700143303,0.0019832441926003496,160
structure,scaffold,4,3,2684,605,0.03499976259424257,0.026477219802919703,0.5200095951811378,0.0034456795135887003,0.0021670113034826365,143
structure,scaffold,4,4,2714,575,0.035803701321072086,0.022863621849489955,0.554518616374677,0.0035833842759235555,0.0023446270188126994,138
