smiles,index,H0_entropy,H0_count,H0_max_pers,H0_mean_pers,H0_birth_mean,H0_birth_std,H0_death_mean,H0_death_std,H0_pers_q25,H0_pers_q50,H0_pers_q75,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H1_birth_mean,H1_birth_std,H1_death_mean,H1_death_std,H1_pers_q25,H1_pers_q50,H1_pers_q75,H2_entropy,H2_count,H2_max_pers,H2_mean_pers,H2_birth_mean,H2_birth_std,H2_death_mean,H2_death_std,H2_pers_q25,H2_pers_q50,H2_pers_q75,pers_img_0,pers_img_1,pers_img_2,pers_img_3,pers_img_4,pers_img_5,pers_img_6,pers_img_7,pers_img_8,pers_img_9,pers_img_10,pers_img_11,pers_img_12,pers_img_13,pers_img_14,pers_img_15,pers_img_16,pers_img_17,pers_img_18,pers_img_19,pers_img_20,pers_img_21,pers_img_22,pers_img_23,pers_img_24,betti_0,betti_1,betti_2,betti_3,betti_4,betti_5,betti_6,betti_7,betti_8,betti_9,betti_10,betti_11,betti_12,betti_13,betti_14,betti_15,betti_16,betti_17,betti_18,betti_19,tfp_valid
COCCc1cnc(NC(=O)Nc2cc(C)ccc2C)s1,450,3.6183908,39.0,3.3374188,1.6034943,0.0,0.0,1.6034943,0.49457136,1.1596569,1.8096607,1.9601779,1.0251719,2.0,1.4099381,0.45897427,2.411121,0.3407912,2.870095,0.3315814,0.75439674,0.9729105,1.1914244,-1.0000889e-12,0.0,0.43321848,0.43321848,3.333522,0.0,3.7667406,0.0,0.0,0.0,0.0,0.010564735,0.0,0.0,0.04013532,0.0,0.50000006,0.077837765,0.0,0.0,0.0,0.0,0.0,0.0,0.005920865,0.054023795,0.0,0.0,0.20479554,0.0,0.0,0.0,0.0,0.004962815,0.0363778,0.0653814,0.97499996,0.97499996,0.97499996,0.97499996,0.97499996,0.5,0.5,0.47499996,0.375,0.67499995,0.67499995,1.0,0.35,0.97499996,0.97499996,0.0,0.0,0.0,0.0,0.0,True
CCOC(=O)c1nc(NC(=O)Nc2ccccc2C)sc1C,451,3.595337,38.0,3.2635698,1.6271102,0.0,0.0,1.6271102,0.48145235,1.1605588,1.8381782,1.9713036,1.0472653,1.0,1.4013261,0.36101845,2.6829093,0.46788886,3.0439277,0.3805819,1.4013261,1.4013261,1.4013261,-1.0000889e-12,0.0,0.44474912,0.44474912,3.324123,0.0,3.768872,0.0,0.0,0.0,0.0,0.015616536,0.0,0.0,0.042848065,0.059224766,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005969615,0.048041288,0.0,0.0,0.21564396,0.0,0.0,0.0,0.0,0.010022552,0.036652226,0.065980986,0.974359,0.974359,0.974359,0.974359,0.974359,0.5384615,0.5384615,0.4871795,0.37606838,0.35042733,0.35042733,1.0,0.6752137,0.974359,0.974359,0.0,0.0,0.0,0.0,0.0,True
COc1ccc(NC(=O)Nc2nc(C(C)=O)c(C)s2)cc1,452,3.5139086,35.0,3.2143095,1.6393906,0.0,0.0,1.6393906,0.47888452,1.1596311,1.8567938,1.9671879,1.6550972,4.0,1.4024637,0.5691849,2.4027605,0.41190454,2.9719453,0.3654314,0.5639035,0.7054864,0.9804603,-1.0000889e-12,0.0,0.45111537,0.45111537,3.3175411,0.0,3.7686565,0.0,0.0,0.0,0.0,0.005269874,0.008490761,0.0,0.0,0.0,0.53884465,0.045350816,0.047785986,0.0,0.0,0.07025857,0.0,0.0,0.006422141,0.04481083,0.0,0.0,0.11733267,0.0,0.0,0.0,0.0,0.01083377,0.039457373,0.06514255,0.97222215,0.97222215,0.97222215,0.97222215,0.97222215,0.5555555,0.5555555,0.5,0.41666666,0.6111111,1.0,0.8055555,0.41666666,0.97222215,0.97222215,0.0,0.0,0.0,0.0,0.0,True
CCc1nc(NC(=O)Nc2cc(C)c(OC)cc2C)sc1C,453,3.6930778,42.0,3.3285246,1.5909158,0.0,0.0,1.5909158,0.48771563,1.1608768,1.4862671,1.9686885,1.6514541,2.0,1.3902783,0.41584748,2.4547849,0.3490573,2.8706324,0.3086684,0.72475916,0.9465989,1.1684387,-1.0000889e-12,0.0,0.4463234,0.4463234,3.3332477,0.0,3.779571,0.0,0.0,0.0,0.0,0.019204155,0.0,0.0,0.0,0.036228478,0.58820796,0.050391015,0.0,0.0,0.0,0.0,0.0,0.0,0.005511822,0.056402206,0.0,0.0,0.1393017,0.0,0.0,0.0,0.0,0.004631624,0.033961203,0.06615981,0.9767442,0.9767442,0.9767442,0.9767442,0.9767442,0.4883721,0.4883721,0.46511626,0.24186046,0.41395348,1.0,0.8046512,0.21860465,0.9767442,0.9767442,0.0,0.0,0.0,0.0,0.0,True
COc1cccc(NC(=O)Nc2nc(C(C)=O)c(C)s2)c1,454,3.5133858,35.0,3.265137,1.6404364,0.0,0.0,1.6404364,0.48339987,1.1599507,1.8631084,1.9681442,1.3680066,2.0,1.3753159,0.47972044,2.5290854,0.4844247,3.0088058,0.4168917,0.7386866,0.9508964,1.1631062,-1.0000889e-12,0.0,0.47172785,0.47172785,3.3145278,0.0,3.7862556,0.0,0.0,0.0,0.0,0.010446996,0.0,0.0,0.0,0.0,0.6026432,0.060970332,0.0,0.0,0.0,0.0,0.0,0.0,0.006422771,0.04482772,0.0,0.0,0.15927285,0.0,0.0,0.0,0.0,0.010822635,0.039448667,0.065144874,0.97222215,0.97222215,0.97222215,0.97222215,0.97222215,0.5555555,0.5555555,0.5,0.35185185,0.35185185,1.0,0.6759259,0.6759259,0.97222215,0.97222215,0.0,0.0,0.0,0.0,0.0,True
CCc1nc(NC(=O)Nc2ccc(C)cc2)sc1C,455,3.510134,35.0,3.3290474,1.5983988,0.0,0.0,1.5983988,0.49493283,1.1605527,1.8104957,1.9531357,1.070372,2.0,1.4029654,0.6112981,2.245517,0.25079954,2.856815,0.40874702,0.7520164,0.96899945,1.1859825,-1.0000889e-12,0.0,0.46819115,0.46819115,3.3105648,0.0,3.778756,0.0,0.0,0.0,0.0,0.0,0.011399412,0.0,0.0,0.0,0.5577422,0.07293679,0.0,0.0,0.0,0.0,0.0,0.0,0.006596953,0.0531961,0.0,0.0,0.19125493,0.0,0.0,0.0,0.0,0.0055418494,0.0405645,0.060767267,0.97222215,0.97222215,0.97222215,0.97222215,0.97222215,0.5,0.5,0.4722222,0.35185185,0.35185185,1.0,1.0,0.35185185,0.97222215,0.97222215,0.0,0.0,0.0,0.0,0.0,True
CCc1sc(NC(=O)Nc2ccc(C)c(OC)c2)nc1C,456,3.6188707,39.0,3.3261867,1.6004542,0.0,0.0,1.6004542,0.49097133,1.1604073,1.8107265,1.964577,1.5843084,3.0,1.3914744,0.39567047,2.561325,0.4340711,2.9569955,0.33247626,0.53012764,0.5332656,0.96237,-1.0000889e-12,0.0,0.47698617,0.47698617,3.3128033,0.0,3.7897894,0.0,0.0,0.0,0.0,0.007404161,0.008703927,0.0,0.059042227,0.0,0.5,0.11165175,0.0,0.0,0.0,0.0,0.0,0.0,0.005911101,0.054026287,0.0,0.0,0.14653127,0.0,0.0,0.0,0.0,0.0049652676,0.036362432,0.06540158,0.97499996,0.97499996,0.97499996,0.97499996,0.97499996,0.5,0.5,0.47499996,0.29375,0.5125,0.75624996,1.0,0.26874998,0.97499996,0.97499996,0.0,0.0,0.0,0.0,0.0,True
CCc1nc(NC(=O)Nc2cc(C)c(O)c(C)c2C)sc1C,457,3.6926248,42.0,3.3129609,1.5875494,0.0,0.0,1.5875494,0.4885154,1.1605282,1.4865037,1.9682972,1.8510183,2.0,1.386927,0.42699388,2.4254446,0.37886316,2.8524384,0.33595407,0.7431011,0.9577097,1.1723183,-1.0000889e-12,0.0,0.47589517,0.47589517,3.3361256,0.0,3.8120208,0.0,0.0,0.0,0.0,0.008364602,0.0,0.0,0.07407641,0.0,0.5,0.13059162,0.0,0.0,0.0,0.0,0.0,0.0,0.008198637,0.05350015,0.0,0.0,0.12030071,0.0,0.0,0.0,0.0,0.004638458,0.029143313,0.07118611,0.9767442,0.9767442,0.9767442,0.9767442,0.9534883,0.4883721,0.4883721,0.46511626,0.21860465,0.8046512,1.0,0.60930234,0.21860465,0.9767442,0.9767442,0.0,0.0,0.0,0.0,0.0,True
COCc1cnc(NC(=O)Nc2ccccc2C)s1,458,3.451294,33.0,3.3356264,1.6282967,0.0,0.0,1.6282967,0.501948,1.1599488,1.8641185,1.9609435,1.2818842,2.0,1.391124,0.53263265,2.3322773,0.3255485,2.86491,0.3927419,0.7333741,0.9526241,1.171874,-1.0000889e-12,0.0,0.4672618,0.4672618,3.3133554,0.0,3.7806172,0.0,0.0,0.0,0.0,0.009839737,0.0,0.0,0.03487436,0.0,0.5501499,0.06435006,0.0,0.0,0.0,0.0,0.0,0.0,0.006891497,0.04812398,0.0,0.0,0.17411925,0.0,0.0,0.0,0.0,0.00579144,0.04237179,0.063487954,0.97058827,0.97058827,0.97058827,0.97058827,0.97058827,0.5294118,0.5294118,0.5,0.38235298,0.67647064,1.0,1.0,0.67647064,0.97058827,0.97058827,0.0,0.0,0.0,0.0,0.0,True
COCc1csc(NC(=O)Nc2ccccc2C)n1,459,3.4565644,33.0,2.8565943,1.6141428,0.0,0.0,1.6141428,0.45815265,1.1599466,1.8548367,1.9624748,1.4664603,2.0,1.3900354,0.4900538,2.4573567,0.3986741,2.9474106,0.39863208,0.73114556,0.9507755,1.1704054,-1.0000889e-12,0.0,0.46776056,0.46776056,3.3124208,0.0,3.7801814,0.0,0.0,0.0,0.0,0.008680402,0.0,0.02312409,0.0,0.08595716,0.5,0.0579886,0.0,0.0,0.0,0.0,0.0,0.0,0.006882174,0.048119064,0.0,0.0,0.15758307,0.0,0.0,0.0,0.0,0.0057922807,0.042355534,0.063517615,0.97058827,0.97058827,0.97058827,0.97058827,0.97058827,0.5294118,0.5294118,0.5,0.38235298,0.67647064,1.0,0.64705884,0.64705884,0.97058827,0.97058827,0.0,0.0,0.0,0.0,0.0,True
