smiles,index,H0_entropy,H0_count,H0_max_pers,H0_mean_pers,H0_birth_mean,H0_birth_std,H0_death_mean,H0_death_std,H0_pers_q25,H0_pers_q50,H0_pers_q75,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H1_birth_mean,H1_birth_std,H1_death_mean,H1_death_std,H1_pers_q25,H1_pers_q50,H1_pers_q75,H2_entropy,H2_count,H2_max_pers,H2_mean_pers,H2_birth_mean,H2_birth_std,H2_death_mean,H2_death_std,H2_pers_q25,H2_pers_q50,H2_pers_q75,pers_img_0,pers_img_1,pers_img_2,pers_img_3,pers_img_4,pers_img_5,pers_img_6,pers_img_7,pers_img_8,pers_img_9,pers_img_10,pers_img_11,pers_img_12,pers_img_13,pers_img_14,pers_img_15,pers_img_16,pers_img_17,pers_img_18,pers_img_19,pers_img_20,pers_img_21,pers_img_22,pers_img_23,pers_img_24,betti_0,betti_1,betti_2,betti_3,betti_4,betti_5,betti_6,betti_7,betti_8,betti_9,betti_10,betti_11,betti_12,betti_13,betti_14,betti_15,betti_16,betti_17,betti_18,betti_19,tfp_valid
C=C[C@@H](C)NCc1cc2c(cc1OC)OCO2,200,3.4593253,33.0,2.1346133,1.5616658,0.0,0.0,1.5616658,0.4255569,1.1605521,1.1650226,2.0141819,1.7326181,3.0,1.393418,0.5862093,2.4408002,0.31879693,3.0270095,0.14719567,0.6902976,0.804024,1.098721,-1.0000889e-12,0.0,0.42871547,0.42871547,3.3311918,0.0,3.7599072,0.0,0.0,0.0,0.0,0.0,0.009974717,0.017669717,0.0,0.0,0.5,0.080349825,0.046836123,0.0,0.0,0.0653126,0.0,0.0,0.0035783956,0.06069869,0.0,0.0,0.113190345,0.0,0.0,0.0,0.0,0.0059715286,0.03090649,0.06551156,1.0,1.0,1.0,1.0,1.0,0.4848485,0.4848485,0.45454547,0.23030303,0.4,1.0,1.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
C=C(Cl)CNCc1cc(OC)c2c(c1)OCO2,201,3.3540132,30.0,3.2909043,1.6420162,0.0,0.0,1.6420162,0.51633334,1.1610525,1.8465792,2.0196943,1.4491196,2.0,1.3886744,0.5630367,2.6237772,0.50751936,3.1868138,0.29436466,0.95726025,1.1010649,1.2448697,-1.0000889e-12,0.0,0.4053831,0.4053831,3.3393943,0.0,3.7447774,0.0,0.0,0.0,0.0,0.00097191473,0.0,0.019815825,0.0,0.0,0.5470944,0.048164144,0.0,0.0,0.0,0.08026471,0.0,0.0,0.003835898,0.052935183,0.0,0.0,0.1370223,0.0,0.0,0.0,0.0,0.0064028422,0.03319108,0.07030166,0.59999996,0.59999996,0.59999996,0.59999996,0.59999996,0.32,0.32,0.29999998,0.24,0.42000002,0.61999995,0.42000002,0.42000002,1.0,0.59999996,0.0,0.0,0.0,0.0,0.0,True
COc1cc(CC[C@@H](C)O)c(OC)c2c1OCO2,202,3.517063,35.0,2.1206958,1.5724112,0.0,0.0,1.5724112,0.43420795,1.1607456,1.164204,2.0227551,1.6371951,3.0,1.4045362,0.55558765,2.4360976,0.3115769,2.9916854,0.15462035,0.735785,0.83186984,1.118203,-1.0000889e-12,0.0,0.41131282,0.41131282,3.3399298,0.0,3.7512426,0.0,0.0,0.0,0.0,0.0022643076,0.0,0.015263065,0.0,0.028638495,0.5406583,0.0,0.054828275,0.0,0.0,0.07129901,0.0,0.0,0.0032276523,0.060620457,0.0,0.0,0.12038187,0.0,0.0,0.0,0.0,0.0,0.02318903,0.079629526,1.0,1.0,1.0,1.0,0.9714286,0.4857143,0.4857143,0.4857143,0.27857143,0.75,1.0,1.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
COc1cc(CC[C@H](C)O)c(OC)c2c1OCO2,203,3.517039,35.0,2.1207206,1.5724579,0.0,0.0,1.5724579,0.43435952,1.1609256,1.1648394,2.0222774,1.5351622,2.0,1.4066182,0.5763433,2.4455335,0.34358433,3.0218768,0.16633491,0.9758514,1.1194403,1.2630293,0.6615698,0.0,0.41704202,0.33364046,3.361755,0.023414254,3.6953952,0.059987307,0.0,0.0,0.0,0.0,0.013143108,0.0,0.21358462,0.03245822,0.35833454,0.0,0.0,0.0,0.0,0.080224425,0.0,0.0,0.0032272304,0.060618013,0.0,0.0,0.1355884,0.0,0.0,0.0,0.0,0.0,0.023187907,0.07963351,1.0,1.0,1.0,1.0,0.9714286,0.4857143,0.4857143,0.4857143,0.27857143,0.5,1.0,0.75,0.25,1.0,0.5,0.0,0.0,0.0,0.0,0.0,True
COc1cc(O)cc2c1OCO2,204,2.9103386,19.0,2.1304028,1.6255939,0.0,0.0,1.6255939,0.41716507,1.1607115,1.8732969,2.016292,1.0474131,2.0,1.3938279,0.67479014,2.1754408,0.17857677,2.8502312,0.36790946,0.95902395,1.1039586,1.2488933,-1.0000889e-12,0.0,0.4033928,0.4033928,3.3226566,0.0,3.7260494,0.0,0.0,0.0,0.0,0.0028551407,0.0,0.0,0.0,0.0,0.5578111,0.0,0.0,0.0,0.0,0.10053611,0.0,0.0,0.0057160077,0.04415786,0.0,0.0,0.17213105,0.0,0.0,0.0,0.0,0.0,0.05138843,0.06540437,1.0,1.0,1.0,1.0,0.94736844,0.57894737,0.57894737,0.57894737,0.38596493,0.6666667,1.0,0.6666667,0.33333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
CCCNCc1cc(OC)c2c(c1)OCO2,205,3.4278207,32.0,2.129767,1.554212,0.0,0.0,1.554212,0.428638,1.1606839,1.1631749,2.019384,1.3379142,3.0,1.3887329,0.6542868,2.2518117,0.2392216,2.9060984,0.22762671,0.6893226,0.8128712,1.1008021,0.48578823,0.0,0.40342712,0.24893701,3.3192005,0.020959496,3.5681376,0.17544961,0.0,0.0,0.0,0.0032756159,0.094850205,0.0,0.0,0.0,0.4532335,0.0,0.057647903,0.0,0.0,0.08282517,0.0,0.0,0.0036933848,0.06301469,0.0,0.0,0.14150093,0.0,0.0,0.0,0.0,0.0,0.032057494,0.0679011,1.0,1.0,1.0,1.0,1.0,0.46875,0.46875,0.46875,0.23125,0.6,1.0,0.4,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
CCCN(C)Cc1cc(OC)c2c(c1)OCO2,206,3.5172896,35.0,2.129957,1.5505935,0.0,0.0,1.5505935,0.42942774,1.1608467,1.1639825,2.0198689,1.3045329,3.0,1.3891423,0.8286734,2.1739311,0.16850285,3.0026045,0.18404877,0.7257589,0.8134253,1.1012838,0.3303353,0.0,0.4069357,0.22668111,3.1717815,0.16757262,3.3984625,0.3478272,0.0,0.0,0.0,0.05120247,0.0,0.0,0.0,0.0,0.49646744,0.0,0.064168066,0.0,0.0,0.08179994,0.0,0.0,0.0,0.06869908,0.0,0.0,0.13969538,0.0,0.0,0.0,0.0,0.0,0.029423296,0.06854428,1.0,1.0,1.0,1.0,1.0,0.45714286,0.45714286,0.45714286,0.27857143,0.75,1.0,0.5,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
C=C(CCO)c1ccc2c(c1OC)OCO2,207,3.331034,29.0,2.1257617,1.5825901,0.0,0.0,1.5825901,0.42328316,1.1603636,1.8273339,2.0151231,1.3598118,2.0,1.3961524,0.6107239,2.5214322,0.46372116,3.1321561,0.24552585,0.9732876,1.1142426,1.2551974,-1.0000889e-12,0.0,0.41090107,0.41090107,3.340366,0.0,3.751267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05396309,0.036108647,0.49999997,0.0,0.0,0.0,0.0,0.090857476,0.0,0.0,0.0038540626,0.055279423,0.0,0.0,0.15240408,0.0,0.0,0.0,0.0,0.0067094616,0.02766999,0.07315371,0.75,0.75,0.75,0.75,0.7241379,0.38793102,0.38793102,0.36206895,0.27586207,0.5,0.75,0.75,0.25,1.0,0.75,0.0,0.0,0.0,0.0,0.0,True
COc1cc(CCO)c(OC)c2c1OCO2,208,3.3302052,29.0,2.1213427,1.5937809,0.0,0.0,1.5937809,0.4308493,1.1606321,1.8791991,2.0216248,1.4959186,3.0,1.4055113,0.7783705,2.2451062,0.2700677,3.0234768,0.16472182,0.8399824,0.8489654,1.1272383,-1.0000889e-12,0.0,0.41998625,0.41998625,3.3374603,0.0,3.7574465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028215505,0.5408498,0.0,0.0,0.0,0.0,0.14388733,0.0,0.0,0.0038565693,0.055121448,0.0,0.0,0.12038065,0.0,0.0,0.0,0.0,0.0,0.027582163,0.080106474,1.0,1.0,1.0,1.0,1.0,0.51724136,0.51724136,0.51724136,0.5689655,0.75,1.0,1.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
COc1cc(CC#N)c(OC)c2c1OCO2,209,3.225291,26.0,2.1216831,1.6289344,0.0,0.0,1.6289344,0.41135943,1.1610252,1.881704,2.0189927,1.394471,2.0,1.4036916,0.64646405,2.3671672,0.30669108,3.0136313,0.17162946,0.9739872,1.1172221,1.2604568,-1.0000889e-12,0.0,0.4142089,0.4142089,3.3390367,0.0,3.7532456,0.0,0.0,0.0,0.0,0.0,0.0,0.020089518,0.0,0.033631388,0.5491851,0.0,0.0,0.0,0.0,0.08567141,0.0,0.0,0.0,0.050791766,0.0,0.0,0.14475583,0.0,0.0,0.006563429,0.0,0.0,0.03767777,0.0716337,1.0,1.0,1.0,1.0,1.0,0.5769231,0.5769231,0.53846157,0.37179488,0.6666667,1.0,1.0,0.33333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True
