seed,hypervolume,front_size,smiles,mpo,syba,sa,rrs,pns
4,0.5101,18,COCC(N)(Cc1ccccc1)CC(C)C,0.8011,42.9443,3.0000,0.1887,1.0000
4,0.5101,18,CCc1ccc2ccc(N(c3ccccc3)c3cccc(-c4ccco4)c3)nc2c1,0.3105,94.0059,3.0000,0.1333,1.0000
4,0.5101,18,CCCCCNC(=O)NCC(Cc1ccsn1)(c1ccccn1)N(c1ccccc1)c1ccc2ccccc2n1,0.1660,125.4473,3.0000,0.1368,1.0000
4,0.5101,18,CC(CN1CCOCC1CCN(CNN(c1ccccc1)c1ccc2ccccc2n1)c1cccnc1)Nc1ccc2ccccc2n1,0.1040,113.1759,3.0000,0.1562,1.0000
4,0.5101,18,CC(N)C(C)(CCN(C)NC(N)=O)N(c1ccccc1)c1ccc2ccccc2n1,0.4980,57.3639,3.0000,0.1688,1.0000
4,0.5101,18,CC(=O)OCC(C)(CCC(C)(C)C)CN(C)N(c1ccccc1)c1ccc2ccccc2n1,0.2726,74.5691,3.0000,0.1667,1.0000
4,0.5101,18,COCCN(CC(C)(C)Cc1ccccc1)N(c1ccccc1)c1ccc2ccccc2n1,0.2636,97.7865,3.0000,0.1493,1.0000
4,0.5101,18,CCC(NN(c1ccccc1)c1ccc2ccccc2n1)c1cnccn1,0.5027,90.3185,3.0000,0.1644,1.0000
4,0.5101,18,CCC(CC(CN1CCCC(CCO)C1)N(c1ccccc1)c1ccc2ccccc2n1)C(C)CCOC,0.2514,89.2800,3.0000,0.1739,1.0000
4,0.5101,18,COCCCCN(CC(C)N(c1ccccc1)c1ccc2ccccc2n1)NCc1cccnc1,0.2035,106.1358,3.0000,0.1646,1.0000
4,0.5101,18,CNN(c1ncccn1)C(c1ccccc1)C(C)N(c1ccccc1)c1ccc2ccccc2n1,0.1027,129.6313,3.0000,0.1489,0.0000
4,0.5101,18,c1ccc(C(N(NCc2ccsc2)c2ncccn2)C(Cc2cnccn2)(c2ccncc2)N(c2ccccc2)c2ccc3ccccc3n2)cc1,0.1190,131.9013,3.0000,0.1413,0.0000
4,0.5101,18,COC(C)(CNN(Cc1cccnc1)C(C)(C)COC(C)=O)N(c1ccccc1)c1ccc2ccccc2n1,0.0527,133.0689,3.0000,0.1273,1.0000
4,0.5101,18,COC(C)(CN(CC(=O)NNc1ccc2ccccc2n1)N(Cc1cccnc1)C(C)(COC(C)=O)Cc1cncnc1)N(c1ccccc1)c1ccc2ccccc2n1,0.0527,133.0689,3.0000,0.1273,1.0000
4,0.5101,18,CCOC(C(CC)C(C)C(C)(Nc1ccc2ccccc2n1)C(CCCCOC)NC)C(NNC(CC(C)(C)Cc1ccncn1)(c1cccnc1)C1CNCC(CNc2ccc3ccccc3n2)C1)C(CC1CCCN(CC(C)C)C1)(OC)N(c1ccccc1)c1ccc2ccccc2n1,0.0123,134.9016,3.0000,0.0932,0.0000
4,0.5101,18,CCC(C(C)C(C)C(CCCCOC)NC)C(OCCN1CCOCC1)C(NNC(CC(C)(C)Cc1ccncn1)(c1cccnc1)C1CNCC(CNc2ccc3ccccc3n2)C1)(c1cnccn1)C(CC1CCCN(CC(C)C)C1)(OC)N(c1ccccc1)c1ccc2ccccc2n1,0.0139,161.7215,3.0000,0.0909,0.0000
4,0.5101,18,CCC(C(C)C(C)C(CCCCOC)NC)C(OCCN1CCOCC1)C(NNC(CC(C)(C)Cc1ccncn1)(c1cccnc1)C1CNCC(CNc2ccc3ccccc3n2)C1)(c1cnccn1)C(CC1CCCN(CC(C)C)C1)(OC)N(c1ccccc1)c1ccc2ccccc2n1,0.0139,161.7215,3.0000,0.0909,0.0000
4,0.5101,18,CCCC(CCOC)CC(NC)C(C)C(C)C(CC)C(OCCN1CCOCC1)C(NNC(CC(C)(C)Cc1ccncn1)(c1cccnc1)C1CNCC(CNc2ccc3ccccc3n2)C1)(c1cnccn1)C(CC1CCCN(CC(C)C)C1)(OC)N(c1ccccc1)c1ccc2ccccc2n1,0.0179,158.1180,3.0000,0.0894,0.1905
