smiles,mpo,syba,sa,rrs,pns,hypervolume,seed
CC(C)CCC(C)(C)CN1CCNC(c2ccccc2)C1,0.8477,26.3398,3.0000,0.1781,1.0000,0.6380,0
CCC(CCC(C)NC(=O)Nc1ccccc1)Cc1cnoc1,0.7656,102.4438,3.0000,0.1781,1.0000,0.6380,0
CCC(Cc1cccs1)N(C(=O)Nc1ccccc1)N(OCc1cnccn1)c1ccc2ccccc2n1,0.2102,129.6571,3.0000,0.1383,1.0000,0.6380,0
OCCC1CC(c2ccccc2)CNC1c1ccccn1,0.9061,-11.8436,3.0000,0.1538,1.0000,0.6380,1
COCN(C)C(NC(=O)NC(C)(C)C)N(c1ccccc1)c1ccc2ccccc2n1,0.5572,83.5903,3.0000,0.1795,1.0000,0.6380,1
CC(C)(CCOCc1ccccc1)CC(c1ccccc1)N(CC(=O)O)C(Nc1ccc2ccccc2n1)N(c1ccccc1)c1ccc2ccccc2n1,0.0707,134.1070,3.0000,0.1628,1.0000,0.6380,1
CCC(C)C1CC(C(NCc2ccccc2)N(c2ccccc2)c2ccc3ccccc3n2)C(CO)S1,0.2242,55.8719,3.0000,0.1974,1.0000,0.6380,1
N=C(Nc1cnccn1)c1ncccc1-c1ccccc1,0.5690,48.6777,3.0000,0.1803,1.0000,0.6380,2
OCc1cccc(-c2cccnc2)c1,0.7779,62.3135,3.0000,0.1481,1.0000,0.6380,2
CC(C)(CCCc1cccc(-c2cccnc2)c1)CCC(N)=O,0.7871,89.7976,3.0000,0.1467,1.0000,0.6380,2
OC(CC1CCSC1)c1ccccc1,0.8239,34.4482,3.0000,0.1406,1.0000,0.6380,3
CC(CC(NC(N)=O)c1ccccc1)c1ccsc1,0.8587,87.2078,3.0000,0.0570,1.0000,0.6380,3
c1ccc(CC(c2ccccc2)C(Cc2ccccn2)c2ccsc2)cc1,0.3624,87.6350,3.0000,0.1864,1.0000,0.6380,3
COC(C)C(C(CCc1ccccc1)c1ccsc1)N(COCC(Nc1ccc2ccccc2n1)C(=O)O)c1ccc2ccccc2n1,0.1009,107.5338,3.0000,0.1702,1.0000,0.6380,3
CCOCC(O)CC(Nc1ccc2ccccc2n1)C(CO)(CCc1ccccc1)c1ccsc1,0.2331,129.5737,3.0000,0.1591,1.0000,0.6380,3
c1ccc(CCC(CN(CCOc2ccccc2)c2ccc3ccccc3n2)c2ccsc2)cc1,0.1954,148.2714,3.0000,0.1467,1.0000,0.6380,3
CCCCC(C)(CCOC)NN(CC(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(C)N)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)c1ccccc1,0.0119,151.5626,3.0000,0.0993,0.6905,0.6380,3
CCCCC(C)NN(c1ccccc1)C(c1ccoc1)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(C)N)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1,0.0128,152.4686,3.0000,0.0987,0.0000,0.6380,3
