seed,hypervolume,front_size,smiles,mpo,syba,sa,rrs,pns
3,0.6961,19,CCN(C(=O)NOC(=O)Cc1ccsc1)c1ccccc1,0.8834,78.2768,3.0000,0.1538,1.0000
3,0.6961,19,CCCC(C(C)c1ccoc1)N(C(N)=O)c1ccccc1,0.8673,53.2018,3.0000,0.1905,1.0000
3,0.6961,19,CC(=O)OC(COc1ccccc1)C1CCSC1,0.7677,43.7314,3.0000,0.1944,1.0000
3,0.6961,19,CC(C)CC(C)(C)CNC(=O)N(c1ccccc1)c1cnccn1,0.8559,98.0674,3.0000,0.1791,1.0000
3,0.6961,19,CC(=O)OC(NC(=O)N(c1ccccc1)c1cnccn1)C(C)(C)Nc1ccc2ccccc2n1,0.2988,101.2669,3.0000,0.1667,1.0000
3,0.6961,19,CC(O)N(CC(CNc1ccc2ccccc2n1)Cc1ccon1)C(=O)N(c1ccccc1)c1cnccn1,0.2485,128.8665,3.0000,0.1474,1.0000
3,0.6961,19,CC(O)(CO)N(CC(CNc1ccc2ccccc2n1)Cc1ccccc1)C(=O)N(c1ccccc1)c1cnccn1,0.1684,134.6555,3.0000,0.1809,1.0000
3,0.6961,19,CC(O)(CO)N(C(=O)N(c1ccccc1)c1cnccn1)C(c1ccccn1)C(CNc1ccc2ccccc2n1)Cc1ccccc1,0.1315,144.2190,3.0000,0.1546,1.0000
3,0.6961,19,CC(Cc1ccccc1)CN(C(=O)N(c1ccccc1)c1cnccn1)C(C)(Oc1ccccc1)C(O)CC(C)(C)C,0.1902,102.4418,3.0000,0.1744,1.0000
3,0.6961,19,CC(CO)(OC1CCOC1)N(CC(CNc1ccc2ccccc2n1)Cc1ccccc1)C(=O)N(c1ccccc1)c1cnccn1,0.1505,141.1648,3.0000,0.1509,1.0000
3,0.6961,19,CCC(O)C(C)(OC1CCOC1)N(CC(CNc1ccc2ccccc2n1)Cc1ccccc1)C(=O)N(c1ccccc1)c1cnccn1,0.1245,140.3028,3.0000,0.1682,0.0000
3,0.6961,19,COC(c1ccccc1)C(C)(CCO)CN(C(=O)N(c1ccccc1)c1cnccn1)C(C)O,0.4375,65.7617,3.0000,0.1829,1.0000
3,0.6961,19,COC(c1ccccc1)C(C)CN(C(=O)N(c1ccccc1)c1cnccn1)C(C)O,0.5467,63.3110,3.0000,0.1831,1.0000
3,0.6961,19,COC(c1ccccc1)C(C)CN(C(=O)N(c1ccccc1)c1cnccn1)C(C)O,0.5467,63.3110,3.0000,0.1831,1.0000
3,0.6961,19,CNC(OC(c1ccccc1)C(C)CN(C(=O)N(c1ccccc1)c1cnccn1)C(C)O)C(C)O,0.3494,47.8932,3.0000,0.1974,1.0000
3,0.6961,19,CCNC(C)(O)N(CC(C)C(OCC(C)O)c1ccccc1)C(=O)N(c1ccccc1)c1cnccn1,0.3168,67.6189,3.0000,0.1839,1.0000
3,0.6961,19,CNC(C)(O)COC(c1ccccc1)C(C)CN(C(=O)N(c1ccccc1)c1cnccn1)C(C)O,0.3494,59.6037,3.0000,0.1899,1.0000
3,0.6961,19,CC(C)CC(O)(C(CC(C)(C)C)c1ccco1)N(CC(C)Cc1ccccc1)C(=O)N(c1ccccc1)c1cnccn1,0.1695,107.1926,3.0000,0.1522,1.0000
3,0.6961,19,CC(C)COC(c1ccccc1)C(CN(C(=O)N(c1ccccc1)c1cnccn1)C(C)O)CC(C)(O)CC(C)C,0.2151,79.0827,3.0000,0.1839,1.0000
